especie,fecha,apertura,maximo,minimo,cierre,volumen
AE38D,2023-01-24,35.0,35.0,35.0,35.0,176.0
AE38D,2023-01-24,34.8,34.8,34.8,34.8,9.0
AE38D,2023-01-24,34.49,34.49,34.49,34.49,11.0
AE38D,2023-01-24,34.49,34.49,34.49,34.49,4059.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,5000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,5000.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,1000.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,500.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,4608.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,1.0
AE38D,2023-01-24,34.3,34.3,34.1,34.25,33999.0
AE38D,2023-01-24,34.25,34.3,34.25,34.3,20000.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,4624.0
AE38D,2023-01-24,34.1,34.3,34.1,34.3,33878.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,10000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,2000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,184.0
AE38D,2023-01-24,34.4,34.4,34.4,34.4,1.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,120.0
AE38D,2023-01-24,34.4,34.4,34.4,34.4,1.0
AE38D,2023-01-24,34.4,34.4,34.4,34.4,290.0
AE38D,2023-01-24,34.1,34.4,34.1,34.1,11671.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,100000.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,100000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,25000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,3000.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,200000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,25054.0
AE38D,2023-01-24,34.3,34.35,34.3,34.35,257.0
AE38D,2023-01-24,34.35,34.35,34.35,34.35,8.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,20000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,15000.0
AE38D,2023-01-24,34.35,34.35,34.35,34.35,970.0
AE38D,2023-01-24,34.35,34.49,34.35,34.49,31262.0
AE38D,2023-01-24,34.1,34.1,34.1,34.1,500.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,20474.0
AE38D,2023-01-24,34.5,34.5,34.5,34.5,490.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,120000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,40000.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,40000.0
AE38D,2023-01-24,34.31,34.31,34.31,34.31,50000.0
AE38D,2023-01-24,34.31,34.31,34.31,34.31,25000.0
AE38D,2023-01-24,34.32,34.32,34.32,34.32,25000.0
AE38D,2023-01-24,34.32,34.32,34.32,34.32,1500.0
AE38D,2023-01-24,34.35,34.35,34.35,34.35,3290.0
AE38D,2023-01-24,34.3,34.3,34.3,34.3,10787.0
AE38D,2023-01-24,34.2,34.2,34.2,34.2,20000.0
AE38D,2023-01-24,34.2,34.2,34.2,34.2,3547.0
AE38D,2023-01-24,34.11,34.2,34.11,34.2,2944.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,1550.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,49417.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,20000.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,50000.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,79033.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,10967.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,2915.0
AE38D,2023-01-24,34.25,34.25,34.2,34.2,39110.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,4472.0
AE38D,2023-01-24,34.25,34.25,34.25,34.25,4.0
AE38D,2023-01-24,34.21,34.21,34.21,34.21,5000.0
