especie,fecha,apertura,maximo,minimo,cierre,volumen
AL30C,2023-01-25,30.4,30.4,30.4,30.4,100000.0
AL30C,2023-02-02,31.0,31.0,31.0,31.0,3983.0
AL30C,2023-03-02,26.5,26.5,26.5,26.5,5071.0
AL30C,2023-03-03,26.3,26.3,26.3,26.3,3.0
AL30C,2023-03-06,26.6,26.6,26.6,26.6,2631.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,10000.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,3348.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,26767.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,2000.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,24.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,9298.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,29648.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,18656.0
AL30C,2023-03-06,26.8,26.8,26.8,26.8,367.0
AL30C,2023-03-07,26.5,26.5,26.5,26.5,150000.0
AL30C,2023-03-27,22.6,22.6,22.6,22.6,100000.0
AL30C,2023-03-27,22.62,22.62,22.62,22.62,1250000.0
AL30C,2023-03-27,22.65,22.65,22.65,22.65,4376.0
AL30C,2023-03-27,22.65,22.65,22.65,22.65,195624.0
AL30C,2023-03-27,22.65,22.65,22.65,22.65,67.0
AL30C,2023-03-27,22.65,22.65,22.65,22.65,250000.0
AL30C,2023-03-27,22.65,22.65,22.65,22.65,500000.0
AL30C,2023-03-27,22.65,22.65,22.65,22.65,67519.0
AL30C,2023-03-27,22.63,22.63,22.63,22.63,600000.0
AL30C,2023-03-27,22.6,22.6,22.6,22.6,500000.0
AL30C,2023-03-27,22.6,22.6,22.6,22.6,200000.0
AL30C,2023-03-27,22.6,22.6,22.6,22.6,50000.0
AL30C,2023-03-28,22.25,22.25,22.25,22.25,250000.0
AL30C,2023-03-28,22.28,22.28,22.28,22.28,250000.0
AL30C,2023-03-28,22.3,22.3,22.3,22.3,250000.0
AL30C,2023-03-28,22.2,22.2,22.2,22.2,100000.0
AL30C,2023-03-28,22.3,22.3,22.3,22.3,185000.0
AL30C,2023-03-28,22.32,22.32,22.32,22.32,16140.0
AL30C,2023-03-28,22.32,22.32,22.32,22.32,36860.0
AL30C,2023-03-28,22.3,22.3,22.3,22.3,5.0
AL30C,2023-03-28,22.32,22.32,22.32,22.32,13695.0
AL30C,2023-03-28,22.32,22.35,22.32,22.35,250001.0
AL30C,2023-03-28,22.55,22.55,22.55,22.55,8000.0
AL30C,2023-03-28,22.55,22.55,22.55,22.55,57536.0
AL30C,2023-03-28,22.65,22.65,22.65,22.65,11500.0
AL30C,2023-03-28,22.7,22.7,22.7,22.7,1470.0
AL30C,2023-03-28,22.75,22.75,22.75,22.75,2950.0
AL30C,2023-03-28,22.75,22.75,22.75,22.75,247050.0
AL30C,2023-03-28,22.75,22.75,22.75,22.75,200000.0
AL30C,2023-03-28,22.75,22.75,22.75,22.75,200000.0
AL30C,2023-03-28,23.0,23.0,23.0,23.0,250000.0
AL30C,2023-03-28,23.0,23.0,23.0,23.0,500000.0
AL30C,2023-03-28,23.15,23.15,23.15,23.15,10000.0
AL30C,2023-03-29,23.45,23.45,23.45,23.45,100000.0
AL30C,2023-03-29,23.6,23.6,23.6,23.6,150000.0
AL30C,2023-03-29,23.65,23.65,23.649,23.649,63500.0
AL30C,2023-03-29,23.7,23.7,23.7,23.7,200000.0
AL30C,2023-03-29,23.7,23.7,23.7,23.7,9999.0
AL30C,2023-03-29,23.7,23.7,23.7,23.7,6618.0
AL30C,2023-03-29,23.7,23.7,23.7,23.7,21113.0
AL30C,2023-03-29,23.7,23.7,23.7,23.7,156158.0
