especie,fecha,apertura,maximo,minimo,cierre,volumen
AL35D,2023-01-24,30.55,30.55,30.55,30.55,200.0
AL35D,2023-01-24,29.85,29.85,29.85,29.85,637.0
AL35D,2023-01-24,30.549,30.7,30.549,30.7,16286.0
AL35D,2023-01-24,29.85,29.85,29.85,29.85,545.0
AL35D,2023-01-24,30.0,30.0,30.0,30.0,1414.0
AL35D,2023-01-24,30.549,30.549,30.549,30.549,100.0
AL35D,2023-01-24,30.12,30.12,30.12,30.12,112.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,5000.0
AL35D,2023-01-24,30.9,30.9,30.9,30.9,91.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,8.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,1.0
AL35D,2023-01-24,30.5,30.5,30.5,30.5,2821.0
AL35D,2023-01-24,30.5,30.5,30.5,30.5,2360.0
AL35D,2023-01-24,30.151,30.151,30.151,30.151,100.0
AL35D,2023-01-24,30.5,30.5,30.5,30.5,1875.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,306.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,4.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,912.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,746.0
AL35D,2023-01-24,30.75,30.75,30.75,30.75,600.0
AL35D,2023-01-24,30.9,30.9,30.9,30.9,2115.0
AL35D,2023-01-24,30.8,30.8,30.8,30.8,1837.0
AL35D,2023-01-24,30.8,30.8,30.8,30.8,20.0
AL35D,2023-01-24,30.9,30.9,30.9,30.9,7206.0
AL35D,2023-01-24,30.8,30.8,30.8,30.8,50.0
AL35D,2023-01-24,30.8,30.8,30.8,30.8,10.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,310.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,266.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,7760.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,3274.0
AL35D,2023-01-24,30.85,30.85,30.85,30.85,486.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,341.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,10.0
AL35D,2023-01-24,30.801,30.801,30.801,30.801,100.0
AL35D,2023-01-24,30.85,30.85,30.85,30.85,111.0
AL35D,2023-01-24,30.85,30.85,30.85,30.85,308.0
AL35D,2023-01-24,30.81,30.81,30.81,30.81,10.0
AL35D,2023-01-24,30.81,30.81,30.81,30.81,100.0
AL35D,2023-01-24,30.81,30.85,30.801,30.81,5672.0
AL35D,2023-01-24,30.81,30.81,30.81,30.81,180.0
AL35D,2023-01-24,30.85,30.85,30.85,30.85,1900.0
AL35D,2023-01-25,30.75,30.75,30.75,30.75,9083.0
AL35D,2023-01-25,30.5,30.5,30.5,30.5,48.0
AL35D,2023-01-25,30.8,30.8,30.8,30.8,2000.0
AL35D,2023-01-25,30.5,30.5,30.5,30.5,1827.0
AL35D,2023-01-25,30.5,30.5,30.5,30.5,1292.0
AL35D,2023-01-25,30.8,30.8,30.8,30.8,12087.0
AL35D,2023-01-25,30.8,30.8,30.8,30.8,11513.0
AL35D,2023-01-25,30.5,30.5,30.5,30.5,3364.0
AL35D,2023-01-25,30.8,30.8,30.8,30.8,600.0
AL35D,2023-01-25,30.5,30.5,30.5,30.5,1000.0
AL35D,2023-01-25,30.5,30.5,30.5,30.5,2847.0
AL35D,2023-01-25,30.8,30.8,30.8,30.8,100.0
AL35D,2023-01-25,30.78,30.78,30.78,30.78,58.0
AL35D,2023-01-25,30.78,30.78,30.78,30.78,324.0
AL35D,2023-01-25,30.75,30.75,30.75,30.75,1461.0
AL35D,2023-01-25,30.75,30.75,30.75,30.75,25.0
AL35D,2023-01-25,30.601,30.601,30.601,30.601,234.0
AL35D,2023-01-25,30.601,30.601,30.601,30.601,1304.0
AL35D,2023-01-25,30.601,30.601,30.601,30.601,1441.0
AL35D,2023-01-25,30.78,30.78,30.78,30.78,2.0
AL35D,2023-01-25,30.65,30.65,30.65,30.65,302.0
AL35D,2023-01-25,30.7,30.7,30.7,30.7,100.0
AL35D,2023-01-25,30.75,30.75,30.75,30.75,750.0
AL35D,2023-01-25,30.77,30.78,30.77,30.78,446.0
AL35D,2023-01-25,30.8,30.8,30.8,30.8,16461.0
AL35D,2023-01-26,30.8,30.8,30.8,30.8,1500.0
AL35D,2023-01-26,30.201,30.201,30.2,30.2,1255.0
AL35D,2023-01-26,31.0,31.0,31.0,31.0,79.0
AL35D,2023-01-26,31.0,31.0,31.0,31.0,1521.0
AL35D,2023-01-26,31.0,31.0,31.0,31.0,25000.0
AL35D,2023-01-26,31.0,31.0,31.0,31.0,5780.0
AL35D,2023-01-26,31.0,31.0,31.0,31.0,19220.0
AL35D,2023-01-26,31.0,31.0,31.0,31.0,23200.0
AL35D,2023-01-26,30.255,30.255,30.255,30.255,871.0
AL35D,2023-01-26,30.75,30.75,30.75,30.75,200.0
AL35D,2023-01-26,30.75,30.75,30.75,30.75,4968.0
AL35D,2023-01-26,30.75,30.75,30.75,30.75,1332.0
AL35D,2023-01-26,30.75,30.75,30.75,30.75,417.0
AL35D,2023-01-26,30.271,30.271,30.271,30.271,6.0
AL35D,2023-01-26,30.75,30.75,30.75,30.75,13083.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,5499.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,22450.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,32000.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,6632.0
AL35D,2023-01-26,30.501,30.6,30.501,30.6,16049.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,2622.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,8178.0
AL35D,2023-01-26,30.6,30.6,30.6,30.6,27300.0
