especie,fecha,apertura,maximo,minimo,cierre,volumen
AE38D,2020-09-14,49.0,50.0,49.0,49.2,1595229.0
AE38D,2020-09-15,48.6,49.1,48.1,48.35,1669565.0
AE38D,2020-09-16,47.0,47.0,45.1,45.15,978999.0
AE38D,2020-09-17,44.75,44.75,42.78,44.25,1502938.0
AE38D,2020-09-18,43.95,45.0,43.95,44.25,628866.0
AE38D,2020-09-21,43.8,43.8,42.5,43.35,1449107.0
AE38D,2020-09-22,43.73,43.73,42.0,42.65,0.0
AE38D,2020-09-23,42.0,43.0,41.25,43.0,6309586.0
AE38D,2020-09-24,43.19,43.65,42.4,43.4,1807144.0
AE38D,2020-09-25,43.5,43.5,42.21,42.89,1268582.0
AE38D,2020-09-28,43.23,43.4,42.15,42.43,671161.0
AE38D,2020-09-29,42.43,42.5,41.5,41.8,1885383.0
AE38D,2020-09-30,42.0,42.5,41.95,42.4,1459073.0
AE38D,2020-10-01,42.71,43.44,42.2,42.9,1331394.0
AE38D,2020-10-02,43.5,43.5,42.0,42.15,2607984.0
AE38D,2020-10-05,42.49,42.49,41.25,41.65,2077420.0
AE38D,2020-10-06,41.01,41.8,41.01,41.4,1840538.0
AE38D,2020-10-07,41.2,41.88,40.77,41.6,1804529.0
AE38D,2020-10-08,41.25,41.55,41.15,41.44,1035341.0
AE38D,2020-10-09,41.26,42.3,41.26,41.56,1079692.0
AE38D,2020-10-13,41.4,41.99,41.0,41.56,2160087.0
AE38D,2020-10-14,41.09,41.63,41.0,41.08,1605757.0
AE38D,2020-10-15,40.91,41.0,40.05,40.39,1400153.0
AE38D,2020-10-16,40.05,40.6,39.4,39.8,1317665.0
AE38D,2020-10-19,39.5,39.51,38.5,38.85,579307.0
AE38D,2020-10-20,38.85,38.85,37.32,37.8,418617.0
AE38D,2020-10-21,37.1,37.25,36.0,36.75,988617.0
AE38D,2020-10-22,36.09,37.74,34.5,37.74,1116445.0
AE38D,2020-10-23,37.04,37.7,36.8,37.28,1319920.0
AE38D,2020-10-26,36.81,36.97,35.9,36.0,572110.0
AE38D,2020-10-27,36.4,36.6,35.26,36.6,1049898.0
AE38D,2020-10-28,36.29,36.29,35.5,36.1,1204824.0
AE38D,2020-10-29,35.1,36.1,35.1,36.09,1084215.0
AE38D,2020-10-30,36.1,36.4,35.35,35.98,1324490.0
AE38D,2020-11-02,35.4,36.98,35.4,36.25,627018.0
AE38D,2020-11-03,36.25,37.99,36.25,36.85,1304810.0
AE38D,2020-11-04,37.7,38.5,36.5,37.25,753103.0
AE38D,2020-11-05,36.8,37.7,36.8,37.4,301306.0
AE38D,2020-11-06,37.35,37.39,37.0,37.38,1071042.0
AE38D,2020-11-09,37.15,38.0,37.15,37.9,854165.0
AE38D,2020-11-10,37.15,38.5,37.15,38.5,544145.0
AE38D,2020-11-11,38.15,38.49,38.1,38.45,313436.0
AE38D,2020-11-12,38.1,39.25,38.1,39.0,851826.0
AE38D,2020-11-13,38.52,39.67,38.52,39.67,700450.0
AE38D,2020-11-16,39.1,40.1,39.1,39.8,866785.0
AE38D,2020-11-17,39.5,39.74,39.25,39.65,1468598.0
AE38D,2020-11-18,39.5,39.65,39.26,39.4,306005.0
AE38D,2020-11-19,39.0,39.16,38.75,39.0,573188.0
AE38D,2020-11-20,39.5,39.5,38.1,38.79,1544154.0
AE38D,2020-11-24,38.1,38.94,38.0,38.09,359429.0
AE38D,2020-11-25,38.01,38.12,37.63,38.0,632050.0
AE38D,2020-11-26,37.61,37.99,37.4,37.51,280283.0
AE38D,2020-11-27,37.25,37.94,37.25,37.5,401311.0
AE38D,2020-11-30,37.05,37.5,36.72,37.15,773524.0
AE38D,2020-12-01,37.4,37.4,36.5,36.95,240456.0
AE38D,2020-12-02,37.35,37.98,36.4,37.98,312491.0
AE38D,2020-12-03,37.4,37.7,36.71,37.7,271506.0
