especie,fecha,apertura,maximo,minimo,cierre,volumen
AL30C,2020-09-14,49.0,50.0,49.0,49.05,45562988.0
AL30C,2020-09-15,49.25,50.1,48.3,48.6,11117126.0
AL30C,2020-09-16,46.0,47.5,45.9,46.4,8692025.0
AL30C,2020-09-17,46.4,46.4,44.0,44.75,14728862.0
AL30C,2020-09-18,44.7,45.5,44.0,44.5,21917696.0
AL30C,2020-09-21,44.0,44.0,42.25,43.2,21115274.0
AL30C,2020-09-22,43.17,43.5,41.1,41.35,0.0
AL30C,2020-09-23,41.0,42.7,40.1,42.18,27713266.0
AL30C,2020-09-24,41.75,44.2,41.0,42.7,32445719.0
AL30C,2020-09-25,43.1,43.5,42.0,42.6,10921618.0
AL30C,2020-09-28,42.99,43.64,42.08,43.0,10045624.0
AL30C,2020-09-29,43.0,43.0,41.75,41.75,30072737.0
AL30C,2020-09-30,42.0,42.57,41.8,42.5,9748950.0
AL30C,2020-10-01,42.1,42.88,42.1,42.6,38401209.0
AL30C,2020-10-02,41.69,42.0,41.0,41.99,33952864.0
AL30C,2020-10-05,41.25,41.82,40.76,41.8,16326420.0
AL30C,2020-10-06,41.8,41.8,40.5,40.85,15424657.0
AL30C,2020-10-07,40.7,41.4,40.5,41.4,13728499.0
AL30C,2020-10-08,40.8,41.35,40.7,41.1,12875536.0
AL30C,2020-10-09,41.2,41.4,40.77,41.4,24504241.0
AL30C,2020-10-13,41.5,41.5,40.61,41.5,23684831.0
AL30C,2020-10-14,42.5,42.5,40.25,40.79,18038641.0
AL30C,2020-10-15,40.0,41.55,39.9,40.81,24340393.0
AL30C,2020-10-16,40.25,41.41,40.25,40.65,21515168.0
AL30C,2020-10-19,40.65,40.67,39.8,40.3,22485122.0
AL30C,2020-10-20,39.75,40.41,38.6,38.75,20415458.0
AL30C,2020-10-21,39.5,39.5,37.2,37.5,24146172.0
AL30C,2020-10-22,36.55,37.2,36.0,36.12,23852421.0
AL30C,2020-10-23,36.5,38.49,36.01,36.9,16443415.0
AL30C,2020-10-26,37.0,37.0,35.76,36.4,22399847.0
AL30C,2020-10-27,35.6,37.1,35.6,36.9,34929237.0
AL30C,2020-10-28,36.9,37.0,36.25,36.9,38864262.0
AL30C,2020-10-29,36.2,36.9,36.05,36.9,35297085.0
AL30C,2020-10-30,36.25,36.9,36.0,36.9,29526177.0
AL30C,2020-11-02,37.0,37.0,36.3,37.0,27043799.0
AL30C,2020-11-03,36.55,37.0,36.06,37.0,44058601.0
AL30C,2020-11-04,36.35,36.9,36.1,36.9,57094839.0
AL30C,2020-11-05,37.19,37.19,36.0,36.7,34217884.0
AL30C,2020-11-06,36.1,36.6,36.0,36.6,16624566.0
AL30C,2020-11-09,36.9,37.25,36.55,36.95,22058236.0
AL30C,2020-11-10,36.35,37.1,36.35,37.1,22208543.0
AL30C,2020-11-11,37.1,38.4,36.65,38.14,22648596.0
AL30C,2020-11-12,38.32,38.6,37.35,38.34,44086582.0
AL30C,2020-11-13,38.0,38.6,37.9,38.45,30400605.0
AL30C,2020-11-16,38.45,39.1,38.4,39.0,49705293.0
AL30C,2020-11-17,38.9,39.17,38.42,39.05,34321958.0
AL30C,2020-11-18,38.6,39.0,38.6,38.9,53654132.0
AL30C,2020-11-19,38.7,38.8,38.25,38.55,57141597.0
AL30C,2020-11-20,38.5,38.7,38.2,38.35,99443220.0
AL30C,2020-11-24,38.35,38.4,38.0,38.13,18549113.0
AL30C,2020-11-25,37.9,38.7,37.61,38.2,17326670.0
AL30C,2020-11-26,38.3,38.4,38.0,38.3,11509659.0
AL30C,2020-11-27,38.09,38.46,38.03,38.1,21356113.0
AL30C,2020-11-30,37.53,38.17,36.95,37.7,29700365.0
AL30C,2020-12-01,37.4,37.84,37.3,37.5,13369230.0
AL30C,2020-12-02,37.48,37.65,37.35,37.63,15228306.0
AL30C,2020-12-03,37.5,37.85,37.3,37.8,9007412.0
AL30C,2020-12-04,37.35,37.9,37.35,37.84,12646930.0
AL30C,2020-12-09,37.84,38.72,37.18,38.21,12772673.0
AL30C,2020-12-10,38.35,38.8,38.2,38.65,8875743.0
AL30C,2020-12-11,38.65,39.29,38.35,39.13,6047834.0
AL30C,2020-12-14,39.13,39.6,39.0,39.6,10805133.0
AL30C,2020-12-15,39.35,39.65,39.35,39.5,26856437.0
AL30C,2020-12-16,39.3,39.5,39.0,39.38,16313906.0
AL30C,2020-12-17,39.4,39.4,39.1,39.32,17458318.0
AL30C,2020-12-18,39.15,39.85,39.0,39.85,14628927.0
AL30C,2020-12-21,39.5,40.5,39.32,40.45,14212806.0
AL30C,2020-12-22,40.5,40.6,40.01,40.5,12932615.0
AL30C,2020-12-23,40.5,40.59,40.15,40.59,38414576.0
AL30C,2020-12-28,40.2,40.8,40.2,40.8,19457013.0
AL30C,2020-12-29,40.5,40.85,40.5,40.85,42268700.0
AL30C,2020-12-30,40.6,40.88,40.55,40.86,60391620.0
AL30C,2021-01-04,40.01,40.55,40.01,40.55,82594701.0
AL30C,2021-01-05,39.5,40.18,39.5,40.15,72328778.0
AL30C,2021-01-06,39.8,40.07,39.8,40.05,62345489.0
AL30C,2021-01-07,39.99,39.99,39.25,39.7,66552280.0
AL30C,2021-01-08,39.2,39.45,39.01,39.45,33386955.0
AL30C,2021-01-11,39.39,39.5,38.51,39.0,47113334.0
AL30C,2021-01-12,38.55,39.0,38.5,39.0,22067022.0
AL30C,2021-01-13,38.5,39.15,38.5,38.95,52128281.0
AL30C,2021-01-14,38.41,38.65,38.32,38.65,28673898.0
AL30C,2021-01-15,39.35,39.35,38.01,38.45,27834927.0
AL30C,2021-01-18,38.44,38.44,38.01,38.29,14624802.0
AL30C,2021-01-19,38.5,38.5,37.9,38.16,16718888.0
AL30C,2021-01-20,37.75,38.2,37.75,38.1,7109658.0
AL30C,2021-01-21,38.2,38.2,37.8,37.93,7296907.0
AL30C,2021-01-22,37.93,37.93,37.56,37.93,8923630.0
AL30C,2021-01-25,37.65,37.9,37.6,37.89,15294686.0
AL30C,2021-01-26,37.6,37.88,37.6,37.85,11702000.0
AL30C,2021-01-27,37.6,37.75,37.55,37.72,8887040.0
AL30C,2021-01-28,37.75,37.75,37.46,37.57,14470635.0
AL30C,2021-01-29,37.6,37.6,37.2,37.47,12066742.0
AL30C,2021-02-01,37.15,37.49,37.15,37.42,17687086.0
AL30C,2021-02-02,37.2,37.33,37.2,37.31,16684239.0
AL30C,2021-02-03,37.3,37.3,37.0,37.17,16571912.0
AL30C,2021-02-04,37.15,37.15,36.79,37.04,18026703.0
AL30C,2021-02-05,37.1,38.25,36.5,38.25,16799563.0
AL30C,2021-02-08,36.99,37.05,36.53,37.05,15081989.0
AL30C,2021-02-09,36.55,36.94,36.55,36.94,11030493.0
AL30C,2021-02-10,36.9,36.9,36.5,36.86,19102315.0
AL30C,2021-02-11,36.86,36.86,36.0,36.08,4108231.0
AL30C,2021-02-12,36.0,36.15,35.5,35.5,1378851.0
AL30C,2021-02-17,35.9,35.9,34.61,35.05,1779981.0
AL30C,2021-02-18,35.0,35.78,35.0,35.73,1606073.0
AL30C,2021-02-19,35.4,35.73,35.2,35.3,946319.0
AL30C,2021-02-22,35.3,35.6,34.62,35.4,2420984.0
AL30C,2021-02-23,35.6,35.6,34.75,34.85,2069502.0
AL30C,2021-02-24,34.7,35.2,34.65,35.2,3839130.0
AL30C,2021-02-25,34.61,35.6,34.61,35.59,9048649.0
AL30C,2021-02-26,35.05,36.97,35.01,35.92,18596874.0
AL30C,2021-03-01,35.0,36.18,35.0,36.15,19641146.0
AL30C,2021-03-02,36.15,36.15,35.4,36.0,27895228.0
AL30C,2021-03-03,35.55,35.99,34.5,35.69,19757913.0
AL30C,2021-03-04,36.9,36.9,35.16,35.85,28175445.0
AL30C,2021-03-05,35.5,35.8,34.6,35.3,29446040.0
AL30C,2021-03-08,34.3,34.95,34.0,34.95,38362759.0
AL30C,2021-03-09,35.0,35.0,34.1,34.39,42391889.0
AL30C,2021-03-10,34.5,34.5,32.5,32.5,10469970.0
AL30C,2021-03-11,32.85,32.85,32.2,32.6,5960563.0
AL30C,2021-03-12,32.26,33.55,32.1,33.48,8497907.0
AL30C,2021-03-15,34.0,34.0,33.1,33.87,6627228.0
AL30C,2021-03-16,33.65,34.3,33.65,34.3,7849075.0
AL30C,2021-03-17,33.5,34.8,33.5,34.8,6275719.0
AL30C,2021-03-18,34.99,34.99,34.15,34.63,18113415.0
AL30C,2021-03-19,34.31,34.75,34.3,34.54,3136630.0
AL30C,2021-03-22,34.45,35.09,34.3,35.0,2567230.0
AL30C,2021-03-23,34.47,35.1,34.0,34.55,1861969.0
AL30C,2021-03-25,34.0,34.25,33.5,33.75,2821501.0
AL30C,2021-03-26,33.75,34.1,33.4,33.49,2770544.0
AL30C,2021-03-29,33.0,34.25,32.8,32.82,2125637.0
AL30C,2021-03-30,32.61,33.06,32.55,32.86,1849758.0
AL30C,2021-03-31,32.85,33.8,32.4,32.9,3559712.0
AL30C,2021-04-05,32.89,33.4,32.47,33.4,1211847.0
AL30C,2021-04-06,33.6,33.6,32.9,33.5,5184360.0
AL30C,2021-04-07,33.0,33.37,32.95,33.37,6686248.0
AL30C,2021-04-08,33.13,33.3,32.81,33.3,10743896.0
AL30C,2021-04-09,33.0,33.05,32.7,32.93,7273143.0
AL30C,2021-04-12,33.99,33.99,32.9,32.97,1807345.0
AL30C,2021-04-13,32.95,33.2,32.72,32.98,1211507.0
AL30C,2021-04-14,33.05,33.89,32.75,32.88,1655846.0
AL30C,2021-04-15,32.5,32.88,32.36,32.45,566730.0
AL30C,2021-04-16,32.25,32.85,32.25,32.34,1349776.0
AL30C,2021-04-19,32.34,32.7,32.3,32.55,810611.0
AL30C,2021-04-20,32.45,32.78,32.4,32.68,2620093.0
AL30C,2021-04-21,32.47,32.64,32.45,32.61,895010.0
AL30C,2021-04-22,32.65,32.9,32.53,32.9,929524.0
AL30C,2021-04-23,33.0,33.15,32.61,33.15,2742358.0
AL30C,2021-04-26,32.77,34.1,32.44,34.1,3995047.0
AL30C,2021-04-27,34.25,34.5,33.8,34.5,7129754.0
AL30C,2021-04-28,34.67,34.8,34.01,34.6,22388354.0
AL30C,2021-04-29,34.3,34.59,34.02,34.5,20624680.0
AL30C,2021-04-30,34.06,34.49,34.05,34.38,14470352.0
AL30C,2021-05-03,34.38,34.46,34.0,34.44,22238679.0
AL30C,2021-05-04,34.75,34.75,34.0,34.38,24349237.0
AL30C,2021-05-05,35.6,35.6,34.15,34.32,24377995.0
AL30C,2021-05-06,34.1,34.2,33.88,34.06,8869375.0
AL30C,2021-05-07,33.8,34.06,33.24,33.52,3627364.0
AL30C,2021-05-10,33.3,33.72,33.21,33.42,2162331.0
AL30C,2021-05-11,33.13,33.24,32.77,32.8,4096103.0
AL30C,2021-05-12,32.6,33.2,32.6,33.0,971377.0
AL30C,2021-05-13,33.5,33.5,33.0,33.15,1725232.0
AL30C,2021-05-14,33.0,34.15,33.0,33.99,2785266.0
AL30C,2021-05-17,33.9,34.65,33.9,34.58,4480272.0
AL30C,2021-05-18,34.48,34.65,34.2,34.58,10928968.0
AL30C,2021-05-19,34.55,34.55,33.9,34.05,10249627.0
AL30C,2021-05-20,33.7,34.0,33.47,33.78,19233243.0
AL30C,2021-05-21,33.4,33.75,33.2,33.45,18411729.0
