especie,fecha,apertura,maximo,minimo,cierre,volumen
AL35D,2020-09-14,42.1,45.0,42.1,44.54,417442.0
AL35D,2020-09-15,44.5,44.6,43.9,44.55,1372476.0
AL35D,2020-09-16,42.6,43.1,41.65,41.9,582824.0
AL35D,2020-09-17,41.9,41.99,40.15,41.75,1543900.0
AL35D,2020-09-18,42.0,42.49,40.85,41.6,490481.0
AL35D,2020-09-21,41.5,41.5,39.65,40.24,265926.0
AL35D,2020-09-22,40.99,40.99,37.63,38.5,0.0
AL35D,2020-09-23,39.0,39.95,37.5,39.75,2650432.0
AL35D,2020-09-24,39.75,41.9,39.5,41.9,1936359.0
AL35D,2020-09-25,42.8,42.8,40.3,41.5,174590.0
AL35D,2020-09-28,41.0,41.4,40.12,41.0,1023967.0
AL35D,2020-09-29,41.0,41.0,39.4,39.9,465323.0
AL35D,2020-09-30,40.0,40.99,38.8,40.74,533549.0
AL35D,2020-10-01,41.0,42.0,40.0,40.8,6115191.0
AL35D,2020-10-02,41.3,41.3,39.55,40.05,810100.0
AL35D,2020-10-05,40.5,40.5,39.25,39.5,643094.0
AL35D,2020-10-06,40.0,40.5,39.3,39.96,610658.0
AL35D,2020-10-07,39.51,40.7,39.5,40.1,504612.0
AL35D,2020-10-08,39.0,39.99,39.0,39.88,227019.0
AL35D,2020-10-09,39.8,40.0,39.25,40.0,644141.0
AL35D,2020-10-13,39.99,40.09,39.1,39.7,820104.0
AL35D,2020-10-14,39.7,39.7,39.0,39.38,434394.0
AL35D,2020-10-15,38.5,39.0,38.0,38.4,492663.0
AL35D,2020-10-16,37.85,38.85,37.3,37.67,638570.0
AL35D,2020-10-19,36.54,37.01,36.16,36.95,904710.0
AL35D,2020-10-20,37.6,37.6,34.71,36.04,727547.0
AL35D,2020-10-21,36.0,36.0,34.25,34.5,330529.0
AL35D,2020-10-22,34.25,35.4,33.23,35.0,728188.0
AL35D,2020-10-23,34.96,36.5,34.0,35.45,2180461.0
AL35D,2020-10-26,35.0,35.3,34.2,34.2,633299.0
AL35D,2020-10-27,35.0,36.0,33.92,35.2,422468.0
AL35D,2020-10-28,35.5,35.75,34.2,35.0,281008.0
AL35D,2020-10-29,35.0,35.4,34.35,35.01,297622.0
AL35D,2020-10-30,35.01,35.48,34.5,35.1,241115.0
AL35D,2020-11-02,35.0,35.43,34.55,35.06,248852.0
AL35D,2020-11-03,35.06,35.89,35.06,35.5,226255.0
AL35D,2020-11-04,34.5,35.99,34.5,35.6,798412.0
AL35D,2020-11-05,34.5,36.5,34.5,36.25,874794.0
AL35D,2020-11-06,36.5,36.5,35.79,35.8,209222.0
AL35D,2020-11-09,36.9,38.0,36.02,37.25,414666.0
AL35D,2020-11-10,37.25,37.69,37.0,37.1,461105.0
AL35D,2020-11-11,36.75,37.3,36.31,37.3,352987.0
AL35D,2020-11-12,37.2,37.2,36.3,36.6,854471.0
AL35D,2020-11-13,37.99,37.99,36.31,36.83,603014.0
AL35D,2020-11-16,36.5,37.25,36.5,37.25,1649937.0
AL35D,2020-11-17,36.21,37.58,36.21,37.2,2914965.0
AL35D,2020-11-18,36.21,37.69,36.21,37.5,1305262.0
AL35D,2020-11-19,37.5,37.5,36.5,36.89,439152.0
AL35D,2020-11-20,36.01,37.3,36.01,36.75,989042.0
AL35D,2020-11-24,36.75,36.75,36.1,36.26,133334.0
AL35D,2020-11-25,36.02,36.59,35.3,36.4,331567.0
AL35D,2020-11-26,36.3,36.3,35.5,35.71,405993.0
AL35D,2020-11-27,35.71,36.23,35.51,36.23,171517.0
AL35D,2020-11-30,36.23,36.23,35.5,35.99,159735.0
AL35D,2020-12-01,35.45,35.9,35.35,35.36,353068.0
AL35D,2020-12-02,35.35,35.7,35.0,35.6,129771.0
AL35D,2020-12-03,34.72,35.7,34.72,35.68,973899.0
AL35D,2020-12-04,35.7,35.89,34.96,35.3,233263.0
AL35D,2020-12-09,35.01,35.29,34.5,34.9,356614.0
AL35D,2020-12-10,34.5,35.6,34.48,35.51,938230.0
AL35D,2020-12-11,35.39,35.8,34.5,35.6,497773.0
AL35D,2020-12-14,35.01,35.79,35.01,35.6,213052.0
AL35D,2020-12-15,35.4,35.68,35.0,35.1,595924.0
AL35D,2020-12-16,35.0,35.9,34.85,35.1,499368.0
AL35D,2020-12-17,34.77,35.85,34.76,35.85,1728361.0
AL35D,2020-12-18,35.5,36.5,35.25,36.18,513470.0
AL35D,2020-12-21,36.2,37.0,35.36,37.0,405838.0
AL35D,2020-12-22,36.99,37.28,36.0,36.5,200689.0
AL35D,2020-12-23,36.3,36.78,36.3,36.3,166124.0
AL35D,2020-12-28,36.3,36.99,35.87,36.75,297654.0
AL35D,2020-12-29,36.75,36.99,36.1,36.6,212752.0
AL35D,2020-12-30,36.06,36.79,36.01,36.5,319799.0
AL35D,2021-01-04,35.5,36.5,35.5,36.1,209625.0
AL35D,2021-01-05,36.45,36.45,35.26,35.64,330669.0
AL35D,2021-01-06,35.08,35.88,35.0,35.75,421765.0
AL35D,2021-01-07,35.03,35.4,34.81,35.11,583073.0
AL35D,2021-01-08,34.7,35.2,34.28,35.0,398357.0
AL35D,2021-01-11,35.3,35.3,34.5,35.0,183431.0
AL35D,2021-01-12,35.5,35.5,34.0,34.8,164776.0
AL35D,2021-01-13,34.26,34.99,34.13,34.4,287656.0
AL35D,2021-01-14,34.01,34.8,34.01,34.39,407637.0
AL35D,2021-01-15,34.0,34.25,34.0,34.25,334863.0
AL35D,2021-01-18,34.05,34.25,33.5,34.25,212933.0
AL35D,2021-01-19,34.0,34.44,33.9,34.4,257515.0
AL35D,2021-01-20,34.0,34.49,34.0,34.1,285032.0
AL35D,2021-01-21,33.8,34.4,33.55,33.7,326642.0
AL35D,2021-01-22,33.7,34.14,33.46,34.04,1262093.0
AL35D,2021-01-25,33.41,34.2,33.0,34.2,858002.0
AL35D,2021-01-26,34.55,34.55,33.83,34.05,547688.0
AL35D,2021-01-27,34.1,34.15,33.66,34.0,356229.0
AL35D,2021-01-28,34.0,34.0,33.65,33.9,181041.0
AL35D,2021-01-29,33.7,33.9,33.57,33.63,260886.0
AL35D,2021-02-01,35.0,35.0,33.5,33.8,160169.0
AL35D,2021-02-02,33.7,33.9,33.55,33.8,194966.0
AL35D,2021-02-03,33.5,33.99,33.5,33.9,1572753.0
AL35D,2021-02-04,33.7,34.1,33.7,34.1,107836.0
AL35D,2021-02-05,33.71,34.4,33.71,34.11,214276.0
AL35D,2021-02-08,33.9,34.11,33.71,34.1,312199.0
AL35D,2021-02-09,34.1,34.1,33.71,33.81,836331.0
AL35D,2021-02-10,33.71,33.89,33.49,33.89,583999.0
AL35D,2021-02-11,33.5,33.96,33.5,33.8,309410.0
AL35D,2021-02-12,33.65,33.74,33.39,33.55,607852.0
AL35D,2021-02-17,33.6,33.8,32.7,32.9,590307.0
AL35D,2021-02-18,32.9,33.28,32.35,33.01,731254.0
AL35D,2021-02-19,33.0,33.0,32.47,32.5,557931.0
AL35D,2021-02-22,32.3,32.45,31.5,32.25,2659250.0
AL35D,2021-02-23,32.19,32.4,31.85,32.11,1345687.0
AL35D,2021-02-24,31.86,32.78,31.51,32.5,332318.0
AL35D,2021-02-25,32.1,33.8,32.1,32.9,658628.0
AL35D,2021-02-26,32.2,33.1,32.2,33.0,348429.0
AL35D,2021-03-01,32.42,33.4,32.42,33.01,787734.0
AL35D,2021-03-02,32.91,33.25,32.2,32.21,927725.0
AL35D,2021-03-03,31.1,32.2,31.1,31.85,1191185.0
AL35D,2021-03-04,32.2,32.89,31.83,32.56,106992.0
AL35D,2021-03-05,32.5,32.5,31.54,31.65,366897.0
AL35D,2021-03-08,31.61,31.61,30.6,31.31,304965.0
AL35D,2021-03-09,31.0,31.29,30.5,30.52,226180.0
AL35D,2021-03-10,30.0,30.5,29.5,29.8,256106.0
AL35D,2021-03-11,29.35,30.44,29.35,30.26,910254.0
AL35D,2021-03-12,29.0,30.9,29.0,30.5,535591.0
AL35D,2021-03-15,30.06,30.99,30.0,30.95,337154.0
AL35D,2021-03-16,30.95,31.44,30.9,31.29,314420.0
AL35D,2021-03-17,31.0,31.66,30.69,31.66,190046.0
AL35D,2021-03-18,31.5,32.5,31.25,31.6,308988.0
AL35D,2021-03-19,31.01,32.2,31.01,32.16,368958.0
AL35D,2021-03-22,32.16,32.8,31.76,32.75,109649.0
AL35D,2021-03-23,32.45,32.92,32.26,32.74,312792.0
AL35D,2021-03-25,32.26,32.26,31.26,31.51,208548.0
AL35D,2021-03-26,31.26,31.6,31.14,31.2,299204.0
AL35D,2021-03-29,31.1,32.0,30.56,30.81,374179.0
AL35D,2021-03-30,30.58,30.88,30.4,30.69,63181.0
AL35D,2021-03-31,30.1,30.7,30.1,30.49,322017.0
AL35D,2021-04-05,30.12,31.0,30.12,30.6,661605.0
AL35D,2021-04-06,30.49,30.89,30.25,30.5,119308.0
