especie,fecha,apertura,maximo,minimo,cierre,volumen
CER,2002-02-02,1,1,1,1,0
CER,2002-02-03,1,1,1,1,0
CER,2002-02-04,0.9999,0.9999,0.9999,0.9999,0
CER,2002-02-05,0.9999,0.9999,0.9999,0.9999,0
CER,2002-02-06,0.9999,0.9999,0.9999,0.9999,0
CER,2002-02-07,1.0007,1.0007,1.0007,1.0007,0
CER,2002-02-08,1.0015,1.0015,1.0015,1.0015,0
CER,2002-02-09,1.0023,1.0023,1.0023,1.0023,0
CER,2002-02-10,1.0031,1.0031,1.0031,1.0031,0
CER,2002-02-11,1.0039,1.0039,1.0039,1.0039,0
CER,2002-02-12,1.0048,1.0048,1.0048,1.0048,0
CER,2002-02-13,1.0056,1.0056,1.0056,1.0056,0
CER,2002-02-14,1.0064,1.0064,1.0064,1.0064,0
CER,2002-02-15,1.0072,1.0072,1.0072,1.0072,0
CER,2002-02-16,1.008,1.008,1.008,1.008,0
CER,2002-02-17,1.0088,1.0088,1.0088,1.0088,0
CER,2002-02-18,1.0097,1.0097,1.0097,1.0097,0
CER,2002-02-19,1.0105,1.0105,1.0105,1.0105,0
CER,2002-02-20,1.0113,1.0113,1.0113,1.0113,0
CER,2002-02-21,1.0121,1.0121,1.0121,1.0121,0
CER,2002-02-22,1.0129,1.0129,1.0129,1.0129,0
CER,2002-02-23,1.0138,1.0138,1.0138,1.0138,0
CER,2002-02-24,1.0146,1.0146,1.0146,1.0146,0
CER,2002-02-25,1.0154,1.0154,1.0154,1.0154,0
CER,2002-02-26,1.0162,1.0162,1.0162,1.0162,0
CER,2002-02-27,1.017,1.017,1.017,1.017,0
CER,2002-02-28,1.0179,1.0179,1.0179,1.0179,0
CER,2002-03-01,1.0186,1.0186,1.0186,1.0186,0
CER,2002-03-02,1.0194,1.0194,1.0194,1.0194,0
CER,2002-03-03,1.0201,1.0201,1.0201,1.0201,0
CER,2002-03-04,1.0209,1.0209,1.0209,1.0209,0
CER,2002-03-05,1.0216,1.0216,1.0216,1.0216,0
CER,2002-03-06,1.0223,1.0223,1.0223,1.0223,0
CER,2002-03-07,1.0234,1.0234,1.0234,1.0234,0
CER,2002-03-08,1.0244,1.0244,1.0244,1.0244,0
CER,2002-03-09,1.0254,1.0254,1.0254,1.0254,0
CER,2002-03-10,1.0264,1.0264,1.0264,1.0264,0
CER,2002-03-11,1.0275,1.0275,1.0275,1.0275,0
CER,2002-03-12,1.0285,1.0285,1.0285,1.0285,0
CER,2002-03-13,1.0295,1.0295,1.0295,1.0295,0
CER,2002-03-14,1.0305,1.0305,1.0305,1.0305,0
CER,2002-03-15,1.0316,1.0316,1.0316,1.0316,0
CER,2002-03-16,1.0326,1.0326,1.0326,1.0326,0
CER,2002-03-17,1.0336,1.0336,1.0336,1.0336,0
CER,2002-03-18,1.0346,1.0346,1.0346,1.0346,0
CER,2002-03-19,1.0357,1.0357,1.0357,1.0357,0
CER,2002-03-20,1.0367,1.0367,1.0367,1.0367,0
CER,2002-03-21,1.0377,1.0377,1.0377,1.0377,0
CER,2002-03-22,1.0388,1.0388,1.0388,1.0388,0
CER,2002-03-23,1.0398,1.0398,1.0398,1.0398,0
CER,2002-03-24,1.0408,1.0408,1.0408,1.0408,0
CER,2002-03-25,1.0419,1.0419,1.0419,1.0419,0
CER,2002-03-26,1.0429,1.0429,1.0429,1.0429,0
CER,2002-03-27,1.044,1.044,1.044,1.044,0
CER,2002-03-28,1.045,1.045,1.045,1.045,0
CER,2002-03-29,1.046,1.046,1.046,1.046,0
CER,2002-03-30,1.0471,1.0471,1.0471,1.0471,0
CER,2002-03-31,1.0481,1.0481,1.0481,1.0481,0
CER,2002-04-01,1.0492,1.0492,1.0492,1.0492,0
CER,2002-04-02,1.0503,1.0503,1.0503,1.0503,0
CER,2002-04-03,1.0514,1.0514,1.0514,1.0514,0
CER,2002-04-04,1.0524,1.0524,1.0524,1.0524,0
CER,2002-04-05,1.0535,1.0535,1.0535,1.0535,0
CER,2002-04-06,1.0546,1.0546,1.0546,1.0546,0
CER,2002-04-07,1.056,1.056,1.056,1.056,0
CER,2002-04-08,1.0573,1.0573,1.0573,1.0573,0
CER,2002-04-09,1.0587,1.0587,1.0587,1.0587,0
CER,2002-04-10,1.0601,1.0601,1.0601,1.0601,0
CER,2002-04-11,1.0615,1.0615,1.0615,1.0615,0
CER,2002-04-12,1.0628,1.0628,1.0628,1.0628,0
CER,2002-04-13,1.0642,1.0642,1.0642,1.0642,0
CER,2002-04-14,1.0656,1.0656,1.0656,1.0656,0
CER,2002-04-15,1.067,1.067,1.067,1.067,0
CER,2002-04-16,1.0684,1.0684,1.0684,1.0684,0
CER,2002-04-17,1.0697,1.0697,1.0697,1.0697,0
CER,2002-04-18,1.0711,1.0711,1.0711,1.0711,0
CER,2002-04-19,1.0725,1.0725,1.0725,1.0725,0
CER,2002-04-20,1.0739,1.0739,1.0739,1.0739,0
CER,2002-04-21,1.0753,1.0753,1.0753,1.0753,0
CER,2002-04-22,1.0767,1.0767,1.0767,1.0767,0
CER,2002-04-23,1.0781,1.0781,1.0781,1.0781,0
CER,2002-04-24,1.0795,1.0795,1.0795,1.0795,0
CER,2002-04-25,1.0809,1.0809,1.0809,1.0809,0
CER,2002-04-26,1.0823,1.0823,1.0823,1.0823,0
CER,2002-04-27,1.0837,1.0837,1.0837,1.0837,0
CER,2002-04-28,1.0851,1.0851,1.0851,1.0851,0
CER,2002-04-29,1.0865,1.0865,1.0865,1.0865,0
CER,2002-04-30,1.0879,1.0879,1.0879,1.0879,0
CER,2002-05-01,1.0893,1.0893,1.0893,1.0893,0
CER,2002-05-02,1.0906,1.0906,1.0906,1.0906,0
CER,2002-05-03,1.092,1.092,1.092,1.092,0
CER,2002-05-04,1.0934,1.0934,1.0934,1.0934,0
CER,2002-05-05,1.0947,1.0947,1.0947,1.0947,0
CER,2002-05-06,1.0961,1.0961,1.0961,1.0961,0
CER,2002-05-07,1.0996,1.0996,1.0996,1.0996,0
CER,2002-05-08,1.1031,1.1031,1.1031,1.1031,0
CER,2002-05-09,1.1067,1.1067,1.1067,1.1067,0
CER,2002-05-10,1.1102,1.1102,1.1102,1.1102,0
CER,2002-05-11,1.1137,1.1137,1.1137,1.1137,0
CER,2002-05-12,1.1173,1.1173,1.1173,1.1173,0
CER,2002-05-13,1.1209,1.1209,1.1209,1.1209,0
CER,2002-05-14,1.1244,1.1244,1.1244,1.1244,0
CER,2002-05-15,1.128,1.128,1.128,1.128,0
CER,2002-05-16,1.1316,1.1316,1.1316,1.1316,0
CER,2002-05-17,1.1352,1.1352,1.1352,1.1352,0
CER,2002-05-18,1.1389,1.1389,1.1389,1.1389,0
CER,2002-05-19,1.1425,1.1425,1.1425,1.1425,0
CER,2002-05-20,1.1462,1.1462,1.1462,1.1462,0
CER,2002-05-21,1.1498,1.1498,1.1498,1.1498,0
CER,2002-05-22,1.1535,1.1535,1.1535,1.1535,0
CER,2002-05-23,1.1572,1.1572,1.1572,1.1572,0
CER,2002-05-24,1.1609,1.1609,1.1609,1.1609,0
CER,2002-05-25,1.1646,1.1646,1.1646,1.1646,0
CER,2002-05-26,1.1683,1.1683,1.1683,1.1683,0
CER,2002-05-27,1.172,1.172,1.172,1.172,0
CER,2002-05-28,1.1758,1.1758,1.1758,1.1758,0
CER,2002-05-29,1.1795,1.1795,1.1795,1.1795,0
CER,2002-05-30,1.1833,1.1833,1.1833,1.1833,0
CER,2002-05-31,1.1871,1.1871,1.1871,1.1871,0
CER,2002-06-01,1.191,1.191,1.191,1.191,0
CER,2002-06-02,1.1949,1.1949,1.1949,1.1949,0
CER,2002-06-03,1.1988,1.1988,1.1988,1.1988,0
CER,2002-06-04,1.2028,1.2028,1.2028,1.2028,0
