especie,fecha,apertura,maximo,minimo,cierre,volumen
CUAP,2020-09-08,1316.0,1330.0,1273.0,1285.0,15710.0
CUAP,2020-09-09,1310.0,1310.0,1240.0,1259.5,24079.0
CUAP,2020-09-10,1259.5,1270.0,1239.0,1252.0,146756.0
CUAP,2020-09-11,1252.0,1259.5,1242.0,1259.5,4851.0
CUAP,2020-09-14,1270.0,1270.0,1230.0,1235.0,52108.0
CUAP,2020-09-15,1220.0,1235.0,1220.0,1235.0,12673.0
CUAP,2020-09-16,1235.0,1235.0,1206.0,1209.0,76424.0
CUAP,2020-09-17,1206.0,1218.0,1206.0,1214.0,30195.0
CUAP,2020-09-18,1215.0,1235.0,1215.0,1233.5,16795.0
CUAP,2020-09-21,1200.0,1223.5,1200.0,1223.5,22551.0
CUAP,2020-09-22,1200.5,1210.0,1190.0,1190.0,0.0
CUAP,2020-09-23,1180.0,1180.0,1140.0,1154.0,117776.0
CUAP,2020-09-24,1184.0,1184.0,1140.0,1159.5,77280.0
CUAP,2020-09-25,1160.0,1160.0,1149.0,1150.0,6917.0
CUAP,2020-09-28,1150.0,1150.0,1130.0,1131.0,37893.0
CUAP,2020-09-29,1122.0,1130.0,1122.0,1130.0,12619.0
CUAP,2020-09-30,1141.0,1190.0,1110.0,1150.0,18997.0
CUAP,2020-10-01,1140.0,1170.0,1140.0,1166.0,2148.0
CUAP,2020-10-02,1160.0,1185.0,1145.0,1158.0,35782.0
CUAP,2020-10-05,1149.0,1149.0,1149.0,1149.0,7092.0
CUAP,2020-10-06,1160.0,1199.0,1160.0,1190.0,242174.0
CUAP,2020-10-07,1189.0,1230.0,1189.0,1216.0,57752.0
CUAP,2020-10-08,1218.0,1218.0,1218.0,1218.0,52638.0
CUAP,2020-10-09,1183.0,1200.0,1150.0,1200.0,589045.0
CUAP,2020-10-13,1180.0,1185.0,1180.0,1180.0,423775.0
CUAP,2020-10-14,1200.0,1200.0,1145.0,1145.0,5728.0
CUAP,2020-10-15,1150.0,1170.0,1140.0,1170.0,1372576.0
CUAP,2020-10-16,1180.0,1180.0,1120.0,1179.0,53387.0
CUAP,2020-10-19,1180.0,1180.0,1160.0,1180.0,220039.0
CUAP,2020-10-20,1145.0,1145.0,1145.0,1145.0,9371.0
