especie,fecha,apertura,maximo,minimo,cierre,volumen
DICP,2020-09-08,1965.0,1990.0,1965.0,1990.0,1913557.0
DICP,2020-09-09,1990.0,1990.0,1960.0,1979.0,576684.0
DICP,2020-09-10,1979.0,1982.0,1960.0,1971.0,1660648.0
DICP,2020-09-11,1972.0,1977.0,1955.0,1965.0,704415.0
DICP,2020-09-14,1965.0,1967.0,1959.0,1964.0,2755542.0
DICP,2020-09-15,1965.0,1969.0,1960.0,1969.0,485942.0
DICP,2020-09-16,1950.0,1978.0,1935.0,1978.0,2635564.0
DICP,2020-09-17,1978.0,2003.0,1963.0,2003.0,2758590.0
DICP,2020-09-18,1990.0,1990.0,1972.0,1982.5,4054824.0
DICP,2020-09-21,1962.0,1975.0,1920.0,1975.0,3164379.0
DICP,2020-09-22,1971.0,1984.0,1970.0,1978.0,0.0
DICP,2020-09-23,1969.0,1970.0,1902.0,1918.0,913728.0
DICP,2020-09-24,1918.0,1940.0,1907.0,1917.0,661016.0
DICP,2020-09-25,1999.0,1999.0,1900.0,1919.0,4405891.0
DICP,2020-09-28,1919.0,1919.0,1880.0,1900.0,993247.0
DICP,2020-09-29,1917.0,1917.0,1895.0,1900.0,2956756.0
DICP,2020-09-30,2000.0,2000.0,1902.0,1915.0,4390278.0
DICP,2020-10-01,1900.5,1940.0,1900.5,1931.0,1628270.0
DICP,2020-10-02,1985.0,1985.0,1926.0,1942.5,14724133.0
DICP,2020-10-05,1974.0,1974.0,1900.0,1952.0,1164446.0
DICP,2020-10-06,1998.0,1998.0,1917.0,1937.0,76012.0
DICP,2020-10-07,1990.0,1990.0,1901.0,1918.0,388617.0
DICP,2020-10-08,1990.0,1990.0,1900.0,1910.0,467322.0
DICP,2020-10-09,1900.0,1920.0,1832.0,1868.0,293812.0
DICP,2020-10-13,1869.0,1870.0,1815.0,1820.0,412167.0
DICP,2020-10-14,1820.0,1850.0,1795.0,1807.0,609718.0
DICP,2020-10-15,1800.0,1800.0,1650.0,1735.0,3065080.0
DICP,2020-10-16,1750.0,1799.0,1735.0,1759.0,3128753.0
DICP,2020-10-19,1761.0,1819.0,1740.0,1750.0,310800.0
DICP,2020-10-20,1755.0,1779.0,1755.0,1777.0,4065786.0
DICP,2020-10-21,1777.0,1777.0,1741.0,1745.0,765634.0
DICP,2020-10-22,1780.0,1780.0,1723.0,1729.0,495319.0
DICP,2020-10-23,1729.0,1740.0,1715.0,1720.0,2737984.0
DICP,2020-10-26,1720.0,1734.0,1670.0,1670.0,637729.0
DICP,2020-10-27,1670.0,1670.0,1615.0,1640.0,1628975.0
DICP,2020-10-28,1640.0,1643.0,1600.0,1610.0,647846.0
DICP,2020-10-29,1600.0,1660.0,1594.0,1660.0,1284807.0
DICP,2020-10-30,1690.0,1690.0,1661.0,1685.0,221642.0
DICP,2020-11-02,1680.0,1680.0,1650.0,1650.0,795006.0
DICP,2020-11-03,1650.0,1775.0,1635.0,1724.0,10846909.0
DICP,2020-11-04,1706.0,1764.0,1706.0,1725.0,485763.0
DICP,2020-11-05,1725.0,1735.0,1720.0,1727.0,932068.0
DICP,2020-11-06,1750.0,1750.0,1710.0,1730.0,172496.0
DICP,2020-11-09,1780.0,1810.0,1760.0,1780.0,799736.0
DICP,2020-11-10,1770.0,1775.0,1740.0,1750.0,1893919.0
DICP,2020-11-11,1740.0,1800.0,1740.0,1800.0,12091058.0
DICP,2020-11-12,1800.0,1895.0,1800.0,1886.0,7616449.0
DICP,2020-11-13,1867.0,1965.0,1867.0,1925.0,5928769.0
DICP,2020-11-16,1945.0,1950.0,1840.0,1841.0,1896259.0
DICP,2020-11-17,1858.0,1894.0,1820.0,1853.0,4113474.0
DICP,2020-11-18,1863.0,1865.0,1845.0,1845.0,510194.0
DICP,2020-11-19,1859.0,1860.0,1846.0,1859.0,1144806.0
DICP,2020-11-20,1864.0,1870.0,1840.0,1860.0,930581.0
DICP,2020-11-24,1864.0,1890.0,1820.0,1865.0,775482.0
DICP,2020-11-25,1865.0,1890.0,1860.0,1865.0,463224.0
DICP,2020-11-26,1868.0,1890.0,1860.0,1875.0,703124.0
DICP,2020-11-27,1875.0,1890.0,1860.0,1879.0,563375.0
DICP,2020-11-30,1885.0,1885.0,1860.0,1874.5,222949.0
DICP,2020-12-01,1900.0,1920.0,1865.0,1889.0,207506.0
DICP,2020-12-02,1840.0,1895.0,1840.0,1875.0,621738.0
DICP,2020-12-03,1865.0,1925.0,1860.0,1860.0,1197200.0
DICP,2020-12-04,1855.0,1890.0,1840.0,1865.0,1603548.0
DICP,2020-12-09,1855.0,1880.0,1845.0,1860.0,1289680.0
DICP,2020-12-10,1900.0,1900.0,1865.0,1870.0,601509.0
DICP,2020-12-11,1872.0,1872.0,1851.0,1857.0,150082.0
DICP,2020-12-14,1862.0,1864.0,1825.0,1829.0,145745.0
DICP,2020-12-15,1850.0,1850.0,1820.0,1829.0,2374318.0
DICP,2020-12-16,1830.0,1849.0,1827.0,1840.0,2233465.0
DICP,2020-12-17,1859.5,1870.0,1846.0,1870.0,263122.0
DICP,2020-12-18,1850.0,1880.0,1840.0,1870.0,974093.0
DICP,2020-12-21,1857.0,1875.0,1850.0,1875.0,1190754.0
DICP,2020-12-22,1885.0,1885.0,1860.0,1860.5,1162580.0
DICP,2020-12-23,1852.0,1888.0,1852.0,1878.0,252780.0
DICP,2020-12-28,1851.0,1895.0,1850.0,1895.0,169348.0
DICP,2020-12-29,1850.0,1879.0,1842.0,1846.0,311951.0
DICP,2020-12-30,1893.5,1893.5,1870.0,1880.0,27603.0
DICP,2021-01-04,1894.0,1894.0,1875.0,1890.0,24792.0
DICP,2021-01-05,1895.0,1920.0,1880.0,1915.0,430241.0
DICP,2021-01-06,1945.0,1945.0,1900.0,1918.0,1604385.0
DICP,2021-01-07,1920.0,1940.0,1920.0,1925.0,941739.0
DICP,2021-01-08,1925.0,1930.0,1901.0,1924.0,61374.0
DICP,2021-01-11,1949.0,1949.0,1900.5,1910.0,26932.0
DICP,2021-01-12,1910.0,1930.0,1900.0,1900.0,3539805.0
DICP,2021-01-13,1875.0,1900.0,1875.0,1895.0,69538.0
DICP,2021-01-14,1871.0,1898.0,1871.0,1890.0,475479.0
DICP,2021-01-15,1900.0,1900.0,1890.0,1900.0,116720.0
DICP,2021-01-18,1900.0,1922.5,1900.0,1915.0,3435254.0
DICP,2021-01-19,1876.0,1954.0,1876.0,1932.0,501551.0
DICP,2021-01-20,1945.0,1990.0,1930.0,1990.0,3999455.0
DICP,2021-01-21,2000.0,2000.0,1965.0,1985.0,3160099.0
DICP,2021-01-22,1995.0,1995.0,1977.0,1989.0,204340.0
DICP,2021-01-25,1989.0,2010.0,1989.0,2005.0,5540512.0
DICP,2021-01-26,2010.0,2030.0,2010.0,2030.0,271942.0
