especie,fecha,apertura,maximo,minimo,cierre,volumen
DOLARBLUE,2019-01-02,40.5,40.5,40.5,40.5,0
DOLARBLUE,2019-01-03,40.25,40.25,40.25,40.25,0
DOLARBLUE,2019-01-04,40.0,40.0,40.0,40.0,0
DOLARBLUE,2019-01-07,39.5,39.5,39.5,39.5,0
DOLARBLUE,2019-01-08,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-01-09,39.75,39.75,39.75,39.75,0
DOLARBLUE,2019-01-10,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-01-11,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-01-14,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-01-15,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-01-16,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-01-17,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-01-18,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-01-21,38.75,38.75,38.75,38.75,0
DOLARBLUE,2019-01-22,38.75,38.75,38.75,38.75,0
DOLARBLUE,2019-01-23,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-01-24,38.5,38.5,38.5,38.5,0
DOLARBLUE,2019-01-25,38.25,38.25,38.25,38.25,0
DOLARBLUE,2019-01-28,38.25,38.25,38.25,38.25,0
DOLARBLUE,2019-01-29,38.5,38.5,38.5,38.5,0
DOLARBLUE,2019-01-30,38.25,38.25,38.25,38.25,0
DOLARBLUE,2019-01-31,37.5,37.5,37.5,37.5,0
DOLARBLUE,2019-02-01,37.75,37.75,37.75,37.75,0
DOLARBLUE,2019-02-04,37.5,37.5,37.5,37.5,0
DOLARBLUE,2019-02-05,37.3,37.3,37.3,37.3,0
DOLARBLUE,2019-02-06,37.25,37.25,37.25,37.25,0
DOLARBLUE,2019-02-07,37.25,37.25,37.25,37.25,0
DOLARBLUE,2019-02-08,37.5,37.5,37.5,37.5,0
DOLARBLUE,2019-02-11,37.75,37.75,37.75,37.75,0
DOLARBLUE,2019-02-12,37.75,37.75,37.75,37.75,0
DOLARBLUE,2019-02-13,38.0,38.0,38.0,38.0,0
DOLARBLUE,2019-02-14,38.5,38.5,38.5,38.5,0
DOLARBLUE,2019-02-15,38.5,38.5,38.5,38.5,0
DOLARBLUE,2019-02-18,38.75,38.75,38.75,38.75,0
DOLARBLUE,2019-02-19,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-02-20,39.75,39.75,39.75,39.75,0
DOLARBLUE,2019-02-21,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-02-22,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-02-25,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-02-26,39.25,39.25,39.25,39.25,0
DOLARBLUE,2019-02-27,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-02-28,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-03-01,39.0,39.0,39.0,39.0,0
DOLARBLUE,2019-03-06,39.5,39.5,39.5,39.5,0
DOLARBLUE,2019-03-07,40.5,40.5,40.5,40.5,0
DOLARBLUE,2019-03-08,40.0,40.0,40.0,40.0,0
DOLARBLUE,2019-03-11,40.25,40.25,40.25,40.25,0
DOLARBLUE,2019-03-12,41.25,41.25,41.25,41.25,0
DOLARBLUE,2019-03-13,41.5,41.5,41.5,41.5,0
DOLARBLUE,2019-03-14,41.0,41.0,41.0,41.0,0
