especie,fecha,apertura,alto,bajo,cierre,volumen
DOLAR-CCL,2020-09-14,131.6326530612245,129.59183673469389,129.0,130.29561671763508,128889786
DOLAR-CCL,2020-09-15,129.9492385786802,128.9544513457557,128.72255489021956,128.29218106995884,53006691
DOLAR-CCL,2020-09-16,136.95652173913044,131.81917211328977,135.2421052631579,131.89655172413794,27976242
DOLAR-CCL,2020-09-17,131.89655172413794,133.4090909090909,132.54310344827587,132.4022346368715,55200434
DOLAR-CCL,2020-09-18,132.5503355704698,134.54545454545453,135.6043956043956,137.30337078651687,49561528
DOLAR-CCL,2020-09-21,138.86363636363637,140.05917159763314,139.3181818181818,139.83796296296296,44803072
DOLAR-CCL,2020-09-22,140.37526059763724,145.90024330900243,141.1494252873563,147.5211608222491,0
DOLAR-CCL,2020-09-23,149.02439024390245,151.0224438902743,148.24355971896955,148.64864864864865,66152133
DOLAR-CCL,2020-09-24,150.17964071856287,146.70731707317074,142.5339366515837,140.98360655737704,71475767
DOLAR-CCL,2020-09-25,141.06728538283062,144.04761904761904,141.72413793103448,143.54460093896714,47493831
DOLAR-CCL,2020-09-28,142.4749941846941,145.19961977186313,142.0485792850596,143.37209302325581,39019469
DOLAR-CCL,2020-09-29,144.1860465116279,147.5449101796407,144.41860465116278,148.50299401197606,114763832
DOLAR-CCL,2020-09-30,147.78571428571428,147.69138755980862,146.58210007047217,145.64705882352942,50379469
DOLAR-CCL,2020-10-01,147.2684085510689,145.22565320665083,146.22201492537312,145.89201877934272,115847851
DOLAR-CCL,2020-10-02,148.71671863756296,149.26829268292684,150.0,145.748987854251,143096034
DOLAR-CCL,2020-10-05,149.8181818181818,151.61923454367027,149.49784791965567,149.54545454545456,56252870
DOLAR-CCL,2020-10-06,150.0,153.08641975308643,151.07655502392345,152.5091799265606,52891556
DOLAR-CCL,2020-10-07,152.94840294840293,153.20987654320987,151.08695652173913,150.3864734299517,42757107
DOLAR-CCL,2020-10-08,152.62254901960785,152.08845208845207,152.35792019347036,153.28467153284672,31980396
DOLAR-CCL,2020-10-09,153.39805825242718,154.53765023301446,156.4009661835749,154.95169082125605,74124573
DOLAR-CCL,2020-10-13,156.6265060240964,158.13838955922188,156.86746987951807,156.26506024096386,57654902
DOLAR-CCL,2020-10-14,152.94117647058823,161.26708074534162,157.1764705882353,163.76562883059574,57963329
DOLAR-CCL,2020-10-15,167.975,167.66917293233084,169.13357400722023,168.59838274932613,78936469
DOLAR-CCL,2020-10-16,172.67080745341616,166.70807453416148,169.04129437333978,165.31365313653137,90546191
DOLAR-CCL,2020-10-19,167.03567035670358,164.82412060301507,167.9370543398082,165.01240694789084,63392676
DOLAR-CCL,2020-10-20,168.55345911949686,168.52331606217615,165.8005444196981,171.84516129032258,61455635
DOLAR-CCL,2020-10-21,170.126582278481,176.0752688172043,171.8987341772152,174.8,93599757
DOLAR-CCL,2020-10-22,181.25854993160056,181.11111111111111,179.56989247311827,181.06312292358805,78742002
DOLAR-CCL,2020-10-23,179.17808219178082,173.00749791724522,170.95349441413353,168.83468834688347,91104685
DOLAR-CCL,2020-10-26,169.72972972972974,167.086129753915,171.8918918918919,165.1098901098901,64569372
DOLAR-CCL,2020-10-27,168.90449438202248,168.3988764044944,165.48517520215634,162.60162601626016,74589556
DOLAR-CCL,2020-10-28,163.6720867208672,155.0344827586207,163.78378378378378,152.30352303523037,95565092
DOLAR-CCL,2020-10-29,158.83977900552486,154.6463245492372,155.82655826558266,151.21951219512195,87360242
DOLAR-CCL,2020-10-30,155.7793103448276,151.11111111111111,153.03523035230353,147.69647696476966,75994028
DOLAR-CCL,2020-11-02,150.8108108108108,148.20936639118457,150.8108108108108,145.40540540540542,75389980
DOLAR-CCL,2020-11-03,149.06976744186048,148.93233499722683,147.78378378378378,145.40540540540542,125032998
DOLAR-CCL,2020-11-04,149.2159559834938,148.58725761772854,147.9539295392954,145.3929539295393,164954808
DOLAR-CCL,2020-11-05,145.4423232051627,149.44444444444446,148.4269965044367,146.86648501362396,109513371
DOLAR-CCL,2020-11-06,150.6371191135734,149.30555555555554,148.8934426229508,146.9945355191257,42282174
DOLAR-CCL,2020-11-09,147.64227642276424,148.01641586867305,146.25503355704697,147.361299052774,68405966
DOLAR-CCL,2020-11-10,150.23383768913342,149.38101788170565,148.2479784366577,146.38814016172506,88803842
DOLAR-CCL,2020-11-11,147.84366576819406,148.5675306957708,148.56770833333334,149.58049292081805,58004433
DOLAR-CCL,2020-11-12,146.13778705636744,147.46987951807228,145.0777202072539,145.67031820552947,103714138
DOLAR-CCL,2020-11-13,146.97368421052633,147.36147757255938,147.02072538860102,146.55396618985694,88363299
DOLAR-CCL,2020-11-16,147.98439531859557,147.44791666666669,147.92838874680305,147.43589743589743,164551834
DOLAR-CCL,2020-11-17,148.45758354755785,150.09109838625716,148.71074802144497,148.27144686299616,78740751
DOLAR-CCL,2020-11-18,150.25906735751295,150.25906735751295,150.3846153846154,149.10025706940874,120505878
DOLAR-CCL,2020-11-19,150.87855297157623,151.00653594771242,150.51546391752578,149.8702983138781,101120208
DOLAR-CCL,2020-11-20,151.16883116883116,150.39267015706804,150.3875968992248,149.85658409387221,197773533
DOLAR-CCL,2020-11-24,150.14341590612776,150.0,150.91145833333334,150.27537372147913,34003137
DOLAR-CCL,2020-11-25,152.26912928759896,151.7149694230258,149.58656330749352,150.52356020942406,48195248
DOLAR-CCL,2020-11-26,151.38381201044388,150.3421052631579,150.98958333333334,149.26892950391647,35732120
DOLAR-CCL,2020-11-27,150.69572066159097,147.646594793584,149.71398855954237,148.92388451443568,43776679
DOLAR-CCL,2020-11-30,151.85185185185185,150.23004059539917,149.30573749017552,148.03713527851457,55139630
DOLAR-CCL,2020-12-01,149.46524064171123,148.90080428954425,147.99154334038053,148.48,28240413
DOLAR-CCL,2020-12-02,148.55923159018144,147.44310575635876,148.19389110225765,148.27265479670476,33385236
DOLAR-CCL,2020-12-03,149.06666666666666,145.4289544235925,147.6882430647292,144.17989417989418,30279925
DOLAR-CCL,2020-12-04,147.24230254350735,145.64926372155287,145.91029023746702,144.899577167019,35195126
DOLAR-CCL,2020-12-09,147.99154334038053,146.44970414201183,144.62809917355372,142.816016749542,34259269
DOLAR-CCL,2020-12-10,142.3728813559322,141.88481675392669,142.13917525773198,141.86287192755498,32798735
DOLAR-CCL,2020-12-11,141.52652005174645,141.79921773142112,141.89361160600663,142.34602606695628,23491041
DOLAR-CCL,2020-12-14,144.26271403015588,142.82051282051282,145.2020202020202,142.87878787878788,34574847
DOLAR-CCL,2020-12-15,145.10800508259211,143.7992376111817,144.01008827238337,143.72151898734177,68032417
DOLAR-CCL,2020-12-16,145.0381679389313,143.07692307692307,144.55696202531647,142.69933976637887,36573818
DOLAR-CCL,2020-12-17,143.14720812182742,142.89002557544757,143.4010152284264,142.6500508646999,36853430
DOLAR-CCL,2020-12-18,143.5249042145594,143.84615384615384,143.0238393977415,142.03262233375156,63934251
DOLAR-CCL,2020-12-21,144.0506329113924,143.8199389623601,141.4320987654321,139.80222496909764,39334764
DOLAR-CCL,2020-12-22,140.74074074074073,141.83954011497127,140.88669950738915,140.76543209876544,43782779
DOLAR-CCL,2020-12-23,140.8641975308642,141.96762141967622,141.53732446415373,140.4533136240453,87322412
DOLAR-CCL,2020-12-28,142.68656716417908,142.13930348258705,141.1764705882353,140.34313725490196,73222983
DOLAR-CCL,2020-12-29,142.19753086419752,141.4814814814815,141.49326805385556,140.31823745410037,82852840
DOLAR-CCL,2020-12-30,142.83251231527092,141.30702836004934,141.8542074363992,140.25942241801272,121760329
DOLAR-CCL,2021-01-04,144.66383404148962,143.93901524618846,142.98397040690506,142.31812577065352,162878263
DOLAR-CCL,2021-01-05,146.81012658227849,146.126582278481,144.5993031358885,143.91033623910337,145770703
DOLAR-CCL,2021-01-06,146.05527638190955,145.47738693467338,145.22086348889442,144.5692883895131,162003636
DOLAR-CCL,2021-01-07,145.41135283820955,146.80254777070064,145.41135283820955,145.2896725440806,128147993
DOLAR-CCL,2021-01-08,147.70408163265304,146.78287618559344,146.7680608365019,145.24714828897336,84698739
DOLAR-CCL,2021-01-11,146.2046204620462,147.7538301739808,146.32911392405063,145.94871794871796,84340872
DOLAR-CCL,2021-01-12,148.61219195849546,146.96103896103895,146.89743589743588,145.12820512820514,56025334
DOLAR-CCL,2021-01-13,147.74025974025975,146.4935064935065,145.2873563218391,144.82670089858792,90487452
DOLAR-CCL,2021-01-14,147.33142410830513,146.9206680584551,146.41655886157827,145.79560155239326,71014160
DOLAR-CCL,2021-01-15,144.3710292249047,147.96106287818995,144.3710292249047,146.29388816644993,76083288
DOLAR-CCL,2021-01-18,146.95629552549428,148.1320705077611,147.63267429760666,147.29694437189866,66111570
DOLAR-CCL,2021-01-19,147.7792207792208,148.86543535620052,147.7792207792208,147.87735849056605,60543339
DOLAR-CCL,2021-01-20,149.9337748344371,149.35099337748343,148.40314136125653,148.16272965879264,37059410
DOLAR-CCL,2021-01-21,148.16753926701568,149.3915343915344,148.42931937172773,148.8795148958608,41815953
DOLAR-CCL,2021-01-22,149.30134458212495,150.1863684771033,149.30134458212495,148.80042182968626,46601552
DOLAR-CCL,2021-01-25,150.3054448871182,150.23936170212767,149.44591029023746,149.2742148324096,45925446
DOLAR-CCL,2021-01-26,150.77127659574467,150.4787234042553,150.05279831045405,149.7225891677675,48477397
DOLAR-CCL,2021-01-27,151.06382978723403,150.7589880159787,150.59602649006624,150.15906680805938,43885562
DOLAR-CCL,2021-01-28,150.19867549668874,151.0811532301121,150.7019867549669,150.65211605003992,60368114
DOLAR-CCL,2021-01-29,150.79787234042553,151.5591397849462,150.99734042553192,150.52041633306646,37864829
DOLAR-CCL,2021-02-01,152.35531628532976,151.95154777927323,150.97359295812217,150.98877605558525,52118374
DOLAR-CCL,2021-02-02,152.33870967741933,151.89516129032256,151.86177337262257,151.46073438756363,50398226
DOLAR-CCL,2021-02-03,151.60857908847186,152.45945945945945,151.99731903485255,151.789077212806,44260439
DOLAR-CCL,2021-02-04,152.32839838492598,153.23457461266648,152.32839838492598,152.26781857451405,49324088
DOLAR-CCL,2021-02-05,152.0754716981132,154.13698630136986,147.84313725490196,147.13725490196077,52723567
DOLAR-CCL,2021-02-08,152.55474452554745,154.02408978921434,152.42914979757086,151.9028340080972,38842862
DOLAR-CCL,2021-02-09,154.33652530779756,153.72093023255815,152.70709258256633,152.3551705468327,30090456
DOLAR-CCL,2021-02-10,152.52032520325204,153.15068493150685,152.81842818428186,152.14324470971243,40444278
DOLAR-CCL,2021-02-11,152.19750406945198,152.5,152.60444926749864,152.16186252771618,23482622
DOLAR-CCL,2021-02-12,152.63888888888889,150.92957746478874,152.51728907330568,151.6056338028169,12500072
DOLAR-CCL,2021-02-17,150.0,149.66772609072524,150.27855153203342,147.9315263908702,20090623
DOLAR-CCL,2021-02-18,149.0857142857143,144.42857142857142,145.89155953046395,145.81584102994682,31604635
DOLAR-CCL,2021-02-19,147.090395480226,143.75,145.9277917716205,144.19263456090653,39492221
DOLAR-CCL,2021-02-22,144.75920679886687,141.5366839976892,143.53932584269663,142.51412429378533,59601562
DOLAR-CCL,2021-02-23,142.5,142.15827338129498,142.5,143.47202295552367,28407449
DOLAR-CCL,2021-02-24,144.5244956772334,143.14574314574315,144.84375,144.46022727272725,21771644
DOLAR-CCL,2021-02-25,146.90840797457383,145.6082057208899,146.7556179775281,145.43411070525428,39324676
DOLAR-CCL,2021-02-26,149.07275320970044,148.10054270208514,144.1709494184474,145.3229398663697,57607863
DOLAR-CCL,2021-03-01,150.77142857142857,150.42857142857142,147.04256495301271,146.30705394190872,54246355
DOLAR-CCL,2021-03-02,146.61134163208854,149.6045197740113,147.41355463347165,147.30555555555554,68054053
DOLAR-CCL,2021-03-03,149.36708860759495,150.8840579710145,147.54098360655738,148.2768282432054,50442833
DOLAR-CCL,2021-03-04,144.14634146341464,150.04266211604096,144.7289972899729,147.25244072524407,61392253
DOLAR-CCL,2021-03-05,149.38028169014083,150.31791907514452,148.12849162011173,147.73371104815865,58760764
DOLAR-CCL,2021-03-08,152.7113702623907,150.91176470588235,149.8712446351931,148.12589413447782,73478935
DOLAR-CCL,2021-03-09,148.5142857142857,149.12023460410558,148.55714285714285,148.5606280895609,79734672
DOLAR-CCL,2021-03-10,147.53623188405797,148.6153846153846,147.53623188405797,148.92307692307693,37640227
DOLAR-CCL,2021-03-11,148.38660578386606,149.86024844720495,150.83713850837137,149.079754601227,29883631
DOLAR-CCL,2021-03-12,151.27092374457533,150.15576323987537,148.73323397913563,148.77538829151734,31125265
DOLAR-CCL,2021-03-15,146.61764705882354,149.54682779456192,148.7058823529412,149.24712134632418,26949573
DOLAR-CCL,2021-03-16,151.50074294205052,150.22288261515604,150.10204081632654,149.24198250728864,25158498
DOLAR-CCL,2021-03-17,152.8955223880597,151.65671641791045,149.85632183908046,149.45402298850576,29185353
DOLAR-CCL,2021-03-18,149.18548156616174,150.51244509516837,149.18548156616174,149.6823563384349,38123140
DOLAR-CCL,2021-03-19,151.55931215389097,150.43731778425658,149.64028776978418,149.7539085118703,23611608
DOLAR-CCL,2021-03-22,150.74020319303338,149.1253644314869,148.73183243089198,148.9142857142857,30827287
DOLAR-CCL,2021-03-23,151.20394545982015,151.1764705882353,148.5042735042735,148.76989869753982,21410021
DOLAR-CCL,2021-03-25,150.0,144.0597014925373,148.90510948905109,147.9111111111111,41464140
DOLAR-CCL,2021-03-26,147.55555555555554,145.80838323353294,146.04105571847506,146.01373544341592,24436319
DOLAR-CCL,2021-03-29,148.1818181818182,144.8628048780488,142.77372262773721,146.28275441803777,28235486
DOLAR-CCL,2021-03-30,147.71542471634467,145.96006144393243,146.35511191772534,146.50030432136336,27001254
DOLAR-CCL,2021-03-31,147.06240487062405,148.05555555555557,144.30473372781066,147.1580547112462,19352743
DOLAR-CCL,2021-04-05,147.00516874429917,147.85956267323684,147.96407185628743,147.96407185628743,19455473
DOLAR-CCL,2021-04-06,147.88690476190476,149.93920972644378,149.25595238095238,148.50746268656715,32825255
DOLAR-CCL,2021-04-07,151.5151515151515,149.77238239757207,149.8351813005694,148.93617021276597,24105343
DOLAR-CCL,2021-04-08,150.61877452460004,150.56385248399877,149.84984984984987,149.3993993993994,29821507
DOLAR-CCL,2021-04-09,151.0909090909091,150.84097859327215,150.8623298033283,149.86334649255997,22703069
DOLAR-CCL,2021-04-12,145.36628420123566,150.09118541033436,147.0726684318917,150.28814073400062,24788546
DOLAR-CCL,2021-04-13,151.10773899848255,151.3753056234719,150.5421686746988,150.75803517283202,22923737
DOLAR-CCL,2021-04-14,151.13464447806356,151.25190839694656,150.427854824432,151.1861313868613,19772640
DOLAR-CCL,2021-04-15,153.84615384615384,151.73053152039554,152.79805352798053,151.61787365177193,10819648
DOLAR-CCL,2021-04-16,153.30232558139534,152.12403100775194,150.50228310502283,151.97897340754483,15928964
DOLAR-CCL,2021-04-19,151.97897340754483,151.0371517027864,152.44648318042812,152.44239631336407,15366235
DOLAR-CCL,2021-04-20,153.4668721109399,152.77777777777777,152.53203172666258,152.99877600979192,16484396
DOLAR-CCL,2021-04-21,155.52817985833076,153.4668721109399,154.71813725490196,153.20453848512727,12090997
DOLAR-CCL,2021-04-22,153.72128637059726,153.58130956040577,152.88753799392097,152.00607902735564,17790924
DOLAR-CCL,2021-04-23,152.66666666666666,153.34253296534806,153.55957767722475,153.15233785822022,18356401
DOLAR-CCL,2021-04-26,155.5386023802258,156.90505548705303,153.9589442815249,153.6656891495601,23288254
DOLAR-CCL,2021-04-27,154.71532846715328,155.4733727810651,155.07246376811594,154.7826086956522,24846506
DOLAR-CCL,2021-04-28,155.61003749639457,157.02734489855925,156.66666666666669,155.08670520231215,76201782
DOLAR-CCL,2021-04-29,156.58892128279885,157.554379776602,156.05666377565768,155.42028985507247,53101032
DOLAR-CCL,2021-04-30,158.22078684674102,157.12187958883996,156.5381269933314,155.64281559045955,43827633
DOLAR-CCL,2021-05-03,156.71902268760905,157.44117647058823,158.5896691816599,156.24274099883857,76411500
DOLAR-CCL,2021-05-04,155.97122302158274,158.38235294117646,157.41007194244605,156.63176265270505,90701121
DOLAR-CCL,2021-05-05,152.2191011235955,157.77452415812593,153.08988764044943,157.05128205128204,74284311
DOLAR-CCL,2021-05-06,159.0909090909091,158.29397874852418,158.62573099415204,157.51614797416323,32853817
DOLAR-CCL,2021-05-07,158.87573964497042,158.60409145607701,158.04462712859657,157.99522673031024,22313815
DOLAR-CCL,2021-05-10,159.03903903903904,158.1150255947004,157.3102016607355,158.46798324356672,16232458
DOLAR-CCL,2021-05-11,159.8551162088741,157.85779676533414,159.32611311672682,157.9268292682927,17115071
DOLAR-CCL,2021-05-12,159.41717791411043,157.7914110429448,157.8012048192771,158.36363636363637,15889608
DOLAR-CCL,2021-05-13,156.0,158.36363636363637,157.46268656716418,158.67269984917044,19924729
DOLAR-CCL,2021-05-14,160.24242424242425,160.24242424242425,158.79941434846268,159.1644601353339,24443136
DOLAR-CCL,2021-05-17,160.47197640117994,159.88200589970504,160.75036075036076,159.65876229034126,25120720
DOLAR-CCL,2021-05-18,160.52784222737822,160.67251461988303,161.9047619047619,160.15037593984962,55398230
DOLAR-CCL,2021-05-19,161.76555716353113,161.88790560471978,161.76555716353113,161.1747430249633,47845010
DOLAR-CCL,2021-05-20,163.2047477744807,163.28054974604123,162.3235294117647,161.87092954410895,81441326
DOLAR-CCL,2021-05-21,164.04191616766468,164.09638554216866,163.2,162.86995515695065,65906739
DOLAR-CCL,2021-05-26,163.02795954788817,162.99821534800716,164.1654571843251,163.83040935672514,36541928
DOLAR-CCL,2021-05-27,163.57308584686777,164.47175885279484,165.0,164.53488372093025,47782046
DOLAR-CCL,2021-05-28,162.64367816091956,165.02958579881658,163.3477011494253,165.09516837481698,30061974
DOLAR-CCL,2021-05-31,165.88235294117646,166.8145519077196,165.74585635359117,165.71930852622324,21081328
DOLAR-CCL,2021-06-01,166.77400468384076,166.30434782608697,166.69565217391303,166.32801161103046,28395884
DOLAR-CCL,2021-06-02,168.8784497944803,168.81972988843216,166.9968864987263,167.0461013090495,35374358
DOLAR-CCL,2021-06-03,167.8713716562322,167.06051873198845,168.08149405772494,166.64756446991404,19898938
DOLAR-CCL,2021-06-04,165.547652916074,166.32947976878611,167.8520625889047,166.19596541786743,19171692
DOLAR-CCL,2021-06-07,166.31123919308357,166.42547033285095,166.76104190260475,165.91166477916195,26994099
DOLAR-CCL,2021-06-08,167.52136752136752,167.008547008547,165.86283802620576,165.6258712015612,14264750
DOLAR-CCL,2021-06-09,165.77777777777777,165.72222222222223,165.1589912280702,165.3920220082531,19047702
DOLAR-CCL,2021-06-10,166.4099037138927,167.00916412107748,165.1226158038147,165.02732240437157,12566409
DOLAR-CCL,2021-06-11,165.10928961748633,165.34246575342465,164.95402920497568,164.76190476190476,17169324
DOLAR-CCL,2021-06-14,165.34788540245566,164.39290586630287,164.28378378378378,164.38858695652175,15105273
DOLAR-CCL,2021-06-15,165.0326797385621,164.53774617067833,164.67391304347828,164.2468733007069,16682058
DOLAR-CCL,2021-06-16,165.94874591057797,164.99316005471957,165.03117375982652,164.0781971219115,35425539
DOLAR-CCL,2021-06-17,164.89419424850786,166.05517241379312,164.94845360824743,164.0326975476839,76846825
DOLAR-CCL,2021-06-18,167.26768377253816,165.59722222222223,166.43741403026135,164.01650618982117,41627738
DOLAR-CCL,2021-06-22,163.979086406164,167.48789518655653,164.00660429279029,163.98328690807801,88129663
DOLAR-CCL,2021-06-23,163.25466520307356,166.0079051383399,164.10748560460652,163.97099832682656,108357868
DOLAR-CCL,2021-06-24,163.33883388338833,166.58097686375322,163.33883388338833,163.94041596402474,117791577
