especie,fecha,apertura,maximo,minimo,cierre,volumen
DOLARCRIPTO,2023-04-28,465.0,465.0,400.0,444.9,42366.0
DOLARCRIPTO,2023-04-29,444.9,450.0,440.0,440.7,45763.0
DOLARCRIPTO,2023-04-30,444.1,449.7,441.0,448.0,40256.0
DOLARCRIPTO,2023-05-01,448.0,452.9,442.9,446.5,59756.0
DOLARCRIPTO,2023-05-02,445.2,449.9,442.0,445.5,104648.0
DOLARCRIPTO,2023-05-03,445.2,447.9,440.4,443.3,97011.0
DOLARCRIPTO,2023-05-04,443.3,445.9,437.8,439.6,84798.0
DOLARCRIPTO,2023-05-05,439.7,446.0,425.0,445.1,83126.0
DOLARCRIPTO,2023-05-06,445.1,446.4,442.9,444.4,63042.0
DOLARCRIPTO,2023-05-07,444.8,448.9,444.4,445.7,39483.0
DOLARCRIPTO,2023-05-08,446.3,449.9,444.6,446.6,72877.0
DOLARCRIPTO,2023-05-09,447.9,449.2,445.1,446.9,93544.0
DOLARCRIPTO,2023-05-10,447.2,448.0,444.5,445.7,116041.0
DOLARCRIPTO,2023-05-11,445.6,451.0,442.6,450.5,97027.0
DOLARCRIPTO,2023-05-12,450.4,505.0,446.0,454.9,119762.0
DOLARCRIPTO,2023-05-13,454.9,461.0,450.0,455.9,83792.0
DOLARCRIPTO,2023-05-14,455.9,457.0,454.5,456.1,33602.0
DOLARCRIPTO,2023-05-15,455.9,466.0,451.6,463.4,81529.0
DOLARCRIPTO,2023-05-16,464.6,479.6,461.9,473.4,124932.0
DOLARCRIPTO,2023-05-17,472.5,479.9,455.0,469.9,130323.0
DOLARCRIPTO,2023-05-18,470.0,477.9,467.1,475.4,166595.0
DOLARCRIPTO,2023-05-19,476.4,483.1,475.3,477.8,92701.0
DOLARCRIPTO,2023-05-20,477.5,480.3,476.3,476.8,69316.0
DOLARCRIPTO,2023-05-21,476.8,478.0,475.5,475.7,64822.0
DOLARCRIPTO,2023-05-22,475.9,480.8,474.0,480.5,141927.0
DOLARCRIPTO,2023-05-23,480.5,483.9,477.1,478.7,182282.0
DOLARCRIPTO,2023-05-24,478.7,482.0,477.5,478.2,225538.0
DOLARCRIPTO,2023-05-25,478.3,479.6,476.0,477.2,90091.0
DOLARCRIPTO,2023-05-26,477.2,478.3,473.4,474.9,82451.0
DOLARCRIPTO,2023-05-27,474.5,475.8,469.6,470.8,77108.0
DOLARCRIPTO,2023-05-28,470.8,474.5,470.1,473.9,62998.0
DOLARCRIPTO,2023-05-29,473.9,479.3,471.5,479.1,144392.0
DOLARCRIPTO,2023-05-30,478.6,483.6,473.4,475.5,191950.0
DOLARCRIPTO,2023-05-31,475.9,480.4,475.0,480.4,139031.0
DOLARCRIPTO,2023-06-01,480.2,481.9,478.1,479.8,227291.0
DOLARCRIPTO,2023-06-02,479.9,482.4,479.0,480.7,202317.0
DOLARCRIPTO,2023-06-03,480.8,500.0,480.5,481.7,122298.0
DOLARCRIPTO,2023-06-04,481.6,482.2,480.4,481.3,70976.0
DOLARCRIPTO,2023-06-05,481.3,489.0,479.1,482.4,330917.0
DOLARCRIPTO,2023-06-06,482.5,485.0,477.4,478.9,235504.0
