especie,fecha,apertura,maximo,minimo,cierre,volumen
DOLAROFICIAL,2020-09-14,74.0,74.0,74.0,74.0,113205986
DOLAROFICIAL,2020-09-15,74.25,74.25,74.25,74.25,51154254
DOLAROFICIAL,2020-09-16,74.25,74.25,74.25,74.25,34001210
DOLAROFICIAL,2020-09-17,74.25,74.25,74.25,74.25,53309222
DOLAROFICIAL,2020-09-18,74.25,74.25,74.25,74.25,42017338
DOLAROFICIAL,2020-09-21,74.5,74.5,74.5,74.5,40725003
DOLAROFICIAL,2020-09-22,74.5,74.5,74.5,74.5,0
DOLAROFICIAL,2020-09-23,74.5,74.5,74.5,74.5,64572774
DOLAROFICIAL,2020-09-24,74.75,74.75,74.75,74.75,62418785
DOLAROFICIAL,2020-09-25,74.75,74.75,74.75,74.75,52111443
DOLAROFICIAL,2020-09-28,74.75,74.75,74.75,74.75,48959355
DOLAROFICIAL,2020-09-29,75.0,75.0,75.0,75.0,123165541
DOLAROFICIAL,2020-09-30,75.0,75.0,75.0,75.0,58668452
DOLAROFICIAL,2020-10-01,75.25,75.25,75.25,75.25,122507618
DOLAROFICIAL,2020-10-02,76.5,76.5,76.5,76.5,157201187
DOLAROFICIAL,2020-10-05,76.75,76.75,76.75,76.75,66578449
DOLAROFICIAL,2020-10-06,77.0,77.0,77.0,77.0,64520687
DOLAROFICIAL,2020-10-07,76.0,76.0,76.0,76.0,53863549
DOLAROFICIAL,2020-10-08,76.0,76.0,76.0,76.0,44441641
DOLAROFICIAL,2020-10-09,76.0,76.0,76.0,76.0,90690566
DOLAROFICIAL,2020-10-13,76.25,76.25,76.25,76.25,68283783
DOLAROFICIAL,2020-10-14,76.25,76.25,76.25,76.25,72131496
DOLAROFICIAL,2020-10-15,76.5,76.5,76.5,76.5,90274557
DOLAROFICIAL,2020-10-16,76.5,76.5,76.5,76.5,103945817
DOLAROFICIAL,2020-10-19,76.5,76.5,76.5,76.5,74011810
DOLAROFICIAL,2020-10-20,76.75,76.75,76.75,76.75,79696360
DOLAROFICIAL,2020-10-21,77.0,77.0,77.0,77.0,108817768
DOLAROFICIAL,2020-10-22,77.25,77.25,77.25,77.25,96780303
DOLAROFICIAL,2020-10-23,77.5,77.5,77.5,77.5,108842384
DOLAROFICIAL,2020-10-26,77.5,77.5,77.5,77.5,64218558
DOLAROFICIAL,2020-10-27,77.5,77.5,77.5,77.5,66245505
DOLAROFICIAL,2020-10-28,77.5,77.5,77.5,77.5,86110936
DOLAROFICIAL,2020-10-29,77.5,77.5,77.5,77.5,72618477
DOLAROFICIAL,2020-10-30,77.5,77.5,77.5,77.5,68932973
DOLAROFICIAL,2020-11-02,77.75,77.75,77.75,77.75,72768597
DOLAROFICIAL,2020-11-03,78.0,78.0,78.0,78.0,108394155
DOLAROFICIAL,2020-11-04,78.25,78.25,78.25,78.25,136079377
DOLAROFICIAL,2020-11-05,78.25,78.25,78.25,78.25,101019016
DOLAROFICIAL,2020-11-06,78.25,78.25,78.25,78.25,38806286
DOLAROFICIAL,2020-11-09,78.5,78.5,78.5,78.5,73193038
DOLAROFICIAL,2020-11-10,78.75,78.75,78.75,78.75,84143768
