especie,fecha,apertura,maximo,minimo,cierre,volumen
GD30C,2020-09-15,49.75,50.0,49.5,49.5,322447.0
GD30C,2020-09-16,46.0,46.5,46.0,46.5,862267.0
GD30C,2020-09-17,45.5,45.5,45.2,45.2,138500.0
GD30C,2020-09-18,44.25,45.0,44.25,45.0,775435.0
GD30C,2020-09-21,42.5,42.75,42.5,42.75,20944.0
GD30C,2020-09-22,42.5,43.0,42.25,42.25,0.0
GD30C,2020-09-23,41.25,42.0,40.6,41.5,1342530.0
GD30C,2020-09-24,41.5,43.0,41.5,42.25,4585176.0
GD30C,2020-09-25,42.49,42.49,41.3,42.4,604789.0
GD30C,2020-09-28,43.0,43.0,42.0,42.0,140378.0
GD30C,2020-09-29,42.0,42.25,41.5,41.5,3250431.0
GD30C,2020-09-30,42.1,42.4,41.5,41.5,120083.0
GD30C,2020-10-01,42.5,42.5,42.0,42.25,3567333.0
GD30C,2020-10-02,41.5,41.9,41.25,41.45,2224464.0
GD30C,2020-10-05,41.25,41.25,40.5,40.5,1446045.0
GD30C,2020-10-06,40.5,40.7,40.4,40.5,366726.0
GD30C,2020-10-07,40.75,41.1,40.3,41.1,2470900.0
GD30C,2020-10-08,41.25,41.5,40.99,41.5,2576045.0
GD30C,2020-10-09,41.2,41.75,41.0,41.0,373104.0
GD30C,2020-10-13,41.25,42.0,41.01,42.0,861232.0
GD30C,2020-10-14,40.99,41.35,40.8,41.0,2339072.0
GD30C,2020-10-15,40.25,41.55,40.25,41.25,3375290.0
GD30C,2020-10-16,41.0,41.25,40.85,40.9,2368682.0
GD30C,2020-10-19,40.0,41.25,40.0,41.25,10637231.0
GD30C,2020-10-20,39.9,39.9,38.9,39.05,4862587.0
GD30C,2020-10-21,39.25,39.25,37.75,37.75,5349908.0
GD30C,2020-10-22,37.75,38.3,37.75,37.9,444651.0
GD30C,2020-10-23,38.6,38.6,38.0,38.0,1449759.0
GD30C,2020-10-26,38.5,38.75,38.02,38.4,6268455.0
GD30C,2020-10-27,38.4,38.5,37.81,37.81,3577000.0
GD30C,2020-10-28,37.7,37.95,36.9,37.95,3292250.0
GD30C,2020-10-29,37.7,37.7,37.0,37.15,2587728.0
GD30C,2020-10-30,37.15,38.0,37.0,38.0,2957954.0
GD30C,2020-11-02,37.75,38.35,37.75,38.3,13445972.0
GD30C,2020-11-03,38.65,38.85,38.3,38.75,2888965.0
GD30C,2020-11-04,38.79,39.0,38.5,38.95,4444675.0
GD30C,2020-11-05,39.0,39.75,38.8,38.85,6413695.0
GD30C,2020-11-06,39.0,39.0,38.85,38.9,409778.0
GD30C,2020-11-09,40.0,40.25,39.75,39.9,1461814.0
GD30C,2020-11-10,39.7,39.9,39.7,39.9,1198445.0
GD30C,2020-11-11,40.0,40.65,39.95,40.65,645405.0
GD30C,2020-11-12,40.5,40.95,40.0,40.95,1877896.0
GD30C,2020-11-13,40.7,41.0,40.61,41.0,2762590.0
GD30C,2020-11-16,41.25,41.35,41.0,41.3,7364084.0
GD30C,2020-11-17,41.0,41.0,40.1,40.4,3385873.0
GD30C,2020-11-18,40.55,40.75,40.45,40.7,1669660.0
GD30C,2020-11-19,40.4,40.4,39.4,39.9,5546684.0
GD30C,2020-11-20,40.0,40.2,39.65,40.2,14814073.0
