especie,fecha,apertura,maximo,minimo,cierre,volumen
GD30D,2020-09-15,51.0,52.0,50.0,50.0,167334.0
GD30D,2020-09-16,50.0,50.0,47.2,48.1,45236.0
GD30D,2020-09-17,48.0,48.49,45.0,46.25,1375869.0
GD30D,2020-09-18,46.5,47.5,45.74,46.89,1264142.0
GD30D,2020-09-21,45.0,45.75,45.0,45.75,531894.0
GD30D,2020-09-22,45.5,46.4,44.56,45.33,0.0
GD30D,2020-09-23,44.5,46.69,44.13,46.3,1516056.0
GD30D,2020-09-24,45.75,46.5,45.3,45.7,7397828.0
GD30D,2020-09-25,45.03,45.5,44.91,45.29,4831729.0
GD30D,2020-09-28,45.1,46.5,44.84,44.85,985706.0
GD30D,2020-09-29,44.5,44.75,44.1,44.47,6868264.0
GD30D,2020-09-30,45.15,45.15,44.54,44.71,1540734.0
GD30D,2020-10-01,45.4,45.4,44.4,44.4,6821536.0
GD30D,2020-10-02,44.35,44.35,43.65,43.99,4640687.0
GD30D,2020-10-05,43.9,43.95,43.1,43.45,1996996.0
GD30D,2020-10-06,43.4,44.55,43.25,44.0,2924797.0
GD30D,2020-10-07,43.6,44.6,43.52,44.5,1190022.0
GD30D,2020-10-08,44.74,44.8,44.0,44.8,3487766.0
GD30D,2020-10-09,44.7,45.25,44.4,45.02,1439653.0
GD30D,2020-10-13,44.8,45.3,44.45,45.01,2691006.0
GD30D,2020-10-14,44.47,45.5,44.47,45.5,2576432.0
GD30D,2020-10-15,45.5,45.5,44.2,44.5,3619700.0
GD30D,2020-10-16,43.7,44.9,43.7,44.3,1698872.0
GD30D,2020-10-19,44.0,44.32,43.03,43.8,3534362.0
GD30D,2020-10-20,43.0,43.0,41.27,41.7,3236421.0
GD30D,2020-10-21,42.0,42.25,40.25,40.55,1029562.0
GD30D,2020-10-22,40.03,41.5,39.85,41.5,1854625.0
GD30D,2020-10-23,42.0,42.5,41.1,42.5,1882529.0
GD30D,2020-10-26,41.3,42.0,40.5,40.5,814137.0
GD30D,2020-10-27,40.49,41.1,40.0,40.5,3235843.0
GD30D,2020-10-28,40.0,40.9,38.99,40.5,2886436.0
GD30D,2020-10-29,40.5,40.5,39.15,39.58,1000755.0
GD30D,2020-10-30,39.44,39.85,38.82,39.85,3708239.0
GD30D,2020-11-02,39.01,40.47,39.0,40.47,4149726.0
GD30D,2020-11-03,40.25,41.25,39.57,41.15,3260806.0
GD30D,2020-11-04,41.25,41.25,40.5,40.92,4512886.0
GD30D,2020-11-05,41.15,41.55,40.6,40.65,5233976.0
GD30D,2020-11-06,41.0,41.0,40.5,40.5,416625.0
GD30D,2020-11-09,42.0,42.0,41.25,41.64,1793451.0
GD30D,2020-11-10,41.0,41.99,40.6,41.5,1771455.0
GD30D,2020-11-11,41.75,41.9,41.3,41.9,694432.0
GD30D,2020-11-12,41.5,42.25,41.1,42.25,2172750.0
GD30D,2020-11-13,41.65,42.8,41.65,42.5,2396619.0
GD30D,2020-11-16,42.79,42.9,42.5,42.84,7650927.0
GD30D,2020-11-17,42.0,42.55,41.41,41.69,2960931.0
GD30D,2020-11-18,41.7,41.9,41.31,41.41,2655360.0
GD30D,2020-11-19,40.8,41.26,40.61,40.9,2061782.0
GD30D,2020-11-20,40.57,41.0,40.5,40.85,6311152.0
GD30D,2020-11-24,41.0,41.3,40.11,40.74,700777.0
GD30D,2020-11-25,40.8,41.19,40.66,40.8,3187845.0
GD30D,2020-11-26,42.69,42.69,40.7,41.2,3737028.0
GD30D,2020-11-27,40.85,41.63,40.85,41.49,22355622.0
GD30D,2020-11-30,41.1,41.44,40.5,40.7,14501205.0
GD30D,2020-12-01,40.9,41.0,40.5,40.68,8640929.0
GD30D,2020-12-02,40.68,42.8,40.0,40.61,9116307.0
GD30D,2020-12-03,40.16,40.6,40.15,40.5,5194276.0
GD30D,2020-12-04,40.5,40.5,39.8,39.94,4669265.0
GD30D,2020-12-09,39.75,40.0,39.61,40.0,13817224.0
GD30D,2020-12-10,39.8,40.74,39.71,40.6,12300946.0
GD30D,2020-12-11,40.11,41.47,40.11,40.79,6263449.0
GD30D,2020-12-14,41.5,41.7,40.76,41.5,4592482.0
GD30D,2020-12-15,41.35,41.95,40.55,40.66,6801471.0
GD30D,2020-12-16,40.98,40.98,40.4,40.8,7877581.0
GD30D,2020-12-17,40.4,41.1,40.4,41.01,5389114.0
GD30D,2020-12-18,40.72,41.5,40.67,41.4,5772640.0
GD30D,2020-12-21,40.56,41.37,40.56,41.15,8594016.0
GD30D,2020-12-22,40.9,41.5,40.9,41.25,8265630.0
GD30D,2020-12-23,41.1,41.49,41.07,41.3,10251201.0
GD30D,2020-12-28,41.49,41.95,40.9,41.89,8637291.0
