especie,fecha,apertura,maximo,minimo,cierre,volumen
GD35,2020-09-08,5800.0,5800.0,5739.5,5739.5,34590.0
GD35,2020-09-09,5720.0,5775.0,5649.0,5665.0,2860291.0
GD35,2020-09-10,5700.0,5700.0,5625.5,5634.0,17230607.0
GD35,2020-09-11,5625.0,5695.0,5560.0,5590.0,1619350.0
GD35,2020-09-14,5590.0,5590.0,5550.0,5565.0,4702463.0
GD35,2020-09-15,5565.0,5675.0,5560.0,5565.0,3228313.0
GD35,2020-09-16,5600.0,5600.0,5250.0,5500.0,991248.0
GD35,2020-09-17,5335.0,5450.0,5137.5,5200.0,979084.0
GD35,2020-09-18,5150.0,5400.0,5138.0,5390.0,1023918.0
GD35,2020-09-21,5450.0,5450.0,5120.5,5350.0,702625.0
GD35,2020-09-22,5250.0,5425.0,5100.0,5425.0,0.0
GD35,2020-09-23,5350.0,5510.0,5255.0,5490.0,2333989.0
GD35,2020-09-24,5500.0,5679.0,5350.0,5620.0,2774743.0
GD35,2020-09-25,5600.0,5680.0,5420.0,5600.0,2200357.0
GD35,2020-09-28,5700.0,5700.0,5500.0,5665.0,1268267.0
GD35,2020-09-29,5650.0,5700.0,5550.0,5690.0,14381878.0
GD35,2020-09-30,5700.0,5724.5,5605.0,5660.0,2655943.0
GD35,2020-10-01,5789.0,5789.0,5581.0,5600.0,14036749.0
GD35,2020-10-02,5580.0,5675.0,5556.0,5590.0,7173454.0
GD35,2020-10-05,5670.0,5670.0,5550.0,5650.0,2419809.0
GD35,2020-10-06,5664.0,5682.0,5565.0,5600.0,7302587.0
GD35,2020-10-07,5570.0,5675.0,5570.0,5631.0,5926102.0
GD35,2020-10-08,5645.0,5720.0,5645.0,5710.0,8566427.0
GD35,2020-10-09,5675.0,5960.0,5675.0,5930.0,4583610.0
GD35,2020-10-13,5995.0,5995.0,5830.0,5950.0,5942064.0
GD35,2020-10-14,5950.0,6054.0,5921.0,6050.0,11358385.0
GD35,2020-10-15,6060.0,6200.0,6040.0,6140.0,7637616.0
GD35,2020-10-16,6140.0,6249.0,6010.0,6010.0,7512420.0
GD35,2020-10-19,6010.0,6168.5,5830.0,6000.0,8650176.0
GD35,2020-10-20,5850.0,5990.0,5700.0,5990.0,6374923.0
GD35,2020-10-21,6000.0,6198.5,5980.0,5980.0,3222530.0
GD35,2020-10-22,6150.0,6178.0,6070.0,6177.0,1599407.0
GD35,2020-10-23,6177.0,6220.5,5930.0,6030.0,1862243.0
GD35,2020-10-26,6030.0,6030.0,5650.0,5650.0,10636445.0
GD35,2020-10-27,5800.0,5800.0,5500.0,5600.0,2358675.0
GD35,2020-10-28,5600.0,5600.0,5270.0,5330.0,4571452.0
GD35,2020-10-29,5495.0,5495.0,5150.0,5250.0,4984607.0
GD35,2020-10-30,5300.0,5300.0,5050.0,5089.0,5084617.0
GD35,2020-11-02,5200.0,5200.0,5025.0,5100.0,1186233.0
GD35,2020-11-03,5114.5,5300.0,5050.0,5236.0,3046154.0
GD35,2020-11-04,5298.0,5329.5,5220.0,5300.0,9650761.0
GD35,2020-11-05,5350.0,5470.0,5280.0,5400.0,1328041.0
GD35,2020-11-06,5401.0,5425.0,5370.0,5405.0,1133026.0
GD35,2020-11-09,5420.0,5560.0,5300.0,5370.0,2724583.0
GD35,2020-11-10,5500.0,5550.0,5370.0,5501.0,2218161.0
GD35,2020-11-11,5450.0,5620.0,5440.0,5620.0,1346494.0
GD35,2020-11-12,5555.0,5555.0,5430.0,5455.0,429907.0
GD35,2020-11-13,5455.0,5600.0,5455.0,5575.0,1726339.0
GD35,2020-11-16,5700.0,5750.0,5585.0,5600.0,4243461.0
GD35,2020-11-17,5650.0,5650.0,5485.0,5600.0,582370.0
GD35,2020-11-18,5699.0,5699.0,5530.0,5580.0,923223.0
GD35,2020-11-19,5580.0,5600.0,5415.0,5520.0,1162848.0
GD35,2020-11-20,5425.0,5540.0,5410.0,5540.0,3701920.0
GD35,2020-11-24,5540.0,5595.0,5450.0,5515.0,381675.0
GD35,2020-11-25,5550.0,5586.5,5400.0,5425.0,1846373.0
GD35,2020-11-26,5400.0,5500.0,5350.0,5495.0,346016.0
GD35,2020-11-27,5440.0,5575.0,5440.0,5575.0,912694.0
GD35,2020-11-30,5519.0,5589.0,5321.0,5359.0,4126892.0
GD35,2020-12-01,5350.0,5350.0,5251.0,5290.0,568470.0
GD35,2020-12-02,5300.0,5300.0,5200.5,5250.0,4413797.0
GD35,2020-12-03,5206.0,5250.0,5090.0,5121.0,1439760.0
GD35,2020-12-04,5070.0,5145.0,5060.0,5084.0,1162635.0
GD35,2020-12-09,5060.0,5130.0,4935.0,4970.0,664799.0
GD35,2020-12-10,4811.0,5075.0,4811.0,5050.0,1611639.0
GD35,2020-12-11,5100.5,5201.5,4960.0,5201.5,2272154.0
GD35,2020-12-14,5250.0,5260.0,5100.0,5230.0,2541837.0
GD35,2020-12-15,5200.0,5280.0,5178.0,5210.0,5816549.0
GD35,2020-12-16,5158.0,5180.0,5138.0,5165.0,1443533.0
GD35,2020-12-17,5165.0,5214.0,5140.0,5195.0,1433931.0
GD35,2020-12-18,5165.0,5299.0,5165.0,5250.0,1420744.0
GD35,2020-12-21,5300.0,5340.0,5159.0,5250.0,2692474.0
GD35,2020-12-22,5270.0,5300.0,5200.0,5300.0,1983661.0
GD35,2020-12-23,5300.0,5320.0,5194.0,5310.0,2682880.0
GD35,2020-12-28,5324.5,5324.5,5260.0,5299.5,3433437.0
GD35,2020-12-29,5320.0,5320.0,5200.0,5275.0,882695.0
GD35,2020-12-30,5135.0,5349.5,5135.0,5323.0,1884456.0
GD35,2021-01-04,5340.0,5340.0,5163.0,5260.0,332007.0
GD35,2021-01-05,5207.0,5346.5,5180.0,5300.0,1143806.0
GD35,2021-01-06,5300.0,5368.0,5205.0,5360.0,785908.0
GD35,2021-01-07,5310.0,5439.0,5310.0,5390.0,360779.0
GD35,2021-01-08,5440.0,5485.0,5206.0,5345.0,314659.0
GD35,2021-01-11,5449.0,5449.0,5220.0,5319.5,2929629.0
GD35,2021-01-12,5370.0,5370.0,5265.0,5303.0,797651.0
GD35,2021-01-13,5305.0,5350.0,5130.0,5165.0,1941016.0
GD35,2021-01-14,5124.0,5165.0,5010.0,5074.0,1766763.0
GD35,2021-01-15,5074.0,5180.0,5065.0,5160.0,4772773.0
GD35,2021-01-18,5150.0,5150.0,5050.0,5122.0,1249097.0
GD35,2021-01-19,5000.0,5240.0,5000.0,5235.0,2723033.0
GD35,2021-01-20,5220.0,5269.5,5220.0,5250.0,2774133.0
GD35,2021-01-21,5230.0,5256.0,5112.5,5240.0,2683802.0
GD35,2021-01-22,5150.0,5330.0,5150.0,5324.5,4273177.0
GD35,2021-01-25,5250.0,5349.5,5250.0,5330.0,1292152.0
GD35,2021-01-26,5390.0,5393.5,5240.0,5300.0,1491679.0
GD35,2021-01-27,5300.0,5352.0,5225.0,5333.0,4671585.0
GD35,2021-01-28,5279.5,5365.0,5250.0,5330.0,5794229.0
GD35,2021-01-29,5300.0,5350.0,5252.0,5284.0,5240869.0
GD35,2021-02-01,5264.0,5350.0,5220.0,5350.0,3466720.0
GD35,2021-02-02,5340.0,5383.0,5302.0,5345.0,3658600.0
GD35,2021-02-03,5345.0,5374.0,5285.0,5340.0,5533762.0
GD35,2021-02-04,5320.0,5340.0,5295.0,5315.0,7174191.0
GD35,2021-02-05,5305.0,5380.0,5300.0,5360.0,7247239.0
GD35,2021-02-08,5400.0,5400.0,5315.0,5340.0,4864701.0
GD35,2021-02-09,5300.0,5350.0,5270.0,5300.0,2751944.0
GD35,2021-02-10,5290.0,5320.0,5250.0,5280.0,4122412.0
GD35,2021-02-11,5260.0,5305.0,5130.0,5170.0,4564441.0
GD35,2021-02-12,5170.0,5185.0,5075.0,5089.0,8668342.0
GD35,2021-02-17,5050.0,5050.0,4855.0,4889.0,3017073.0
GD35,2021-02-18,4938.0,4950.0,4690.0,4750.0,8006874.0
GD35,2021-02-19,4750.0,4795.0,4695.0,4698.0,2938719.0
GD35,2021-02-22,4700.0,4775.0,4560.0,4600.0,3439921.0
GD35,2021-02-23,4645.0,4645.0,4510.0,4600.0,1867883.0
GD35,2021-02-24,4554.0,4800.0,4521.0,4770.0,1086873.0
GD35,2021-02-25,4818.0,4840.0,4722.0,4765.0,4683068.0
GD35,2021-02-26,4765.0,4850.0,4760.0,4800.0,6255963.0
GD35,2021-03-01,4850.0,4850.0,4800.0,4850.0,2828080.0
GD35,2021-03-02,4875.0,4875.0,4755.0,4790.0,3505809.0
GD35,2021-03-03,4742.0,4823.0,4700.0,4780.0,1789290.0
GD35,2021-03-04,4700.0,4845.0,4700.0,4750.0,2380593.0
GD35,2021-03-05,4800.0,4800.0,4607.5,4660.0,1920875.0
GD35,2021-03-08,4630.0,4660.0,4474.0,4649.0,3405780.0
GD35,2021-03-09,4615.0,4675.0,4530.0,4550.0,5723886.0
GD35,2021-03-10,4540.0,4545.0,4390.0,4400.0,4437224.0
GD35,2021-03-11,4410.0,4500.0,4410.0,4465.0,1499109.0
GD35,2021-03-12,4445.0,4599.0,4422.0,4599.0,1582057.0
GD35,2021-03-15,4630.0,4670.0,4534.0,4630.0,3506882.0
GD35,2021-03-16,4640.0,4720.0,4600.0,4660.0,5241535.0
GD35,2021-03-17,4640.0,4785.0,4620.0,4770.0,3128216.0
GD35,2021-03-18,4818.0,4818.0,4700.0,4705.0,1580360.0
GD35,2021-03-19,4710.0,4800.0,4700.0,4765.0,3634991.0
GD35,2021-03-22,4750.0,4798.0,4700.0,4765.5,1699159.0
GD35,2021-03-23,4720.0,4790.0,4675.0,4719.5,4990282.0
GD35,2021-03-25,4700.0,4700.0,4400.0,4550.0,6636784.0
GD35,2021-03-26,4590.0,4590.0,4439.5,4455.0,2255610.0
GD35,2021-03-29,4420.0,4454.5,4352.0,4370.0,3406920.0
GD35,2021-03-30,4370.0,4405.0,4335.0,4375.5,2900462.0
GD35,2021-03-31,4410.0,4463.0,4400.0,4427.0,913530.0
GD35,2021-04-05,4400.0,4490.0,4400.0,4480.0,2661494.0
GD35,2021-04-06,4490.0,4600.0,4490.0,4515.0,2885686.0
GD35,2021-04-07,4469.5,4560.0,4469.5,4500.0,2373516.0
GD35,2021-04-08,4490.0,4530.5,4490.0,4505.0,1983813.0
GD35,2021-04-09,4550.0,4550.0,4500.0,4500.0,1989004.0
GD35,2021-04-12,4490.0,4625.0,4455.0,4604.0,2501502.0
GD35,2021-04-13,4650.0,4650.0,4530.0,4603.0,984520.0
GD35,2021-04-14,4610.0,4689.5,4600.0,4620.0,7956166.0
GD35,2021-04-15,4666.5,4666.5,4500.0,4629.0,1708426.0
GD35,2021-04-16,4625.0,4660.0,4600.0,4650.0,2538935.0
GD35,2021-04-19,4603.5,4680.0,4580.0,4658.5,1502263.0
GD35,2021-04-20,4650.0,4699.0,4620.0,4680.0,2169636.0
GD35,2021-04-21,4680.0,4725.0,4655.0,4725.0,2273200.0
GD35,2021-04-22,4745.0,4780.0,4725.0,4731.0,6909148.0
GD35,2021-04-23,4740.0,4810.0,4728.0,4810.0,4049887.0
GD35,2021-04-26,4815.0,4873.0,4757.0,4870.0,5950239.0
GD35,2021-04-27,4897.0,4948.5,4870.0,4920.0,4785279.0
GD35,2021-04-28,4940.0,5010.0,4920.0,4965.0,5316040.0
GD35,2021-04-29,5098.0,5098.0,4816.0,4948.0,1792072.0
GD35,2021-04-30,4980.0,5070.0,4900.0,5005.0,729930.0
GD35,2021-05-03,4975.0,5090.0,4975.0,5079.0,935279.0
GD35,2021-05-04,5028.0,5050.0,5010.0,5037.0,2929553.0
GD35,2021-05-05,5059.0,5059.0,5000.0,5008.0,2569861.0
GD35,2021-05-06,5000.0,5025.0,4951.0,5004.5,828869.0
GD35,2021-05-07,5050.5,5050.5,4900.0,4990.0,1882368.0
