especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD35D,2020-09-15,44.3,45.75,44.1,45.0,1435713,1600138800.0
GD35D,2020-09-16,45.0,45.0,42.3,42.99,530798,1600225200.0
GD35D,2020-09-17,42.0,42.5,40.0,41.5,1217661,1600311600.0
GD35D,2020-09-18,42.75,42.75,40.9,41.0,693956,1600398000.0
GD35D,2020-09-21,41.0,41.0,39.0,40.49,602298,1600657200.0
GD35D,2020-09-22,40.44,40.44,39.0,39.3,632187,1600743600.0
GD35D,2020-09-23,39.0,40.7,38.35,40.4,1805998,1600830000.0
GD35D,2020-09-24,40.37,41.98,39.5,41.0,1441604,1600916400.0
GD35D,2020-09-25,42.0,42.0,40.75,41.25,855985,1601002800.0
GD35D,2020-09-28,41.99,42.0,40.9,41.0,683992,1601262000.0
GD35D,2020-09-29,40.5,41.35,39.51,40.9,1579448,1601348400.0
GD35D,2020-09-30,40.75,41.01,40.45,40.78,1278136,1601434800.0
GD35D,2020-10-01,41.5,41.5,40.0,40.25,2626406,1601521200.0
GD35D,2020-10-02,40.2,40.2,39.26,39.7,538575,1601607600.0
GD35D,2020-10-05,40.0,40.0,38.6,39.39,825122,1601866800.0
GD35D,2020-10-06,39.35,40.3,39.0,40.1,3148408,1601953200.0
GD35D,2020-10-07,40.01,40.5,39.8,40.3,881801,1602039600.0
GD35D,2020-10-08,40.49,40.5,39.9,40.27,390836,1602126000.0
GD35D,2020-10-09,40.5,41.0,39.62,40.7,1492683,1602212400.0
GD35D,2020-10-13,40.8,41.0,40.2,40.57,2858107,1602558000.0
GD35D,2020-10-14,40.2,40.55,40.0,40.51,1744184,1602644400.0
GD35D,2020-10-15,39.51,40.0,38.9,38.9,2089570,1602730800.0
GD35D,2020-10-16,39.1,39.55,38.8,38.8,1541789,1602817200.0
GD35D,2020-10-19,38.75,39.0,37.75,38.01,879857,1603076400.0
GD35D,2020-10-20,37.5,37.5,36.5,37.0,3698556,1603162800.0
GD35D,2020-10-21,36.5,36.5,36.0,36.3,2508362,1603249200.0
GD35D,2020-10-22,36.0,37.2,35.26,37.2,1119978,1603335600.0
GD35D,2020-10-23,37.45,37.75,36.76,37.75,1854072,1603422000.0
GD35D,2020-10-26,37.0,37.01,36.3,36.48,272400,1603681200.0
GD35D,2020-10-27,36.0,36.48,35.5,35.77,1111252,1603767600.0
GD35D,2020-10-28,35.5,36.5,35.13,36.0,3537885,1603854000.0
GD35D,2020-10-29,36.21,36.21,35.25,35.58,1875426,1603940400.0
GD35D,2020-10-30,35.5,35.6,34.5,35.18,1570320,1604026800.0
GD35D,2020-11-02,34.5,36.5,34.5,35.4,743655,1604286000.0
GD35D,2020-11-03,35.6,37.0,35.5,36.1,1523706,1604372400.0
GD35D,2020-11-04,35.5,37.5,35.5,36.82,3053924,1604458800.0
GD35D,2020-11-05,37.28,38.0,37.0,37.69,2093238,1604545200.0
GD35D,2020-11-06,37.95,37.95,37.37,37.7,231660,1604631600.0
GD35D,2020-11-09,37.8,38.75,37.8,38.27,1338990,1604890800.0
GD35D,2020-11-10,37.2,38.5,37.2,38.4,2226432,1604977200.0
GD35D,2020-11-11,38.0,38.75,37.61,38.75,1523867,1605063600.0
GD35D,2020-11-12,38.49,38.7,38.08,38.45,265396,1605150000.0
GD35D,2020-11-13,38.0,39.25,38.0,38.88,1450579,1605236400.0
GD35D,2020-11-16,38.12,39.5,38.12,39.13,1333290,1605495600.0
GD35D,2020-11-17,38.85,38.85,38.02,38.45,392384,1605582000.0
GD35D,2020-11-18,38.25,39.0,38.0,38.15,613986,1605668400.0
GD35D,2020-11-19,37.5,38.0,36.95,37.3,3756378,1605754800.0
GD35D,2020-11-20,37.3,37.7,36.82,37.65,2239563,1605841200.0
GD35D,2020-11-24,36.5,39.15,36.5,37.55,640861,1606186800.0
GD35D,2020-11-25,38.0,38.0,37.0,37.25,1751005,1606273200.0
GD35D,2020-11-26,37.0,37.4,36.75,37.4,83631,1606359600.0
GD35D,2020-11-27,37.4,38.0,37.05,37.83,327384,1606446000.0
GD35D,2020-11-30,37.14,37.23,36.5,36.7,849084,1606705200.0
GD35D,2020-12-01,36.5,38.0,36.15,36.6,452910,1606791600.0
GD35D,2020-12-02,36.01,36.4,36.0,36.3,356654,1606878000.0
GD35D,2020-12-03,36.0,36.5,35.21,36.36,3060137,1606964400.0
GD35D,2020-12-04,36.0,36.5,35.8,35.99,1058196,1607050800.0
