especie,fecha,apertura,maximo,minimo,cierre,volumen
INFLACION,2011-01-31,1.09,1.09,1.09,1.09,0
INFLACION,2011-02-28,0.93,0.93,0.93,0.93,0
INFLACION,2011-03-31,0.96,0.96,0.96,0.96,0
INFLACION,2011-04-30,1.00,1.00,1.00,1.00,0
INFLACION,2011-05-31,1.03,1.03,1.03,1.03,0
INFLACION,2011-06-30,1.14,1.14,1.14,1.14,0
INFLACION,2011-07-31,1.01,1.01,1.01,1.01,0
INFLACION,2011-08-31,1.02,1.02,1.02,1.02,0
INFLACION,2011-09-30,1.03,1.03,1.03,1.03,0
INFLACION,2011-10-31,0.91,0.91,0.91,0.91,0
INFLACION,2011-11-30,0.95,0.95,0.95,0.95,0
INFLACION,2011-12-31,0.92,0.92,0.92,0.92,0
INFLACION,2012-01-31,0.96,0.96,0.96,0.96,0
INFLACION,2012-02-29,0.99,0.99,0.99,0.99,0
INFLACION,2012-03-31,1.18,1.18,1.18,1.18,0
INFLACION,2012-04-30,1.13,1.13,1.13,1.13,0
INFLACION,2012-05-31,1.02,1.02,1.02,1.02,0
INFLACION,2012-06-30,0.99,0.99,0.99,0.99,0
INFLACION,2012-07-31,0.97,0.97,0.97,0.97,0
INFLACION,2012-08-31,1.03,1.03,1.03,1.03,0
INFLACION,2012-09-30,1.11,1.11,1.11,1.11,0
INFLACION,2012-10-31,1.03,1.03,1.03,1.03,0
INFLACION,2012-11-30,1.00,1.00,1.00,1.00,0
INFLACION,2012-12-31,0.97,0.97,0.97,0.97,0
INFLACION,2013-01-31,1.02,1.02,1.02,1.02,0
INFLACION,2013-02-28,1.06,1.06,1.06,1.06,0
INFLACION,2013-03-31,1.01,1.01,1.01,1.01,0
INFLACION,2013-04-30,0.96,0.96,0.96,0.96,0
INFLACION,2013-05-31,1.26,1.26,1.26,1.26,0
INFLACION,2013-06-30,1.35,1.35,1.35,1.35,0
INFLACION,2013-07-31,1.13,1.13,1.13,1.13,0
INFLACION,2013-08-31,1.13,1.13,1.13,1.13,0
INFLACION,2013-09-30,1.09,1.09,1.09,1.09,0
INFLACION,2013-10-31,1.14,1.14,1.14,1.14,0
INFLACION,2013-11-30,1.22,1.22,1.22,1.22,0
INFLACION,2013-12-31,1.49,1.49,1.49,1.49,0
INFLACION,2014-01-31,4.95,4.95,4.95,4.95,0
INFLACION,2014-02-28,5.12,5.12,5.12,5.12,0
INFLACION,2014-03-31,2.43,2.43,2.43,2.43,0
INFLACION,2014-04-30,1.72,1.72,1.72,1.72,0
INFLACION,2014-05-31,1.87,1.87,1.87,1.87,0
INFLACION,2014-06-30,1.51,1.51,1.51,1.51,0
INFLACION,2014-07-31,1.35,1.35,1.35,1.35,0
INFLACION,2014-08-31,1.63,1.63,1.63,1.63,0
INFLACION,2014-09-30,1.59,1.59,1.59,1.59,0
INFLACION,2014-10-31,1.23,1.23,1.23,1.23,0
INFLACION,2014-11-30,0.91,0.91,0.91,0.91,0
INFLACION,2014-12-31,0.95,0.95,0.95,0.95,0
INFLACION,2015-01-31,0.20,0.20,0.20,0.20,0
INFLACION,2015-02-28,0.25,0.25,0.25,0.25,0
INFLACION,2015-03-31,0.98,0.98,0.98,0.98,0
INFLACION,2015-04-30,0.74,0.74,0.74,0.74,0
INFLACION,2015-05-31,1.48,1.48,1.48,1.48,0
INFLACION,2015-06-30,1.32,1.32,1.32,1.32,0
INFLACION,2015-07-31,1.44,1.44,1.44,1.44,0
INFLACION,2015-08-31,1.33,1.33,1.33,1.33,0
INFLACION,2015-09-30,1.35,1.35,1.35,1.35,0
INFLACION,2015-10-31,0.93,0.93,0.93,0.93,0
INFLACION,2015-11-30,2.00,2.00,2.00,2.00,0
INFLACION,2015-12-31,3.90,3.90,3.90,3.90,0
INFLACION,2016-01-31,9.00,9.00,9.00,9.00,0
INFLACION,2016-02-29,5.00,5.00,5.00,5.00,0
INFLACION,2016-03-31,2.40,2.40,2.40,2.40,0
INFLACION,2016-04-30,1.50,1.50,1.50,1.50,0
INFLACION,2016-05-31,3.60,3.60,3.60,3.60,0
INFLACION,2016-06-30,2.90,2.90,2.90,2.90,0
INFLACION,2016-07-31,2.70,2.70,2.70,2.70,0
INFLACION,2016-08-31,0.40,0.40,0.40,0.40,0
INFLACION,2016-09-30,0.40,0.40,0.40,0.40,0
INFLACION,2016-10-31,0.60,0.60,0.60,0.60,0
INFLACION,2016-11-30,1.10,1.10,1.10,1.10,0
INFLACION,2016-12-31,0.80,0.80,0.80,0.80,0
INFLACION,2017-01-31,1.59,1.59,1.59,1.59,0
INFLACION,2017-02-28,2.07,2.07,2.07,2.07,0
INFLACION,2017-03-31,2.37,2.37,2.37,2.37,0
INFLACION,2017-04-30,2.66,2.66,2.66,2.66,0
INFLACION,2017-05-31,1.43,1.43,1.43,1.43,0
INFLACION,2017-06-30,1.19,1.19,1.19,1.19,0
INFLACION,2017-07-31,1.73,1.73,1.73,1.73,0
INFLACION,2017-08-31,1.40,1.40,1.40,1.40,0
INFLACION,2017-09-30,1.90,1.90,1.90,1.90,0
INFLACION,2017-10-31,1.51,1.51,1.51,1.51,0
