especie,fecha,apertura,maximo,minimo,cierre,volumen
MERVAL,2012-08-21,2458.36011,2467.73,2435.78,2441.22998,0.0
MERVAL,2012-08-22,2440.93994,2442.1,2425.45,2435.69995,0.0
MERVAL,2012-08-23,2436.52002,2442.52,2424.1,2442.52002,0.0
MERVAL,2012-08-24,2442.52002,2458.81,2442.52,2458.81006,0.0
MERVAL,2012-08-27,2458.81006,2473.94,2458.81,2460.71997,0.0
MERVAL,2012-08-28,2461.73999,2463.82,2442.99,2447.26001,0.0
MERVAL,2012-08-29,2447.26001,2448.24,2435.31,2445.43994,0.0
MERVAL,2012-08-30,2445.43994,2446.81,2403.84,2424.03003,0.0
MERVAL,2012-08-31,2424.26001,2433.88,2403.44,2408.37988,0.0
MERVAL,2012-09-03,2408.48999,2414.83,2400.65,2402.56006,0.0
MERVAL,2012-09-04,2402.84009,2403.29,2363.58,2379.30005,0.0
MERVAL,2012-09-05,2379.30005,2386.16,2358.81,2382.25,0.0
MERVAL,2012-09-06,2387.06006,2405.14,2384.33,2405.13989,0.0
MERVAL,2012-09-07,2405.13989,2423.62,2374.22,2381.95996,0.0
MERVAL,2012-09-10,2385.45996,2394.54,2363.74,2371.61011,0.0
MERVAL,2012-09-11,2375.83008,2406.59,2375.83,2406.52002,0.0
MERVAL,2012-09-12,2406.71997,2436.82,2406.72,2436.22998,0.0
MERVAL,2012-09-13,2437.93994,2508.71,2437.74,2508.70996,0.0
MERVAL,2012-09-14,2515.78003,2576.01,2515.78,2543.86011,0.0
MERVAL,2012-09-17,2536.69995,2536.7,2477.21,2479.23999,0.0
MERVAL,2012-09-18,2476.75,2491.82,2467.79,2491.82007,0.0
MERVAL,2012-09-19,2493.61011,2501.77,2486.67,2493.8501,0.0
MERVAL,2012-09-20,2493.8501,2503.94,2474.18,2500.79004,0.0
MERVAL,2012-09-21,2501.6499,2540.33,2501.65,2531.75,0.0
MERVAL,2012-09-25,2586.59009,2586.59,2521.72,2533.41992,0.0
MERVAL,2012-09-26,2521.58008,2521.58,2459.84,2461.01001,0.0
MERVAL,2012-09-28,2489.05005,2489.05,2447.46,2451.72998,0.0
MERVAL,2012-10-01,2450.98999,2478.5,2450.99,2458.45996,0.0
MERVAL,2012-10-02,2458.87012,2469.74,2447.03,2464.73999,0.0
MERVAL,2012-10-03,2462.29004,2462.29,2445.48,2455.81006,0.0
MERVAL,2012-10-04,2455.81006,2472.64,2445.64,2469.41992,0.0
MERVAL,2012-10-05,2468.51001,2500.78,2468.51,2485.76001,0.0
MERVAL,2012-10-09,2476.19995,2476.2,2432.64,2435.13989,0.0
MERVAL,2012-10-10,2429.48999,2435.25,2376.82,2387.81006,0.0
MERVAL,2012-10-11,2388.81006,2419.2,2388.81,2417.62012,0.0
MERVAL,2012-10-12,2419.23999,2420.66,2383.05,2400.12988,0.0
MERVAL,2012-10-15,2401.26001,2405.08,2386.97,2405.08008,0.0
MERVAL,2012-10-16,2406.25,2432.4,2406.25,2427.33008,0.0
MERVAL,2012-10-17,2432.15991,2475.58,2432.16,2471.54004,0.0
MERVAL,2012-10-18,2471.54004,2474.99,2442.63,2455.92993,0.0
MERVAL,2012-10-19,2452.13989,2452.14,2416.24,2428.05005,0.0
MERVAL,2012-10-22,2428.05005,2457.16,2420.2,2457.15991,0.0
MERVAL,2012-10-24,2368.51001,2380.24,2361.9,2377.79004,0.0
MERVAL,2012-10-25,2377.79004,2389.4,2366.96,2376.48999,0.0
MERVAL,2012-10-26,2373.95996,2388.5,2366.36,2380.33008,0.0
MERVAL,2012-10-29,2380.33008,2380.33,2321.7,2332.80005,0.0
MERVAL,2012-10-30,2331.09009,2345.73,2314.1,2320.57007,0.0
MERVAL,2012-11-01,2331.41992,2361.0,2331.42,2350.33008,0.0
MERVAL,2012-11-02,2350.83008,2395.13,2350.83,2395.12988,0.0
MERVAL,2012-11-05,2395.12988,2402.79,2383.13,2394.8501,0.0
MERVAL,2012-11-07,2394.8501,2394.85,2355.25,2370.18994,0.0
MERVAL,2012-11-08,2367.20996,2405.85,2366.05,2401.84009,0.0
MERVAL,2012-11-09,2400.34009,2401.61,2375.49,2390.05005,0.0
MERVAL,2012-11-12,2389.1001,2394.51,2372.47,2394.51001,0.0
MERVAL,2012-11-13,2393.04004,2395.3,2350.94,2354.05005,0.0
MERVAL,2012-11-14,2353.11011,2366.6,2319.78,2320.68994,0.0
MERVAL,2012-11-15,2320.44995,2331.93,2310.9,2322.27002,0.0
MERVAL,2012-11-16,2321.23999,2321.24,2277.77,2283.09009,0.0
MERVAL,2012-11-19,2290.82007,2320.76,2290.82,2295.33008,0.0
MERVAL,2012-11-20,2295.33008,2302.96,2292.31,2295.59009,0.0
MERVAL,2012-11-21,2298.16992,2319.7,2291.09,2319.69995,0.0
MERVAL,2012-11-22,2321.16992,2321.17,2234.86,2242.3999,0.0
MERVAL,2012-11-23,2243.77002,2339.92,2243.77,2339.91992,0.0
MERVAL,2012-11-27,2343.32007,2352.03,2324.87,2328.87988,0.0
MERVAL,2012-11-28,2330.06006,2331.46,2305.38,2327.5,0.0
MERVAL,2012-11-29,2327.5,2413.58,2327.5,2408.16992,0.0
MERVAL,2012-11-30,2411.57007,2425.38,2385.7,2419.30005,0.0
MERVAL,2012-12-03,2427.48999,2442.45,2414.45,2419.67993,0.0
MERVAL,2012-12-04,2420.23999,2474.81,2418.17,2458.94995,0.0
MERVAL,2012-12-05,2459.98999,2489.59,2458.27,2470.04004,0.0
MERVAL,2012-12-06,2465.76001,2478.95,2440.89,2450.03003,0.0
MERVAL,2012-12-07,2450.03003,2480.03,2450.03,2480.03003,0.0
MERVAL,2012-12-10,2480.17993,2520.28,2478.51,2520.28003,0.0
MERVAL,2012-12-11,2524.81006,2577.66,2524.81,2558.76001,0.0
MERVAL,2012-12-12,2557.18994,2612.39,2556.94,2610.8999,0.0
MERVAL,2012-12-13,2610.8999,2625.6,2592.26,2610.03003,0.0
MERVAL,2012-12-14,2616.04004,2700.58,2616.04,2696.97998,0.0
MERVAL,2012-12-17,2699.51001,2764.3,2699.1,2759.18994,0.0
MERVAL,2012-12-18,2759.18994,2872.7,2759.19,2871.32007,0.0
MERVAL,2012-12-19,2871.32007,2887.33,2819.33,2843.95996,0.0
MERVAL,2012-12-20,2842.37988,2862.07,2842.38,2860.08008,0.0
MERVAL,2012-12-21,2859.84009,2859.84,2765.57,2786.3999,0.0
MERVAL,2012-12-26,2789.79004,2827.96,2789.79,2827.95996,0.0
MERVAL,2012-12-27,2826.30005,2869.76,2823.74,2839.13989,0.0
MERVAL,2012-12-28,2839.84009,2854.69,2833.37,2854.29004,0.0
MERVAL,2013-01-02,2867.42993,2954.08,2867.43,2952.87012,0.0
MERVAL,2013-01-03,2952.0,2995.21,2952.0,2975.23999,0.0
MERVAL,2013-01-04,2976.29004,2996.6,2946.77,2996.28003,0.0
MERVAL,2013-01-07,2996.79004,2996.79,2977.08,2993.22998,0.0
MERVAL,2013-01-08,2993.22998,3019.84,2988.07,3018.0,0.0
MERVAL,2013-01-09,3018.91992,3072.74,3018.92,3071.83008,0.0
MERVAL,2013-01-10,3073.96997,3122.33,3073.97,3114.19995,0.0
MERVAL,2013-01-11,3122.23999,3142.85,3090.55,3107.65991,0.0
MERVAL,2013-01-14,3108.37988,3132.54,3079.03,3095.3999,0.0
MERVAL,2013-01-15,3091.72998,3093.51,3046.55,3082.3999,0.0
MERVAL,2013-01-16,3082.3999,3135.62,3068.98,3134.0,0.0
MERVAL,2013-01-17,3136.1001,3183.44,3136.1,3168.54004,0.0
MERVAL,2013-01-18,3172.56006,3198.46,3172.56,3197.3501,0.0
MERVAL,2013-01-21,3201.17993,3250.39,3201.18,3250.38989,0.0
MERVAL,2013-01-22,3250.38989,3307.13,3247.34,3306.19995,0.0
MERVAL,2013-01-23,3321.0,3361.5,3294.88,3300.86011,0.0
MERVAL,2013-01-24,3302.97998,3334.8,3290.36,3316.25,0.0
MERVAL,2013-01-25,3317.30005,3355.09,3317.3,3339.77002,0.0
MERVAL,2013-01-28,3352.92993,3382.19,3328.81,3342.1001,0.0
MERVAL,2013-01-29,3340.83008,3470.15,3340.83,3470.1499,0.0
MERVAL,2013-01-30,3473.58008,3498.07,3429.27,3462.41992,0.0
MERVAL,2013-02-01,3463.08008,3544.85,3462.57,3531.45996,0.0
MERVAL,2013-02-04,3531.45996,3537.06,3422.74,3428.68994,0.0
MERVAL,2013-02-05,3428.3501,3428.35,3340.41,3357.8999,0.0
MERVAL,2013-02-06,3355.36011,3355.36,3283.89,3290.01001,0.0
MERVAL,2013-02-07,3290.01001,3334.73,3290.01,3302.96997,0.0
MERVAL,2013-02-08,3303.90991,3315.32,3272.98,3279.95996,0.0
MERVAL,2013-02-13,3276.13989,3313.18,3273.34,3307.80005,0.0
MERVAL,2013-02-14,3303.75,3310.05,3286.31,3303.79004,0.0
MERVAL,2013-02-15,3315.05005,3320.57,3293.87,3295.41992,0.0
MERVAL,2013-02-18,3295.41992,3297.75,3240.74,3264.0,0.0
MERVAL,2013-02-19,3274.40991,3310.22,3266.17,3268.77002,0.0
MERVAL,2013-02-22,3125.0,3202.63,3110.53,3138.28003,46680956.0
MERVAL,2013-02-25,3151.04004,3168.78,3116.41,3124.63989,0.0
MERVAL,2013-02-26,3122.63989,3125.68,3066.82,3119.61011,0.0
MERVAL,2013-02-27,3123.57007,3163.36,3123.57,3158.91992,0.0
MERVAL,2013-02-28,3159.23999,3159.24,3042.98,3048.55005,0.0
MERVAL,2013-03-01,3000.37012,3103.09,2973.1,3099.70996,0.0
MERVAL,2013-03-04,3112.94995,3146.59,3112.95,3140.30005,0.0
