especie,fecha,apertura,maximo,minimo,cierre,volumen
S11N4,2024-08-30,100.3,100.301,100.05,100.14,3956876696.0
S11N4,2024-09-02,100.92,101.119,100.487,100.6,1272054406.0
S11N4,2024-09-03,100.717,100.804,100.69,100.804,350154928.0
S11N4,2024-09-04,100.92,101.069,100.81,100.869,82644519.0
S11N4,2024-09-05,101.403,101.404,100.001,101.35,89651252.0
S11N4,2024-09-06,101.033,104.3,101.033,101.226,179754906.0
S11N4,2024-09-09,100.001,102.6,100.001,101.526,430651473.0
S11N4,2024-09-10,101.872,104.5,101.0,101.693,364314019.0
S11N4,2024-09-11,101.75,103.2,101.75,101.85,68065205.0
S11N4,2024-09-12,101.95,102.8,100.56,101.699,166212696.0
S11N4,2024-09-13,102.0,102.7,101.738,102.12,1131429468.0
S11N4,2024-09-16,103.103,103.3,101.0,101.803,764768027.0
S11N4,2024-09-17,102.602,103.097,102.1,102.3,600677837.0
S11N4,2024-09-18,102.403,102.599,102.093,102.35,1399862114.0
S11N4,2024-09-19,103.0,103.0,101.0,102.4,401008666.0
S11N4,2024-09-20,102.312,103.4,102.312,103.0,546429653.0
S11N4,2024-09-23,102.901,103.429,102.8,102.9,4052979720.0
S11N4,2024-09-24,103.02,104.0,102.934,103.08,1550490634.0
S11N4,2024-09-25,103.42,103.84,102.33,103.3,595102689.0
S11N4,2024-09-26,103.496,103.9,103.15,103.283,920822114.0
S11N4,2024-09-27,103.303,105.252,103.303,103.65,831443330.0
S11N4,2024-09-30,104.09,105.0,104.0,104.05,1550214484.0
S11N4,2024-10-01,104.36,104.9,104.0,104.5,1660875419.0
S11N4,2024-10-02,105.0,105.0,104.181,104.452,786875504.0
S11N4,2024-10-03,105.0,105.0,104.299,104.353,705212429.0
S11N4,2024-10-04,104.249,105.83,104.249,104.403,917035331.0
S11N4,2024-10-07,104.9,104.938,103.6,104.782,795964015.0
S11N4,2024-10-08,104.949,105.95,104.582,105.3,670633791.0
S11N4,2024-10-09,105.203,105.203,105.002,105.08,566223502.0
S11N4,2024-10-10,105.28,105.9,104.05,105.271,1543447398.0
S11N4,2024-10-14,105.576,106.017,105.576,105.7,4528515395.0
S11N4,2024-10-15,105.8,110.0,104.56,107.8,1852412756.0
S11N4,2024-10-16,105.78,106.9,105.01,105.85,1107252852.0
S11N4,2024-10-17,106.098,110.0,105.624,110.0,1104455747.0
S11N4,2024-10-18,106.7,106.85,105.861,106.2,2655515076.0
S11N4,2024-10-21,106.591,107.249,106.05,106.5,1854434442.0
S11N4,2024-10-22,106.899,109.9,106.542,106.692,1380044631.0
S11N4,2024-10-23,106.76,106.99,106.585,106.8,1186793044.0
S11N4,2024-10-24,107.9,107.9,106.75,106.91,843574943.0
