especie,fecha,apertura,maximo,minimo,cierre,volumen
S13D4,2024-07-01,101.04,101.05,99.8,100.0,1381974555.0
S13D4,2024-07-02,100.2,100.2,99.5,99.9,2486869001.0
S13D4,2024-07-03,101.0,101.15,100.0,100.4,3730205230.0
S13D4,2024-07-04,101.4,102.0,99.7,100.45,1478882478.0
S13D4,2024-07-05,101.7,101.7,99.6,101.15,3305750769.0
S13D4,2024-07-08,101.9,103.0,98.2,101.9,1901472649.0
S13D4,2024-07-10,102.9,103.5,101.0,103.5,5386744815.0
S13D4,2024-07-11,105.0,105.5,103.15,103.6,1667322722.0
S13D4,2024-07-12,105.0,106.0,102.7,103.71,1677314802.0
S13D4,2024-07-15,104.2,107.0,103.1,103.99,1809984477.0
S13D4,2024-07-16,103.16,106.5,103.16,104.0,1650908584.0
S13D4,2024-07-17,103.53,106.0,103.53,104.1,2495609686.0
S13D4,2024-07-18,103.63,106.0,103.201,104.16,1025023182.0
S13D4,2024-07-19,105.49,105.49,104.28,104.65,2584281269.0
S13D4,2024-07-22,104.56,106.0,104.501,104.75,1967109943.0
S13D4,2024-07-23,104.75,106.4,103.6,104.95,613895051.0
S13D4,2024-07-24,106.5,109.25,104.68,104.75,4233600647.0
S13D4,2024-07-25,105.0,105.0,104.48,104.8,6355834303.0
S13D4,2024-07-26,106.0,107.25,105.0,105.35,2413499514.0
S13D4,2024-07-29,106.16,107.0,105.351,106.69,7404758977.0
S13D4,2024-07-30,110.0,110.0,106.728,107.3,3276073764.0
S13D4,2024-07-31,107.44,110.0,107.42,108.4,3657927800.0
S13D4,2024-08-01,110.0,110.0,107.91,108.6,3409376729.0
S13D4,2024-08-02,109.0,110.0,108.05,108.65,1363957295.0
S13D4,2024-08-05,109.7,109.7,106.001,108.4,3350364994.0
S13D4,2024-08-06,109.199,109.2,108.4,108.55,9667299281.0
S13D4,2024-08-07,109.0,109.5,107.25,108.9,2783952141.0
S13D4,2024-08-08,108.9,109.75,108.4,109.75,3529457130.0
S13D4,2024-08-09,109.75,110.25,109.15,109.65,2667420880.0
S13D4,2024-08-12,110.0,110.25,109.3,109.88,1503482356.0
S13D4,2024-08-13,109.5,110.249,109.45,110.1,2855638701.0
S13D4,2024-08-14,110.25,110.45,109.67,110.3,3327757453.0
S13D4,2024-08-15,110.26,112.0,110.26,110.59,5567626880.0
S13D4,2024-08-16,111.35,111.35,111.0,111.2,1707434889.0
S13D4,2024-08-19,111.5,112.999,111.001,111.299,1172429929.0
