especie,fecha,apertura,maximo,minimo,cierre,volumen
S2D4D,2024-08-20,0.085,0.09,0.084,0.089,20004900.0
S2D4D,2024-08-21,0.087,0.09,0.08,0.082,20938823.0
S2D4D,2024-08-22,0.084,0.089,0.081,0.089,7341907.0
S2D4D,2024-08-23,0.089,0.089,0.082,0.082,1687886.0
S2D4D,2024-08-26,0.084,0.086,0.081,0.081,3963188.0
S2D4D,2024-08-29,0.083,0.085,0.083,0.085,238.0
S2D4D,2024-08-30,0.087,0.089,0.087,0.089,100115.0
S2D4D,2024-09-02,0.088,0.091,0.088,0.091,2903573.0
S2D4D,2024-09-03,0.092,0.092,0.092,0.092,419211.0
S2D4D,2024-09-06,0.092,0.093,0.091,0.092,2967613.0
S2D4D,2024-09-10,0.092,0.093,0.092,0.092,2151055.0
S2D4D,2024-09-11,0.092,0.093,0.092,0.093,141377.0
S2D4D,2024-09-12,0.095,0.095,0.095,0.095,305742.0
S2D4D,2024-09-13,0.097,0.097,0.097,0.097,743858.0
S2D4D,2024-09-16,0.095,0.097,0.094,0.097,3036435.0
S2D4D,2024-09-17,0.093,0.098,0.093,0.098,2971899.0
S2D4D,2024-09-18,0.099,0.099,0.093,0.095,9061549.0
S2D4D,2024-09-19,0.095,0.095,0.095,0.095,1000000.0
S2D4D,2024-09-23,0.097,0.097,0.096,0.096,7211475.0
S2D4D,2024-09-24,0.096,0.097,0.095,0.097,7163451.0
S2D4D,2024-09-25,0.096,0.096,0.095,0.096,11595904.0
S2D4D,2024-09-26,0.095,0.103,0.094,0.099,2911194.0
S2D4D,2024-09-27,0.097,0.097,0.094,0.095,1244711.0
S2D4D,2024-09-30,0.096,0.097,0.095,0.095,997016.0
S2D4D,2024-10-01,0.097,0.097,0.095,0.095,0.0
S2D4D,2024-10-02,0.095,0.097,0.095,0.097,309383.0
S2D4D,2024-10-03,0.097,0.099,0.097,0.098,3869576.0
S2D4D,2024-10-04,0.1,0.1,0.097,0.098,2716314.0
S2D4D,2024-10-07,0.101,0.101,0.098,0.098,769461.0
S2D4D,2024-10-08,0.1,0.101,0.098,0.1,36088278.0
S2D4D,2024-10-09,0.101,0.102,0.101,0.102,14851840.0
S2D4D,2024-10-10,0.102,0.104,0.102,0.103,10760.0
S2D4D,2024-10-14,0.107,0.107,0.103,0.106,2442962.0
S2D4D,2024-10-15,0.103,0.106,0.103,0.104,8101559.0
S2D4D,2024-10-16,0.103,0.106,0.102,0.106,42158601.0
S2D4D,2024-10-17,0.103,0.104,0.101,0.104,4730776.0
S2D4D,2024-10-18,0.102,0.104,0.102,0.104,491266.0
S2D4D,2024-10-21,0.102,0.105,0.102,0.104,4021854.0
S2D4D,2024-10-22,0.102,0.104,0.102,0.104,314688.0
S2D4D,2024-10-23,0.102,0.104,0.102,0.104,1687585.0
S2D4D,2024-10-24,0.103,0.104,0.103,0.104,2265113.0
S2D4D,2024-10-25,0.104,0.106,0.103,0.104,5657926.0
S2D4D,2024-10-28,0.105,0.107,0.105,0.107,2989026.0
S2D4D,2024-10-29,0.107,0.107,0.106,0.107,16970403.0
S2D4D,2024-10-30,0.108,0.108,0.105,0.108,811143.0
S2D4D,2024-10-31,0.107,0.108,0.106,0.108,132826697.0
S2D4D,2024-11-01,0.109,0.11,0.107,0.11,26002798.0
S2D4D,2024-11-04,0.106,0.109,0.106,0.106,9140022.0
S2D4D,2024-11-05,0.107,0.107,0.106,0.107,20053591.0
