especie,fecha,apertura,maximo,minimo,cierre,volumen
S31O4,2024-09-30,101.0,101.0,100.02,101.0,3047544042.0
S31O4,2024-10-01,100.98,100.98,100.15,100.3,3731810101.0
S31O4,2024-10-02,100.529,101.5,100.35,100.4,333519069.0
S31O4,2024-10-03,101.205,101.205,100.435,100.511,608258239.0
S31O4,2024-10-04,101.4,101.4,100.53,100.61,8526891801.0
S31O4,2024-10-07,100.784,102.48,100.784,100.89,2570515025.0
S31O4,2024-10-08,101.208,102.75,101.03,101.128,287845873.0
S31O4,2024-10-09,101.488,104.44,101.19,101.303,1108934725.0
S31O4,2024-10-10,101.3,101.7,101.255,101.41,4104963955.0
S31O4,2024-10-14,101.902,102.7,101.65,101.868,5157354016.0
S31O4,2024-10-15,102.382,102.382,101.8,101.845,4805410869.0
S31O4,2024-10-16,101.95,102.1,101.9,101.949,8062669439.0
S31O4,2024-10-17,102.2,102.2,102.016,102.06,10901281052.0
S31O4,2024-10-18,102.1,102.35,102.1,102.3,4943114878.0
S31O4,2024-10-21,102.69,102.69,102.5,102.564,13298298302.0
S31O4,2024-10-22,102.5,102.999,102.0,102.999,5592891265.0
S31O4,2024-10-23,103.7,103.7,102.685,102.8,9974381449.0
S31O4,2024-10-24,102.835,103.05,102.835,102.9,11127748043.0
S31O4,2024-10-25,103.25,103.25,103.0,103.18,8951333184.0
S31O4,2024-10-28,103.046,103.483,103.0,103.378,10242994493.0
S31O4,2024-10-29,103.6,103.6,103.48,103.514,2081270117.0
