especie,fecha,apertura,maximo,minimo,cierre,volumen
TX26,2020-09-08,84.9,84.9,83.0,83.95,800594728.0
TX26,2020-09-09,83.2,84.84,83.0,84.7,465343322.0
TX26,2020-09-10,84.7,84.99,84.0,84.8,565382898.0
TX26,2020-09-11,84.99,85.15,84.5,84.71,100036367.0
TX26,2020-09-14,84.71,85.05,83.8,84.65,311527136.0
TX26,2020-09-15,86.0,86.0,84.1,84.65,286052485.0
TX26,2020-09-16,84.4,85.0,84.0,84.75,376209669.0
TX26,2020-09-17,84.0,84.94,84.0,84.7,166387978.0
TX26,2020-09-18,84.9,85.29,84.5,85.08,624063574.0
TX26,2020-09-21,84.6,85.25,84.0,85.0,336332785.0
TX26,2020-09-22,84.05,85.35,84.05,85.1,0.0
TX26,2020-09-23,84.3,85.48,83.54,83.99,219759326.0
TX26,2020-09-24,83.1,83.95,82.0,82.15,193628169.0
TX26,2020-09-25,84.0,84.0,81.5,82.58,173272244.0
TX26,2020-09-28,82.0,82.94,82.0,82.31,135988016.0
TX26,2020-09-29,82.05,82.6,82.05,82.55,157898284.0
TX26,2020-09-30,82.6,83.98,82.3,83.8,136428123.0
TX26,2020-10-01,83.7,84.65,83.2,83.8,214674106.0
TX26,2020-10-02,82.5,85.3,82.5,84.98,394625582.0
TX26,2020-10-05,84.0,85.4,83.6,84.6,63879267.0
TX26,2020-10-06,83.6,84.6,83.21,83.5,179800484.0
TX26,2020-10-07,82.3,83.6,82.12,82.5,107713969.0
TX26,2020-10-08,83.2,83.2,81.2,81.95,120465568.0
TX26,2020-10-09,81.0,82.25,79.0,79.85,135189514.0
TX26,2020-10-13,78.8,79.5,75.46,77.61,131070268.0
TX26,2020-10-14,78.0,79.6,78.0,78.9,180183341.0
TX26,2020-10-15,78.0,78.3,74.6,74.75,51373675.0
TX26,2020-10-16,74.0,77.39,74.0,77.0,123594814.0
TX26,2020-10-19,76.0,78.0,74.85,77.6,39380657.0
TX26,2020-10-20,78.95,79.0,77.0,78.0,98687089.0
TX26,2020-10-21,78.0,78.0,75.99,76.0,16822401.0
TX26,2020-10-22,77.6,77.6,74.0,74.1,50282478.0
TX26,2020-10-23,74.1,74.9,73.5,74.15,83339083.0
TX26,2020-10-26,74.1,74.72,70.1,70.1,35995060.0
TX26,2020-10-27,70.0,70.75,67.1,69.0,121845140.0
TX26,2020-10-28,69.0,70.0,67.1,68.1,157728390.0
TX26,2020-10-29,68.5,71.45,67.75,70.84,250013855.0
TX26,2020-10-30,70.0,73.45,70.0,72.85,268366864.0
TX26,2020-11-02,72.75,73.9,71.0,73.9,120697087.0
TX26,2020-11-03,74.99,77.4,73.25,76.5,231228116.0
TX26,2020-11-04,76.5,78.15,76.5,77.99,158706258.0
TX26,2020-11-05,78.5,78.5,77.5,77.7,321399862.0
TX26,2020-11-06,79.5,79.5,76.2,76.95,1581999.0
TX26,2020-11-09,76.95,79.4,76.95,78.94,123584904.0
TX26,2020-11-10,78.9,79.5,77.55,78.75,58509308.0
TX26,2020-11-11,78.5,80.74,78.25,80.6,107800136.0
TX26,2020-11-12,79.0,84.75,79.0,84.6,362148795.0
TX26,2020-11-13,84.0,86.5,84.0,84.84,241368151.0
TX26,2020-11-16,84.0,85.45,83.1,83.45,150746091.0
TX26,2020-11-17,82.5,83.97,80.0,82.0,103480064.0
TX26,2020-11-18,83.3,83.3,81.65,82.2,171799651.0
TX26,2020-11-19,82.22,83.0,82.0,82.3,119003701.0
TX26,2020-11-20,82.0,82.64,82.0,82.64,224473456.0
TX26,2020-11-24,82.9,83.1,81.7,82.99,50056352.0
TX26,2020-11-25,82.0,83.0,81.5,82.26,61854829.0
TX26,2020-11-26,82.23,82.89,81.75,82.4,99382644.0
TX26,2020-11-27,83.37,84.37,82.45,82.55,48859459.0
TX26,2020-11-30,81.5,83.0,81.5,82.3,84239772.0
TX26,2020-12-01,82.25,83.2,81.01,82.95,107390634.0
TX26,2020-12-02,82.9,84.7,82.75,83.3,231709106.0
TX26,2020-12-03,83.0,84.2,83.0,84.15,288659579.0
TX26,2020-12-04,83.0,85.55,83.0,85.45,57981895.0
TX26,2020-12-09,85.0,86.0,84.5,85.5,49917093.0
TX26,2020-12-10,85.5,85.69,84.8,85.4,39771749.0
TX26,2020-12-11,85.0,85.25,83.0,84.0,13496257.0
TX26,2020-12-14,83.0,83.8,82.0,82.45,32782765.0
TX26,2020-12-15,83.0,83.0,81.2,82.45,277536738.0
TX26,2020-12-16,82.99,83.0,82.5,83.0,150282515.0
TX26,2020-12-17,82.1,83.49,82.0,82.95,32491102.0
TX26,2020-12-18,82.99,83.99,82.5,82.7,103690122.0
TX26,2020-12-21,82.5,82.75,81.85,82.3,48298464.0
TX26,2020-12-22,83.2,83.3,81.81,83.3,197828782.0
TX26,2020-12-23,84.0,84.99,82.5,83.55,480947678.0
TX26,2020-12-28,83.45,85.5,82.75,85.5,82634848.0
TX26,2020-12-29,85.5,86.49,84.9,86.19,72002648.0
TX26,2020-12-30,86.95,87.3,86.0,87.3,80148828.0
TX26,2021-01-04,87.35,87.95,85.65,86.9,181718869.0
TX26,2021-01-05,86.9,89.75,86.6,88.0,421813880.0
TX26,2021-01-06,89.95,89.95,87.51,88.49,216552610.0
TX26,2021-01-07,88.15,89.5,88.15,89.2,217150233.0
TX26,2021-01-08,90.0,90.0,88.7,89.0,104182734.0
TX26,2021-01-11,89.95,89.95,86.05,87.9,76877384.0
TX26,2021-01-12,89.5,89.5,87.25,88.25,118210144.0
TX26,2021-01-13,88.49,88.5,87.52,87.8,16364142.0
TX26,2021-01-14,87.7,89.4,87.7,88.2,81356185.0
TX26,2021-01-15,85.6,88.94,85.6,88.7,71658748.0
TX26,2021-01-18,89.95,90.2,88.2,89.1,113101216.0
TX26,2021-01-19,89.1,91.8,89.1,91.1,216185177.0
TX26,2021-01-20,91.77,92.0,91.2,91.85,208187028.0
TX26,2021-01-21,91.0,93.44,90.9,92.5,119577163.0
TX26,2021-01-22,92.5,94.09,92.5,93.05,351769090.0
TX26,2021-01-25,93.0,94.0,91.6,93.9,171533050.0
TX26,2021-01-26,92.9,95.5,92.9,95.05,224738278.0
TX26,2021-01-27,96.29,96.39,95.02,96.17,67012012.0
TX26,2021-01-28,96.0,96.6,95.5,96.4,101931382.0
TX26,2021-01-29,96.5,97.0,96.0,96.8,217781034.0
TX26,2021-02-01,96.8,97.98,94.5,97.5,82796169.0
TX26,2021-02-02,98.45,100.0,97.0,100.0,84769550.0
TX26,2021-02-03,100.0,102.25,99.55,100.5,163466932.0
TX26,2021-02-04,101.9,101.9,99.6,99.75,276791060.0
TX26,2021-02-05,101.0,101.0,97.8,98.05,88204242.0
TX26,2021-02-08,99.5,99.5,95.0,97.6,19329734.0
TX26,2021-02-09,95.25,98.48,95.25,97.9,35900204.0
TX26,2021-02-10,98.0,99.27,97.6,99.05,124619430.0
TX26,2021-02-11,99.75,100.25,98.6,100.1,97035604.0
TX26,2021-02-12,99.8,103.0,99.5,102.6,122675705.0
TX26,2021-02-17,103.0,104.45,101.0,103.1,162624205.0
TX26,2021-02-18,102.5,104.95,102.5,103.25,104972420.0
TX26,2021-02-19,103.1,104.4,102.0,102.75,200769242.0
TX26,2021-02-22,100.05,104.0,100.05,102.4,235325300.0
TX26,2021-02-23,102.4,102.4,98.3,101.2,411084142.0
TX26,2021-02-24,101.1,102.95,101.0,101.7,503391090.0
TX26,2021-02-25,102.0,102.5,101.25,102.5,310141245.0
TX26,2021-02-26,103.0,103.0,101.5,102.6,125017397.0
TX26,2021-03-01,105.0,105.0,102.25,103.9,90946679.0
TX26,2021-03-02,103.8,104.9,103.0,104.7,201069244.0
TX26,2021-03-03,104.7,106.25,104.7,105.85,94739609.0
TX26,2021-03-04,107.0,107.0,105.0,105.75,65154964.0
TX26,2021-03-05,102.6,106.0,102.6,105.4,41758993.0
TX26,2021-03-08,106.0,107.0,101.8,102.9,129924685.0
TX26,2021-03-09,102.85,103.5,99.37,103.15,290859425.0
TX26,2021-03-10,103.15,104.2,102.0,103.25,72846106.0
TX26,2021-03-11,100.0,105.3,100.0,103.25,57046435.0
TX26,2021-03-12,103.25,105.3,103.25,104.5,440704081.0
TX26,2021-03-15,105.3,106.15,105.0,105.75,242100598.0
TX26,2021-03-16,106.0,106.4,103.0,105.9,41972083.0
TX26,2021-03-17,106.0,109.9,104.3,104.8,82012999.0
TX26,2021-03-18,104.0,105.5,103.0,103.0,84035979.0
TX26,2021-03-19,105.0,105.0,102.0,103.5,75369477.0
TX26,2021-03-22,103.9,103.9,102.4,103.1,74837238.0
TX26,2021-03-23,103.0,103.0,101.5,102.4,128328842.0
TX26,2021-03-25,104.4,104.4,100.5,101.9,14857690.0
TX26,2021-03-26,101.5,102.25,99.75,100.9,78464866.0
TX26,2021-03-29,100.9,102.0,98.6,99.4,9051614.0
TX26,2021-03-30,99.4,100.0,97.0,98.3,51665309.0
TX26,2021-03-31,98.2,99.7,98.2,99.7,29990993.0
