especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL35D,2020-09-14,42.1,45.0,42.1,44.54,210559,1600052400.0
AL35D,2020-09-15,44.5,44.6,43.9,44.55,1388720,1600138800.0
AL35D,2020-09-16,42.6,43.1,41.65,41.9,655094,1600225200.0
AL35D,2020-09-17,41.9,41.99,40.15,41.75,1668340,1600311600.0
AL35D,2020-09-18,41.85,42.49,40.85,41.6,504305,1600398000.0
AL35D,2020-09-21,41.5,41.5,39.65,40.24,277639,1600657200.0
AL35D,2020-09-22,40.99,40.99,37.62,38.5,1562885,1600743600.0
AL35D,2020-09-23,39.0,39.95,37.5,39.75,2693664,1600830000.0
AL35D,2020-09-24,39.75,41.9,39.5,41.9,1937822,1600916400.0
AL35D,2020-09-25,42.8,42.8,40.3,41.5,183830,1601002800.0
AL35D,2020-09-28,41.0,41.4,40.12,41.0,1023967,1601262000.0
AL35D,2020-09-29,41.0,41.0,39.4,39.9,244199,1601348400.0
AL35D,2020-09-30,40.0,40.99,38.8,40.74,534607,1601434800.0
AL35D,2020-10-01,41.0,42.0,40.0,40.8,3089893,1601521200.0
AL35D,2020-10-02,40.0,41.3,39.55,40.05,410050,1601607600.0
AL35D,2020-10-05,40.5,40.5,39.25,39.5,643094,1601866800.0
AL35D,2020-10-06,40.0,40.5,39.3,39.96,650156,1601953200.0
AL35D,2020-10-07,39.51,40.7,39.5,40.1,522472,1602039600.0
AL35D,2020-10-08,39.0,39.99,39.0,39.88,252378,1602126000.0
AL35D,2020-10-09,39.8,40.0,39.25,40.0,644588,1602212400.0
AL35D,2020-10-13,39.99,40.09,39.1,39.7,821869,1602558000.0
AL35D,2020-10-14,39.7,39.7,39.0,39.38,449103,1602644400.0
AL35D,2020-10-15,38.55,39.0,38.0,38.4,534440,1602730800.0
AL35D,2020-10-16,37.85,38.85,37.3,37.67,639870,1602817200.0
AL35D,2020-10-19,36.54,37.01,36.16,36.95,945188,1603076400.0
AL35D,2020-10-20,37.6,37.6,34.7,36.04,774542,1603162800.0
AL35D,2020-10-21,36.0,36.0,34.25,34.5,338145,1603249200.0
AL35D,2020-10-22,34.25,35.4,33.23,35.0,771860,1603335600.0
AL35D,2020-10-23,34.96,36.5,34.0,35.45,2311004,1603422000.0
AL35D,2020-10-26,34.85,35.3,34.2,34.2,657625,1603681200.0
AL35D,2020-10-27,34.2,36.0,33.92,35.2,578289,1603767600.0
AL35D,2020-10-28,35.5,35.75,34.2,35.0,325223,1603854000.0
AL35D,2020-10-29,35.0,35.4,34.35,35.01,297759,1603940400.0
AL35D,2020-10-30,35.01,35.48,34.5,35.1,241231,1604026800.0
AL35D,2020-11-02,35.0,35.43,34.55,35.06,254513,1604286000.0
AL35D,2020-11-03,35.06,35.89,35.06,35.5,261724,1604372400.0
AL35D,2020-11-04,34.5,35.99,34.5,35.6,798414,1604458800.0
AL35D,2020-11-05,34.5,36.5,34.5,36.25,905777,1604545200.0
AL35D,2020-11-06,36.5,36.5,35.79,35.8,209222,1604631600.0
AL35D,2020-11-09,36.9,38.0,36.02,37.25,419920,1604890800.0
AL35D,2020-11-10,37.25,37.69,37.0,37.1,461105,1604977200.0
AL35D,2020-11-11,36.75,37.3,36.31,37.3,358989,1605063600.0
AL35D,2020-11-12,37.2,37.2,36.3,36.6,855521,1605150000.0
AL35D,2020-11-13,37.99,37.99,36.31,36.83,691341,1605236400.0
AL35D,2020-11-16,36.5,37.25,36.5,37.25,838241,1605495600.0
AL35D,2020-11-17,36.21,37.58,36.21,37.2,2933940,1605582000.0
AL35D,2020-11-18,36.21,37.69,36.21,37.5,1310362,1605668400.0
AL35D,2020-11-19,37.5,37.5,36.5,36.89,449757,1605754800.0
AL35D,2020-11-20,36.01,37.3,36.01,36.75,499478,1605841200.0
AL35D,2020-11-24,36.74,36.75,36.0,36.18,264920,1606186800.0
AL35D,2020-11-25,36.02,36.59,35.3,36.4,366547,1606273200.0
AL35D,2020-11-26,36.3,36.3,35.5,35.71,408574,1606359600.0
AL35D,2020-11-27,35.71,36.23,35.51,36.23,176967,1606446000.0
AL35D,2020-11-30,36.23,36.23,35.5,35.99,165251,1606705200.0
AL35D,2020-12-01,35.45,35.9,35.35,35.36,354597,1606791600.0
AL35D,2020-12-02,35.35,35.7,35.0,35.6,139271,1606878000.0
AL35D,2020-12-03,34.72,35.7,34.72,35.68,987745,1606964400.0
AL35D,2020-12-04,35.7,35.89,34.96,35.3,233263,1607050800.0
AL35D,2020-12-09,35.01,35.29,34.5,34.9,360505,1607482800.0
AL35D,2020-12-10,34.5,35.6,34.48,35.51,942330,1607569200.0
AL35D,2020-12-11,35.39,35.8,34.5,35.6,504492,1607655600.0
AL35D,2020-12-14,35.01,35.79,35.01,35.6,234045,1607914800.0
AL35D,2020-12-15,35.4,35.68,35.0,35.1,298362,1608001200.0
AL35D,2020-12-16,35.0,35.9,34.85,35.1,614321,1608087600.0
AL35D,2020-12-17,34.77,35.85,34.76,35.85,1835297,1608174000.0
AL35D,2020-12-18,35.5,36.5,35.25,36.18,516200,1608260400.0
AL35D,2020-12-21,36.2,37.0,35.36,37.0,416650,1608519600.0
AL35D,2020-12-22,36.99,37.28,36.0,36.5,223026,1608606000.0
AL35D,2020-12-23,36.3,36.78,36.3,36.3,170429,1608692400.0
AL35D,2020-12-28,36.3,36.99,35.87,36.75,303656,1609124400.0
AL35D,2020-12-29,36.75,36.99,36.1,36.6,212752,1609210800.0
AL35D,2020-12-30,36.06,36.79,36.01,36.5,330190,1609297200.0
AL35D,2021-01-04,35.8,36.5,35.5,36.1,215592,1609729200.0
AL35D,2021-01-05,36.45,36.45,35.26,35.64,347968,1609815600.0
AL35D,2021-01-06,35.08,35.88,35.0,35.75,443063,1609902000.0
AL35D,2021-01-07,35.03,35.4,34.81,35.11,619673,1609988400.0
AL35D,2021-01-08,34.7,35.2,34.28,35.0,399564,1610074800.0
AL35D,2021-01-11,35.29,35.3,34.5,35.0,194353,1610334000.0
AL35D,2021-01-12,35.5,35.5,34.0,34.8,164776,1610420400.0
AL35D,2021-01-13,34.26,34.99,34.13,34.4,297837,1610506800.0
