especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD30,2020-09-08,6200.0,6325.0,6200.0,6325.0,1477770,1599534000.0
GD30,2020-09-09,6400.0,6435.0,6356.0,6380.0,9529717,1599620400.0
GD30,2020-09-10,6390.0,6425.0,6375.0,6420.0,6560171,1599706800.0
GD30,2020-09-11,6425.0,6500.0,6395.0,6430.0,3229911,1599793200.0
GD30,2020-09-14,6385.0,6402.0,6355.0,6380.0,8180197,1600052400.0
GD30,2020-09-15,6450.0,6450.0,6240.0,6260.0,7716574,1600138800.0
GD30,2020-09-16,6245.0,6400.0,6100.0,6120.0,2913535,1600225200.0
GD30,2020-09-17,6050.0,6050.0,5880.0,5940.0,2602480,1600311600.0
GD30,2020-09-18,5900.0,6150.0,5900.0,6149.0,1482457,1600398000.0
GD30,2020-09-21,6000.0,6075.0,5850.0,6075.0,3142872,1600657200.0
GD30,2020-09-22,5927.7998,6100.0,5927.8,6100.0,7065450,1600743600.0
GD30,2020-09-23,5999.0,6270.0,5999.0,6245.0,4520227,1600830000.0
GD30,2020-09-24,6250.0,6250.0,6015.0,6015.5,8417537,1600916400.0
GD30,2020-09-25,6020.0,6125.0,6020.0,6100.0,11953468,1601002800.0
GD30,2020-09-28,6150.0,6167.0,6105.0,6155.0,9569854,1601262000.0
GD30,2020-09-29,6170.0,6200.0,6150.0,6199.0,4744554,1601348400.0
GD30,2020-09-30,6285.0,6322.5,6215.0,6219.0,10173400,1601434800.0
GD30,2020-10-01,6250.0,6250.0,6180.0,6210.5,6248843,1601521200.0
GD30,2020-10-02,6170.0,6270.0,6100.0,6150.0,8344751,1601607600.0
GD30,2020-10-05,6200.0,6235.0,6170.0,6215.0,3556907,1601866800.0
GD30,2020-10-06,6249.0,6265.0,6105.0,6169.0,5679376,1601953200.0
GD30,2020-10-07,6160.0,6224.0,6160.0,6215.0,12351252,1602039600.0
GD30,2020-10-08,6240.0,6315.0,6215.0,6301.0,10189547,1602126000.0
GD30,2020-10-09,6325.0,6515.0,6320.0,6480.0,12842009,1602212400.0
GD30,2020-10-13,6482.0,6600.0,6400.0,6589.5,9130210,1602558000.0
GD30,2020-10-14,6608.0,6740.0,6550.0,6740.0,8789512,1602644400.0
GD30,2020-10-15,6825.0,7050.0,6727.0,6923.0,10525629,1602730800.0
GD30,2020-10-16,6999.0,7150.0,6885.0,6885.0,10627906,1602817200.0
GD30,2020-10-19,6885.0,6950.0,6650.0,6795.0,15218383,1603076400.0
GD30,2020-10-20,6800.0,6800.0,6500.0,6692.0,11854220,1603162800.0
GD30,2020-10-21,6700.0,6910.0,6700.0,6790.0,6770565,1603249200.0
GD30,2020-10-22,6790.0,6900.0,6725.0,6825.0,2968186,1603335600.0
GD30,2020-10-23,6979.5,6979.5,6600.0,6710.0,2886008,1603422000.0
GD30,2020-10-26,6899.0,6899.0,6400.0,6455.0,8482994,1603681200.0
GD30,2020-10-27,6650.0,6650.0,6200.0,6258.0,2908677,1603767600.0
GD30,2020-10-28,6570.0,6570.0,5880.0,6050.0,4512004,1603854000.0
GD30,2020-10-29,6090.0,6100.0,5704.0,5704.0,3204845,1603940400.0
GD30,2020-10-30,5800.0,5865.0,5590.0,5790.0,6974617,1604026800.0
GD30,2020-11-02,5850.0,5850.0,5650.0,5706.0,3840649,1604286000.0
GD30,2020-11-03,5775.0,5899.0,5700.5,5815.0,3975772,1604372400.0
GD30,2020-11-04,5851.0,5895.0,5800.0,5895.0,7795020,1604458800.0
GD30,2020-11-05,5980.0,6060.0,5800.0,5890.0,6920812,1604545200.0
GD30,2020-11-06,5900.0,5910.0,5800.0,5850.0,422897,1604631600.0
GD30,2020-11-09,5896.0,5985.0,5800.0,5980.0,3037350,1604890800.0
GD30,2020-11-10,6000.0,6000.0,5830.0,5979.0,1144160,1604977200.0
