especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD30C,2020-09-15,49.75,50,49.5,49.5,322447,1600138800
GD30C,2020-09-16,46,46.5,46,46.5,862267,1600225200
GD30C,2020-09-17,45.5,45.5,45.2,45.2,238500,1600311600
GD30C,2020-09-18,44.25,45,44.25,45,775435,1600398000
GD30C,2020-09-21,42.5,42.75,42.5,42.75,20944,1600657200
GD30C,2020-09-22,42.8,43,42.25,42.25,1408339,1600743600
GD30C,2020-09-23,41.25,42,40.6,41.5,1342530,1600830000
GD30C,2020-09-24,41.5,43,41.5,42.25,4650888,1600916400
GD30C,2020-09-25,42.49,42.49,41.3,42.4,604789,1601002800
GD30C,2020-09-28,43,43,42,42,140378,1601262000
GD30C,2020-09-29,42.1,42.25,41.5,41.5,1639468,1601348400
GD30C,2020-09-30,42.1,42.4,41.5,41.5,170053,1601434800
GD30C,2020-10-01,42.5,42.5,42,42.25,1801525,1601521200
GD30C,2020-10-02,41.5,41.9,41.25,41.45,1114732,1601607600
GD30C,2020-10-05,41.25,41.25,40.5,40.5,1446045,1601866800
GD30C,2020-10-06,40.5,40.7,40.4,40.5,366726,1601953200
GD30C,2020-10-07,40.75,41.1,40.3,41.1,2471803,1602039600
GD30C,2020-10-08,41.25,41.5,40.99,41.5,2576045,1602126000
GD30C,2020-10-09,41.35,41.75,41,41,421868,1602212400
GD30C,2020-10-13,41.25,42,41.01,42,861232,1602558000
GD30C,2020-10-14,40.99,41.35,40.8,41,2339072,1602644400
GD30C,2020-10-15,40.25,41.55,40.25,41.25,3382137,1602730800
GD30C,2020-10-16,41,41.25,40.85,40.9,2374252,1602817200
GD30C,2020-10-19,40,41.25,40,41.25,10338197,1603076400
GD30C,2020-10-20,39.9,39.9,38.9,39.05,4897241,1603162800
GD30C,2020-10-21,39.25,39.25,37.75,37.75,5351822,1603249200
GD30C,2020-10-22,37.75,38.3,37.75,37.9,445151,1603335600
GD30C,2020-10-23,38.6,38.6,38,38,1449759,1603422000
GD30C,2020-10-26,38.5,38.75,38.02,38.4,6290467,1603681200
GD30C,2020-10-27,38.4,38.5,37.81,37.81,3723406,1603767600
GD30C,2020-10-28,37.7,37.95,36.9,37.95,3372012,1603854000
GD30C,2020-10-29,37.7,37.7,37,37.15,2981336,1603940400
GD30C,2020-10-30,37.15,38,37,38,2957954,1604026800
GD30C,2020-11-02,37.75,38.35,37.75,38.3,13542184,1604286000
GD30C,2020-11-03,38.65,38.85,38.3,38.75,2888965,1604372400
GD30C,2020-11-04,38.79,39,38.5,38.95,4657830,1604458800
GD30C,2020-11-05,39,39.75,38.8,38.85,6413695,1604545200
GD30C,2020-11-06,39,39,38.85,38.9,409778,1604631600
GD30C,2020-11-09,40,40.25,39.75,39.9,1465401,1604890800
GD30C,2020-11-10,39.7,39.9,39.7,39.9,1365556,1604977200
GD30C,2020-11-11,40,40.65,39.95,40.65,645405,1605063600
GD30C,2020-11-12,40.5,40.95,40,40.95,1981296,1605150000
GD30C,2020-11-13,40.7,41,40.61,41,2762727,1605236400
GD30C,2020-11-16,41.25,41.35,41,41.3,3707042,1605495600
GD30C,2020-11-17,41,41,40.1,40.4,3694702,1605582000
GD30C,2020-11-18,40.55,40.75,40.45,40.7,1669660,1605668400
GD30C,2020-11-19,40.4,40.4,39.4,39.9,6182736,1605754800
GD30C,2020-11-20,40,40.2,39.65,40.2,7836317,1605841200
GD30C,2020-11-24,39.8,40.2,39.7,40.2,2592312,1606186800
GD30C,2020-11-25,40.2,40.25,39.8,39.9,6226580,1606273200
GD30C,2020-11-26,40,40.6,39.76,40.6,4009817,1606359600
GD30C,2020-11-27,40.25,40.6,40.1,40.4,24234560,1606446000
GD30C,2020-11-30,40.15,40.2,39.25,39.65,14524210,1606705200
GD30C,2020-12-01,39.42,39.75,39.35,39.55,10686237,1606791600
GD30C,2020-12-02,39.35,40.5,38.9,39.49,12811605,1606878000
GD30C,2020-12-03,39.2,39.3,38.85,39.2,6824579,1606964400
GD30C,2020-12-04,39.25,39.25,38.85,38.95,4815611,1607050800
GD30C,2020-12-09,39,39.1,38.75,39,16311057,1607482800
GD30C,2020-12-10,38.95,39.54,38.8,39.41,8711150,1607569200
GD30C,2020-12-11,39.3,40.4,39.21,39.91,8398463,1607655600
GD30C,2020-12-14,40.9,40.9,40.35,40.7,6285210,1607914800
GD30C,2020-12-15,40.5,40.6,39.95,40.1,4678662,1608001200
GD30C,2020-12-16,40,40.4,39.9,40.4,7584936,1608087600
GD30C,2020-12-17,39.9,40.6,39.9,40.48,8802789,1608174000
GD30C,2020-12-18,40.3,40.9,40.2,40.8,6029940,1608260400
GD30C,2020-12-21,40.7,41,40.3,40.94,9215112,1608519600
GD30C,2020-12-22,40.6,41,40.6,40.8,12678972,1608606000
GD30C,2020-12-23,40.81,41.2,40.81,41.15,14480919,1608692400
GD30C,2020-12-28,41.05,41.5,40.97,41.5,12308037,1609124400
GD30C,2020-12-29,41.1,41.14,40.85,41.1,4863279,1609210800
GD30C,2020-12-30,40.75,41.5,40.75,41.31,17406440,1609297200
