especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL30C,2020-09-14,49.0,50.0,49.0,49.0,23769760,1600052400.0
AL30C,2020-09-15,49.0,50.0,48.0,48.0,12068411,1600138800.0
AL30C,2020-09-16,46.0,47.0,45.0,46.0,9485878,1600225200.0
AL30C,2020-09-17,46.0,46.0,44.0,44.0,14728868,1600311600.0
AL30C,2020-09-18,44.0,45.0,44.0,44.0,23340012,1600398000.0
AL30C,2020-09-21,44.0,44.0,42.0,43.0,22732744,1600657200.0
AL30C,2020-09-22,43.0,43.0,41.0,41.0,18582496,1600743600.0
AL30C,2020-09-23,41.0,42.7,40.1,42.18,30923748,1600830000.0
AL30C,2020-09-24,43.0,44.2,41.0,42.7,35462680,1600916400.0
AL30C,2020-09-25,43.1,43.5,42.0,42.6,12187767,1601002800.0
AL30C,2020-09-28,42.99,43.64,42.08,43.0,11059016,1601262000.0
AL30C,2020-09-29,43.0,43.0,41.75,41.75,15604190,1601348400.0
AL30C,2020-09-30,42.0,42.57,41.8,42.5,11675378,1601434800.0
AL30C,2020-10-01,42.1,42.88,42.1,42.6,20131380,1601521200.0
AL30C,2020-10-02,41.69,42.0,41.0,41.99,17618474,1601607600.0
AL30C,2020-10-05,41.25,41.82,40.76,41.8,19703140,1601866800.0
AL30C,2020-10-06,41.8,41.8,40.5,40.85,17711310,1601953200.0
AL30C,2020-10-07,40.7,41.4,40.5,41.4,14599618,1602039600.0
AL30C,2020-10-08,40.8,41.35,40.7,41.1,13303576,1602126000.0
AL30C,2020-10-09,41.2,41.4,40.77,41.4,26015904,1602212400.0
AL30C,2020-10-13,41.48,41.5,40.61,41.5,25184580,1602558000.0
AL30C,2020-10-14,42.5,42.5,40.25,40.79,18881460,1602644400.0
AL30C,2020-10-15,40.0,41.55,39.9,40.81,30634220,1602730800.0
AL30C,2020-10-16,40.25,41.41,40.25,40.65,21562168,1602817200.0
AL30C,2020-10-19,40.65,40.78,39.8,40.3,25224392,1603076400.0
AL30C,2020-10-20,39.75,40.41,38.6,38.75,23651502,1603162800.0
AL30C,2020-10-21,39.5,39.5,37.2,37.5,28208488,1603249200.0
AL30C,2020-10-22,36.55,37.45,36.0,36.12,26204658,1603335600.0
AL30C,2020-10-23,36.5,38.49,36.01,36.9,17443788,1603422000.0
AL30C,2020-10-26,37.0,37.0,35.76,36.4,23127472,1603681200.0
AL30C,2020-10-27,35.6,37.1,35.6,36.9,36196624,1603767600.0
AL30C,2020-10-28,36.9,37.0,36.25,36.9,39647344,1603854000.0
AL30C,2020-10-29,36.2,36.9,36.05,36.9,37618304,1603940400.0
AL30C,2020-10-30,36.25,36.9,36.0,36.9,31646060,1604026800.0
AL30C,2020-11-02,37.0,37.0,36.3,37.0,28999738,1604286000.0
AL30C,2020-11-03,36.55,37.0,36.06,37.0,44776980,1604372400.0
AL30C,2020-11-04,36.35,36.9,36.1,36.9,61314480,1604458800.0
AL30C,2020-11-05,37.19,37.19,36.0,36.7,36064264,1604545200.0
AL30C,2020-11-06,36.1,36.6,36.0,36.6,17563416,1604631600.0
AL30C,2020-11-09,36.9,37.25,36.55,36.95,24546208,1604890800.0
AL30C,2020-11-10,36.35,37.1,36.35,37.1,23239032,1604977200.0
AL30C,2020-11-11,37.1,38.5,36.65,38.14,25820740,1605063600.0
AL30C,2020-11-12,38.32,38.6,37.35,38.34,48743564,1605150000.0
AL30C,2020-11-13,38.0,38.6,37.9,38.45,31291724,1605236400.0
AL30C,2020-11-16,38.45,39.1,38.4,39.0,25167192,1605495600.0
AL30C,2020-11-17,38.8,39.17,38.42,39.05,35511556,1605582000.0
AL30C,2020-11-18,38.6,39.0,38.6,38.9,54911880,1605668400.0
AL30C,2020-11-19,38.7,38.8,38.25,38.55,58454520,1605754800.0
AL30C,2020-11-20,38.5,38.7,38.2,38.35,53430824,1605841200.0
AL30C,2020-11-24,38.35,38.4,37.95,38.05,32234672,1606186800.0
AL30C,2020-11-25,37.89,38.7,37.61,38.2,20196416,1606273200.0
AL30C,2020-11-26,38.3,38.4,38.0,38.3,11515844,1606359600.0
AL30C,2020-11-27,38.46,38.46,38.03,38.1,21585386,1606446000.0
AL30C,2020-11-30,37.53,38.17,36.95,37.7,29724816,1606705200.0
AL30C,2020-12-01,37.4,37.84,37.3,37.5,13469230,1606791600.0
AL30C,2020-12-02,37.48,37.65,37.35,37.63,15309009,1606878000.0
AL30C,2020-12-03,37.5,37.85,37.3,37.8,9009584,1606964400.0
AL30C,2020-12-04,37.5,37.9,37.35,37.84,12681380,1607050800.0
AL30C,2020-12-09,37.84,38.72,37.18,38.21,14666384,1607482800.0
AL30C,2020-12-10,38.35,38.8,38.2,38.65,9221517,1607569200.0
AL30C,2020-12-15,39.35,39.65,39.35,39.5,13818346,1608001200.0
AL30C,2020-12-16,39.3,39.5,39.0,39.38,16945044,1608087600.0
AL30C,2020-12-17,39.4,39.4,39.1,39.32,17684334,1608174000.0
AL30C,2020-12-18,39.15,39.85,39.0,39.85,15188974,1608260400.0
AL30C,2020-12-21,39.5,40.5,39.32,40.45,14974657,1608519600.0
AL30C,2020-12-22,40.5,40.6,40.01,40.5,14007525,1608606000.0
AL30C,2020-12-23,40.5,40.59,40.15,40.59,39086316,1608692400.0
AL30C,2020-12-28,40.2,40.8,40.2,40.8,20039224,1609124400.0
AL30C,2020-12-29,40.5,40.85,40.5,40.85,43041184,1609210800.0
AL30C,2020-12-30,40.6,40.88,40.55,40.86,60998764,1609297200.0
AL30C,2021-01-04,40.01,40.55,40.01,40.55,86126208,1609729200.0
AL30C,2021-01-05,39.5,40.18,39.5,40.15,75177352,1609815600.0
AL30C,2021-01-06,39.8,40.07,39.8,40.05,64783232,1609902000.0
AL30C,2021-01-07,39.99,39.99,39.25,39.7,69951512,1609988400.0
AL30C,2021-01-08,39.2,39.45,39.01,39.45,33814132,1610074800.0
AL30C,2021-01-11,39.39,39.5,38.51,39.0,48377392,1610334000.0
AL30C,2021-01-12,38.55,39.0,38.5,39.0,22237028,1610420400.0
AL30C,2021-01-13,38.5,39.15,38.5,38.95,52915356,1610506800.0
AL30C,2021-01-14,38.41,38.65,38.32,38.65,29163504,1610593200.0
AL30C,2021-01-15,39.35,39.35,38.01,38.45,28070824,1610679600.0
AL30C,2021-01-18,38.44,38.44,38.01,38.29,14853682,1610938800.0
AL30C,2021-01-19,38.5,38.5,37.88,38.16,17100168,1611025200.0
AL30C,2021-01-20,37.75,38.2,37.75,38.1,7147025,1611111600.0
AL30C,2021-01-21,38.2,38.2,37.8,37.93,7303101,1611198000.0
AL30C,2021-01-22,37.93,37.93,37.56,37.93,8999654,1611284400.0
AL30C,2021-01-25,37.65,37.9,37.6,37.89,15570468,1611543600.0
AL30C,2021-01-26,37.6,37.88,37.6,37.85,11866991,1611630000.0
AL30C,2021-01-27,37.6,37.75,37.55,37.72,8907105,1611716400.0
AL30C,2021-01-28,37.75,37.75,37.46,37.57,14760654,1611802800.0
AL30C,2021-01-29,37.6,37.6,37.2,37.47,12215537,1611889200.0
AL30C,2021-02-01,37.15,37.49,37.15,37.42,18003920,1612148400.0
AL30C,2021-02-02,37.2,37.33,37.2,37.31,16808488,1612234800.0
AL30C,2021-02-03,37.3,37.3,37.0,37.17,16687201,1612321200.0
AL30C,2021-02-04,37.15,37.15,36.79,37.04,18186224,1612407600.0
AL30C,2021-02-05,37.1,38.25,36.5,38.25,16926520,1612494000.0
AL30C,2021-02-08,36.99,37.05,36.53,38.25,15124256,1612753200.0
AL30C,2021-02-09,36.55,36.94,36.55,36.94,11186690,1612839600.0
AL30C,2021-02-10,36.9,36.9,36.5,36.86,19405394,1612926000.0
AL30C,2021-02-11,36.86,36.86,36.0,36.08,4136283,1613012400.0
AL30C,2021-02-12,35.94,36.15,35.5,35.5,1378851,1613098800.0
AL30C,2021-02-17,35.9,35.9,34.61,35.05,1825891,1613530800.0
AL30C,2021-02-18,35.0,35.78,35.0,35.73,1636073,1613617200.0
AL30C,2021-02-19,35.4,35.73,35.2,35.3,946319,1613703600.0
AL30C,2021-02-22,35.3,35.6,34.62,35.4,2421079,1613962800.0
AL30C,2021-02-23,35.6,35.6,34.75,34.85,2069502,1614049200.0
AL30C,2021-02-24,34.7,35.2,34.65,35.2,3961167,1614135600.0
AL30C,2021-02-25,34.61,35.6,34.61,35.59,9216594,1614222000.0
AL30C,2021-02-26,35.05,36.5,35.01,35.92,19043428,1614308400.0
AL30C,2021-03-01,35.0,36.18,35.0,36.15,20009500,1614567600.0
AL30C,2021-03-02,36.15,36.15,35.4,36.0,24327294,1614654000.0
AL30C,2021-03-03,35.55,35.99,34.5,35.69,20405724,1614740400.0
AL30C,2021-03-04,36.9,36.9,35.16,35.85,28907820,1614826800.0
AL30C,2021-03-05,35.5,35.8,34.6,35.3,16422225,1614913200.0
AL30C,2021-03-10,34.5,34.5,32.5,32.5,130000,1615345200.0
AL30C,2021-03-11,32.85,32.85,32.2,32.6,40472,1615431600.0
AL30C,2021-03-12,32.26,33.55,32.1,33.48,8497907,1615518000.0
AL30C,2021-03-15,34.0,34.0,33.1,33.87,6627228,1615777200.0
AL30C,2021-03-16,33.65,34.3,33.65,34.3,7849075,1615863600.0
AL30C,2021-03-17,33.5,34.8,33.5,34.8,6275719,1615950000.0
AL30C,2021-03-18,34.99,34.99,34.15,34.63,18113416,1616036400.0
AL30C,2021-03-19,34.31,34.75,34.3,34.54,3136630,1616122800.0
AL30C,2021-03-22,34.45,35.09,34.3,35.0,2567230,1616382000.0
AL30C,2021-03-23,34.47,35.1,34.0,34.55,1861969,1616468400.0
AL30C,2021-03-25,34.0,34.25,33.5,33.75,29953,1616641200.0
AL30C,2021-03-26,33.75,34.1,33.4,33.49,2770544,1616727600.0
AL30C,2021-03-29,33.0,34.25,32.8,32.82,2125637,1616986800.0
AL30C,2021-03-30,32.61,33.06,32.55,32.86,1849758,1617073200.0
AL30C,2021-03-31,32.85,33.8,32.4,32.9,3559712,1617159600.0
AL30C,2021-04-05,32.89,33.4,32.47,33.4,1211847,1617591600.0
AL30C,2021-04-06,33.6,33.6,32.9,33.5,5184360,1617678000.0
AL30C,2021-04-07,33.0,33.37,32.95,33.37,6686248,1617764400.0
AL30C,2021-04-08,33.13,33.3,32.81,33.3,10743896,1617850800.0
AL30C,2021-04-09,33.0,33.05,32.7,32.93,7273143,1617937200.0
AL30C,2021-04-12,33.99,33.99,32.9,33.0,1337246,1618196400.0
AL30C,2021-04-13,32.95,33.2,32.72,32.98,1211507,1618282800.0
AL30C,2021-04-14,33.05,33.89,32.75,32.88,1655846,1618369200.0
AL30C,2021-04-15,32.5,32.88,32.36,32.45,566730,1618455600.0
AL30C,2021-04-16,32.25,32.85,32.25,32.34,1349776,1618542000.0
AL30C,2021-04-19,32.34,32.7,32.3,32.55,810611,1618801200.0
AL30C,2021-04-20,32.45,32.78,32.4,32.68,2620093,1618887600.0
AL30C,2021-04-21,32.47,32.64,32.45,32.61,895010,1618974000.0
AL30C,2021-04-22,32.65,32.9,32.53,32.9,929524,1619060400.0
AL30C,2021-04-23,33.0,33.15,32.61,33.15,2742358,1619146800.0
AL30C,2021-04-26,32.77,34.1,32.44,34.1,110000,1619406000.0
AL30C,2021-04-27,34.25,34.5,33.8,34.5,7129754,1619492400.0
AL30C,2021-04-28,34.67,34.8,34.01,34.6,22388354,1619578800.0
AL30C,2021-04-29,34.3,34.59,34.02,34.5,20624680,1619665200.0
AL30C,2021-04-30,34.06,34.49,34.05,34.38,234300,1619751600.0
AL30C,2021-05-03,34.38,34.46,34.0,34.44,22238680,1620010800.0
AL30C,2021-05-04,34.75,34.75,34.0,34.38,24349236,1620097200.0
AL30C,2021-05-05,35.6,35.6,34.15,34.32,24377996,1620183600.0
AL30C,2021-05-06,34.1,34.2,33.88,34.06,8869375,1620270000.0
AL30C,2021-05-07,33.8,34.06,33.24,33.52,3627364,1620356400.0
AL30C,2021-05-10,33.3,33.72,33.21,33.42,2162331,1620615600.0
AL30C,2021-05-11,33.13,33.24,32.77,32.8,4096103,1620702000.0
AL30C,2021-05-12,32.6,33.2,32.6,33.0,971377,1620788400.0
AL30C,2021-05-13,33.5,33.5,33.0,33.15,1725232,1620874800.0
AL30C,2021-05-14,33.0,34.15,33.0,33.99,2785266,1620961200.0
AL30C,2021-05-17,33.9,34.65,33.9,34.58,109600,1621220400.0
AL30C,2021-05-18,34.48,34.65,34.2,34.58,11160,1621306800.0
AL30C,2021-05-19,34.55,34.55,33.9,34.05,1500,1621393200.0
AL30C,2021-05-20,33.7,34.0,33.47,33.78,250000,1621479600.0
AL30C,2021-05-21,33.4,33.75,33.2,33.45,0,1621566000.0
AL30C,2021-05-26,33.62,34.45,33.62,34.2,1887044,1621998000.0
AL30C,2021-05-27,34.48,34.6,34.17,34.4,954423,1622084400.0
AL30C,2021-05-28,34.8,34.8,33.8,34.15,1800,1622170800.0
AL30C,2021-05-31,34.0,34.39,33.81,34.13,684989,1622430000.0
AL30C,2021-06-01,34.16,34.5,34.04,34.45,1186710,1622516400.0
AL30C,2021-06-02,34.06,35.33,34.06,35.14,4646897,1622602800.0
AL30C,2021-06-03,35.14,35.34,34.7,34.9,2000050,1622689200.0
AL30C,2021-06-04,35.15,35.15,34.6,34.7,2449287,1622775600.0
AL30C,2021-06-07,34.7,35.32,34.55,35.32,2308840,1623034800.0
AL30C,2021-06-08,35.1,35.87,35.1,35.87,2241269,1623121200.0
AL30C,2021-06-09,36.0,36.48,36.0,36.35,1457994,1623207600.0
AL30C,2021-06-10,36.35,36.7,36.01,36.6,813741,1623294000.0
AL30C,2021-06-11,36.6,36.98,36.5,36.75,1447099,1623380400.0
AL30C,2021-06-14,36.65,37.0,36.65,36.8,1366082,1623639600.0
AL30C,2021-06-15,36.72,36.8,36.56,36.78,1694531,1623726000.0
AL30C,2021-06-16,36.68,36.89,36.55,36.83,11552678,1623812400.0
AL30C,2021-06-17,36.86,36.86,36.25,36.7,32570386,1623898800.0
AL30C,2021-06-18,36.05,36.35,36.0,36.35,15134630,1623985200.0
AL30C,2021-06-22,36.34,36.34,35.11,35.9,30976338,1624330800.0
AL30C,2021-06-23,36.44,36.47,35.42,35.86,43164488,1624417200.0
AL30C,2021-06-24,36.36,36.36,35.01,35.58,45004124,1624503600.0
AL30C,2021-06-25,34.45,34.7,34.0,34.7,40737712,1624590000.0
AL30C,2021-06-28,34.2,34.45,33.71,34.41,59374788,1624849200.0
AL30C,2021-06-29,34.0,34.01,33.4,33.75,40618072,1624935600.0
AL30C,2021-06-30,33.59,33.59,33.03,33.45,42345176,1625022000.0
AL30C,2021-07-01,33.0,33.67,32.81,33.67,13706079,1625108400.0
AL30C,2021-07-02,33.3,34.05,32.95,34.05,18441252,1625194800.0
AL30C,2021-07-05,33.4,33.77,33.22,33.77,22389018,1625454000.0
AL30C,2021-07-06,33.37,33.6,33.13,33.6,34427000,1625540400.0
AL30C,2021-07-07,33.6,33.75,33.1,33.59,21478352,1625626800.0
AL30C,2021-07-08,33.1,33.7,33.0,33.69,21640056,1625713200.0
AL30C,2021-07-12,33.99,34.2,33.0,34.15,4563626,1626058800.0
AL30C,2021-07-13,33.9,34.58,33.65,34.57,4003965,1626145200.0
AL30C,2021-07-14,34.0,34.94,34.0,34.89,7595542,1626231600.0
AL30C,2021-07-15,34.9,35.1,34.35,35.09,7075099,1626318000.0
AL30C,2021-07-16,34.68,35.43,34.65,35.43,9330194,1626404400.0
AL30C,2021-07-19,34.76,35.76,34.65,35.76,17117750,1626663600.0
AL30C,2021-07-20,35.76,36.1,35.15,36.1,17417726,1626750000.0
AL30C,2021-07-21,35.82,36.24,35.3,36.23,18579104,1626836400.0
AL30C,2021-07-22,35.6,36.19,35.6,36.18,23511152,1626922800.0
AL30C,2021-07-23,35.79,36.13,35.25,36.13,21164670,1627009200.0
AL30C,2021-07-26,36.0,36.07,35.3,36.07,33417672,1627268400.0
AL30C,2021-07-27,35.6,35.97,35.4,35.97,30038936,1627354800.0
AL30C,2021-07-28,35.5,35.86,35.26,35.86,33525576,1627441200.0
AL30C,2021-07-29,35.45,35.77,35.4,35.76,30930512,1627527600.0
AL30C,2021-07-30,35.4,35.75,35.34,35.73,30664872,1627614000.0
AL30C,2021-08-02,35.7,35.7,35.27,35.64,39557744,1627873200.0
AL30C,2021-08-03,35.2,35.49,35.15,35.47,43038836,1627959600.0
AL30C,2021-08-04,35.13,35.31,34.85,35.3,52326404,1628046000.0
AL30C,2021-08-05,34.91,35.08,34.77,35.08,41821980,1628132400.0
AL30C,2021-08-06,35.0,35.0,34.55,34.87,41431412,1628218800.0
AL30C,2021-08-09,34.31,34.89,34.31,34.89,36695492,1628478000.0
AL30C,2021-08-10,34.47,35.15,34.47,35.11,36854840,1628564400.0
AL30C,2021-08-11,34.76,35.3,34.76,35.3,45571188,1628650800.0
AL30C,2021-08-12,35.02,35.35,35.02,35.35,28503764,1628737200.0
AL30C,2021-08-13,35.44,36.0,35.1,36.0,1106252,1628823600.0
AL30C,2021-08-17,34.5,35.72,34.15,35.72,1286905,1629169200.0
AL30C,2021-08-18,34.5,35.6,34.5,35.6,1964141,1629255600.0
AL30C,2021-08-19,34.8,35.5,33.5,35.46,1653974,1629342000.0
AL30C,2021-08-20,34.8,35.28,34.8,35.28,2081159,1629428400.0
AL30C,2021-08-23,34.75,35.7,34.75,35.66,2419985,1629687600.0
AL30C,2021-08-24,35.01,35.4,35.01,35.4,1589380,1629774000.0
AL30C,2021-08-25,35.25,35.4,35.0,35.38,2438509,1629860400.0
AL30C,2021-08-26,35.06,35.44,35.06,35.44,1792523,1629946800.0
AL30C,2021-08-27,35.05,35.65,35.05,35.65,1742185,1630033200.0
AL30C,2021-08-30,35.0,35.98,35.0,35.98,1799516,1630292400.0
AL30C,2021-08-31,35.7,36.28,35.7,36.28,1832891,1630378800.0
AL30C,2021-09-01,36.1,36.85,36.0,36.85,2524900,1630465200.0
AL30C,2021-09-02,36.7,37.43,36.65,37.43,1738087,1630551600.0
AL30C,2021-09-03,37.2,37.49,37.06,37.49,1262457,1630638000.0
AL30C,2021-09-06,37.3,37.73,37.12,37.73,1663771,1630897200.0
AL30C,2021-09-07,37.5,37.86,37.35,37.82,2973279,1630983600.0
AL30C,2021-09-08,37.5,37.76,37.25,37.76,2217922,1631070000.0
AL30C,2021-09-09,37.15,37.71,37.15,37.71,2992225,1631156400.0
AL30C,2021-09-10,37.25,37.65,37.25,37.65,1795298,1631242800.0
AL30C,2021-09-13,37.8,38.4,37.51,38.4,1548411,1631502000.0
AL30C,2021-09-14,38.0,38.5,37.9,38.24,1790114,1631588400.0
AL30C,2021-09-15,37.75,38.13,37.75,38.13,2188204,1631674800.0
AL30C,2021-09-16,37.7,38.15,37.7,38.15,2507932,1631761200.0
AL30C,2021-09-17,37.75,38.07,37.75,38.07,1686219,1631847600.0
AL30C,2021-09-20,37.35,37.85,37.25,37.85,2107843,1632106800.0
AL30C,2021-09-21,37.25,37.73,37.25,37.73,1537947,1632193200.0
AL30C,2021-09-22,37.15,37.66,37.15,37.66,2266604,1632279600.0
AL30C,2021-09-23,37.5,37.62,37.41,37.62,3114500,1632366000.0
AL30C,2021-09-24,37.0,37.34,37.0,37.34,2999612,1632452400.0
AL30C,2021-09-27,36.8,37.18,36.75,37.18,2976889,1632711600.0
AL30C,2021-09-28,36.75,37.1,36.61,37.1,3511181,1632798000.0
