especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
TX26,2020-09-07,84.0,85.56,83.5,84.7,623837184,1599447600.0
TX26,2020-09-08,84.9,84.9,83.0,83.95,800746816,1599534000.0
TX26,2020-09-09,83.2,85.0,83.0,84.7,470201408,1599620400.0
TX26,2020-09-10,84.7,84.99,84.0,84.8,285267520,1599706800.0
TX26,2020-09-11,84.99,85.15,84.5,84.71,100036368,1599793200.0
TX26,2020-09-14,84.71,85.09,83.8,84.65,159402720,1600052400.0
TX26,2020-09-15,86.0,86.0,84.1,84.65,286098880,1600138800.0
TX26,2020-09-16,84.4,85.0,84.0,84.75,381082048,1600225200.0
TX26,2020-09-17,84.0,84.94,84.0,84.7,166457984,1600311600.0
TX26,2020-09-18,84.9,85.29,84.5,85.08,634152896,1600398000.0
TX26,2020-09-21,84.6,85.25,84.0,85.0,338290624,1600657200.0
TX26,2020-09-22,84.05,85.35,84.05,85.1,201368112,1600743600.0
TX26,2020-09-23,84.3,85.48,83.54,83.99,220191952,1600830000.0
TX26,2020-09-24,83.1,83.95,82.0,82.15,194378176,1600916400.0
TX26,2020-09-25,84.0,84.0,81.5,82.58,173414656,1601002800.0
TX26,2020-09-28,82.0,82.94,82.0,82.31,136475712,1601262000.0
TX26,2020-09-29,82.05,82.6,82.05,82.55,79266056,1601348400.0
TX26,2020-09-30,82.6,83.98,82.3,83.8,137043792,1601434800.0
TX26,2020-10-01,83.7,84.65,83.2,83.8,107438248,1601521200.0
TX26,2020-10-02,82.5,85.3,82.5,84.98,198346144,1601607600.0
TX26,2020-10-05,84.0,85.4,83.6,84.6,64313608,1601866800.0
TX26,2020-10-06,83.6,84.6,83.21,83.5,180114352,1601953200.0
TX26,2020-10-07,82.3,83.6,82.12,82.5,112616720,1602039600.0
TX26,2020-10-08,83.2,83.2,81.2,81.95,121533560,1602126000.0
TX26,2020-10-09,81.0,82.25,79.0,79.85,137216656,1602212400.0
TX26,2020-10-13,78.8,79.5,75.46,77.61,131075768,1602558000.0
TX26,2020-10-14,78.0,79.6,77.0,78.9,183689360,1602644400.0
TX26,2020-10-15,78.0,78.3,74.6,74.75,53144236,1602730800.0
TX26,2020-10-16,74.0,77.39,74.0,77.0,123994864,1602817200.0
TX26,2020-10-19,76.0,78.0,74.85,77.6,39380656,1603076400.0
TX26,2020-10-20,78.95,79.0,77.0,78.0,99687088,1603162800.0
TX26,2020-10-21,78.0,78.0,75.99,76.0,16916234,1603249200.0
TX26,2020-10-22,77.6,77.6,74.0,74.1,55899848,1603335600.0
TX26,2020-10-23,74.1,74.9,73.5,74.15,83405768,1603422000.0
